"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","11,334","11,462","11,462","11,334","23.80K","-1.12%"
"07/02/2021","11,420","11,377","11,462","11,334","34.40K","0.76%"
"07/05/2021","11,420","11,334","11,420","11,334","48.70K","0.00%"
"07/06/2021","11,249","11,420","11,420","11,207","33.10K","-1.50%"
"07/07/2021","10,994","11,164","11,164","10,738","12.20K","-2.27%"
"07/08/2021","10,994","11,079","11,334","10,994","7.20K","0.00%"
"07/09/2021","10,994","11,079","11,079","10,781","22.40K","0.00%"
"07/12/2021","10,354","10,525","10,738","10,312","15.90K","-5.82%"
"07/13/2021","10,354","10,482","10,482","10,227","43.10K","0.00%"
"07/14/2021","10,354","10,482","10,653","10,354","11.90K","0.00%"
"07/15/2021","11,079","10,397","11,079","10,397","19.70K","7.00%"
"07/16/2021","11,803","11,718","11,846","11,633","39.00K","6.53%"
"07/19/2021","11,803","12,357","12,357","11,675","78.80K","0.00%"
"07/20/2021","11,761","11,931","11,931","11,377","22.60K","-0.36%"
"07/21/2021","11,505","11,761","11,803","11,505","11.10K","-2.18%"
"07/22/2021","11,505","11,292","11,675","11,249","11.50K","0.00%"
"07/23/2021","11,377","11,505","11,505","11,377","21.30K","-1.11%"
"07/26/2021","11,377","11,377","11,462","11,292","9.70K","0.00%"
"07/27/2021","11,505","11,377","11,633","11,377","10.60K","1.13%"
"07/28/2021","11,505","11,505","11,548","11,505","1.40K","0.00%"
"07/29/2021","11,462","11,675","11,675","11,462","8.70K","-0.37%"
"07/30/2021","11,505","11,633","11,633","11,505","9.00K","0.38%"
"08/02/2021","11,462","11,505","11,548","11,420","14.60K","-0.37%"
"08/03/2021","11,505","11,462","11,548","11,462","26.10K","0.38%"
"08/04/2021","11,633","11,505","11,633","11,505","10.10K","1.11%"
"08/05/2021","11,718","11,334","11,761","11,334","15.20K","0.73%"
"08/06/2021","11,675","11,803","11,803","11,590","10.80K","-0.37%"
"08/09/2021","11,675","11,675","11,761","11,548","28.40K","0.00%"
"08/10/2021","11,846","11,761","11,846","11,675","19.00K","1.46%"
"08/11/2021","12,655","11,931","12,655","11,931","133.60K","6.83%"
"08/12/2021","12,698","12,783","13,209","12,613","72.90K","0.34%"
"08/13/2021","12,442","12,783","12,783","12,442","27.80K","-2.02%"
"08/16/2021","12,741","12,357","12,868","12,272","53.60K","2.40%"
"08/17/2021","12,741","12,783","12,783","12,528","48.40K","0.00%"
"08/18/2021","12,698","12,741","12,741","12,528","23.00K","-0.34%"
"08/19/2021","12,783","12,570","12,783","12,442","97.80K","0.67%"
"08/20/2021","12,911","12,783","13,422","12,783","169.80K","1.00%"
"08/23/2021","13,124","13,209","13,252","12,783","48.50K","1.65%"
"08/24/2021","12,741","13,124","13,124","12,528","31.10K","-2.92%"
"08/25/2021","12,613","12,613","13,082","12,357","60.80K","-1.00%"
"08/26/2021","12,783","12,954","12,954","12,613","29.50K","1.35%"
"08/27/2021","12,911","12,613","12,954","12,570","32.10K","1.00%"
"08/30/2021","13,295","13,039","13,337","12,613","140.40K","2.97%"
"08/31/2021","13,721","13,465","13,891","13,465","128.90K","3.20%"
"09/01/2021","13,806","14,062","14,062","13,465","36.30K","0.62%"
"09/06/2021","14,743","13,891","14,743","13,891","184.50K","6.79%"
"09/07/2021","14,530","15,297","15,297","14,317","168.20K","-1.44%"
"09/08/2021","14,488","14,488","14,573","14,062","52.20K","-0.29%"
"09/09/2021","14,743","14,488","14,914","14,360","63.20K","1.76%"
"09/10/2021","14,871","14,914","15,042","14,573","93.00K","0.87%"
"09/13/2021","14,488","14,914","14,914","14,360","108.90K","-2.58%"
"09/14/2021","14,402","14,488","14,573","14,062","53.10K","-0.59%"
"09/15/2021","14,743","13,891","14,871","13,891","50.70K","2.37%"
"09/16/2021","14,743","14,999","14,999","14,488","44.50K","0.00%"
"09/17/2021","14,914","14,743","14,956","14,616","58.10K","1.16%"
"09/20/2021","14,786","14,999","14,999","14,658","45.00K","-0.86%"
"09/21/2021","14,658","14,829","14,829","14,488","29.70K","-0.87%"
"09/22/2021","14,701","14,658","14,743","14,573","81.90K","0.29%"
"09/23/2021","14,360","14,743","14,743","14,232","57.20K","-2.32%"
"09/24/2021","14,360","14,658","14,658","14,317","24.30K","0.00%"
"09/27/2021","14,147","14,360","14,360","14,062","29.80K","-1.48%"
"09/28/2021","14,232","14,147","14,317","13,976","20.20K","0.60%"
"09/29/2021","14,402","14,232","14,402","14,232","15.00K","1.19%"
"09/30/2021","14,445","14,488","14,488","14,232","27.80K","0.30%"
"10/01/2021","14,402","14,360","14,402","14,147","23.60K","-0.30%"
"10/04/2021","14,786","14,360","14,786","14,360","44.70K","2.67%"
"10/05/2021","14,616","14,786","14,786","14,488","42.00K","-1.15%"
"10/06/2021","14,701","14,616","14,743","14,616","32.80K","0.58%"
"10/07/2021","14,743","14,701","14,743","14,658","71.60K","0.29%"
