"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","90,116","90,348","90,425","89,032","2.34M","0.00%"
"07/02/2021","88,954","90,116","90,271","88,258","2.20M","-1.29%"
"07/05/2021","87,948","88,180","88,180","85,858","2.61M","-1.13%"
"07/06/2021","86,709","87,096","89,032","86,709","2.13M","-1.41%"
"07/07/2021","87,793","86,709","87,793","82,064","3.42M","1.25%"
"07/08/2021","85,935","86,090","87,484","84,387","1.77M","-2.12%"
"07/09/2021","85,006","85,161","86,013","82,684","3.75M","-1.08%"
"07/12/2021","82,916","84,774","84,774","79,819","3.17M","-2.46%"
"07/13/2021","80,051","82,761","82,761","79,045","2.38M","-3.46%"
"07/14/2021","78,813","80,051","80,129","77,419","2.87M","-1.55%"
"07/15/2021","79,355","77,574","80,903","77,574","2.96M","0.69%"
"07/16/2021","79,355","79,355","80,051","78,193","1.87M","0.00%"
"07/19/2021","75,096","77,419","77,574","74,245","3.24M","-5.37%"
"07/20/2021","77,574","75,716","78,193","72,387","3.04M","3.30%"
"07/21/2021","76,645","77,032","77,806","76,103","1.87M","-1.20%"
"07/22/2021","77,651","76,567","77,961","75,871","1.86M","1.31%"
"07/23/2021","75,096","76,877","77,264","75,096","2.17M","-3.29%"
"07/26/2021","74,322","74,709","75,484","74,090","1.61M","-1.03%"
"07/27/2021","73,548","75,484","75,561","73,548","3.39M","-1.04%"
"07/28/2021","75,096","73,626","75,096","73,626","1.90M","2.10%"
"07/29/2021","75,793","75,406","75,793","75,096","1.52M","0.93%"
"07/30/2021","75,871","75,329","76,490","75,251","1.73M","0.10%"
"08/02/2021","75,096","75,096","76,413","74,632","1.64M","-1.02%"
"08/03/2021","76,490","75,174","76,490","75,096","1.62M","1.86%"
"08/04/2021","76,258","76,800","76,877","75,948","1.48M","-0.30%"
"08/05/2021","76,955","75,871","77,032","75,793","1.44M","0.91%"
"08/06/2021","75,948","77,264","77,264","75,948","1.42M","-1.31%"
"08/09/2021","76,103","75,948","76,567","75,638","1.57M","0.20%"
"08/10/2021","76,645","76,645","76,800","76,258","1.99M","0.71%"
"08/11/2021","77,806","76,877","78,735","76,722","2.18M","1.51%"
"08/12/2021","77,342","77,806","78,038","77,032","1.26M","-0.60%"
"08/13/2021","77,109","77,342","77,342","76,103","1.70M","-0.30%"
"08/16/2021","77,884","77,109","77,884","76,645","2.54M","1.01%"
"08/17/2021","78,193","79,355","79,742","78,193","2.15M","0.40%"
"08/18/2021","78,193","78,193","79,355","77,187","2.36M","0.00%"
"08/19/2021","79,587","77,961","79,742","77,264","3.29M","1.78%"
"08/20/2021","77,496","78,348","78,890","76,955","2.29M","-2.63%"
"08/23/2021","75,329","76,645","77,419","74,787","2.73M","-2.80%"
"08/24/2021","75,096","76,800","76,800","74,709","1.36M","-0.31%"
