"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","38,761.0","38,606.0","38,761.0","38,373.0","375.05K","0.40%"
"07/02/2021","38,451.0","38,451.0","38,839.0","38,373.0","367.85K","-0.80%"
"07/05/2021","40,560.0","40,729.0","40,729.0","38,870.0","740.52K","5.48%"
"07/06/2021","37,729.0","39,715.0","39,715.0","37,729.0","248.82K","-6.98%"
"07/07/2021","37,349.0","37,687.0","37,729.0","35,574.0","328.90K","-1.01%"
"07/08/2021","37,940.0","37,349.0","37,940.0","35,997.0","429.22K","1.58%"
"07/09/2021","36,335.0","37,940.0","37,940.0","36,335.0","326.37K","-4.23%"
"07/12/2021","36,335.0","35,490.0","36,504.0","35,067.0","316.14K","0.00%"
"07/13/2021","35,574.0","36,757.0","36,757.0","35,574.0","382.25K","-2.09%"
"07/14/2021","37,771.0","36,250.0","37,771.0","35,912.0","971.30K","6.18%"
"07/15/2021","37,856.0","38,278.0","38,278.0","36,842.0","479.49K","0.23%"
"07/16/2021","37,095.0","37,856.0","37,856.0","37,095.0","447.26K","-2.01%"
"07/19/2021","37,095.0","37,011.0","37,095.0","35,743.0","560.34K","0.00%"
"07/20/2021","37,349.0","37,053.0","37,349.0","36,166.0","390.17K","0.68%"
"07/21/2021","37,687.0","37,349.0","38,025.0","37,349.0","497.97K","0.90%"
"07/22/2021","38,025.0","37,771.0","38,025.0","37,180.0","620.62K","0.90%"
"07/23/2021","37,856.0","38,363.0","38,447.0","37,602.0","446.60K","-0.44%"
"07/26/2021","37,771.0","37,856.0","37,856.0","37,602.0","426.03K","-0.22%"
"07/27/2021","37,813.0","37,771.0","37,856.0","36,926.0","559.57K","0.11%"
"07/28/2021","36,757.0","37,771.0","37,771.0","36,757.0","428.56K","-2.79%"
"07/29/2021","37,011.0","36,504.0","37,095.0","36,335.0","499.95K","0.69%"
"07/30/2021","37,264.0","37,349.0","37,349.0","37,011.0","601.26K","0.68%"
"08/02/2021","36,419.0","36,757.0","37,349.0","36,419.0","468.38K","-2.27%"
"08/03/2021","35,997.0","36,926.0","36,926.0","35,912.0","507.87K","-1.16%"
"08/04/2021","35,997.0","35,997.0","36,335.0","35,743.0","563.75K","0.00%"
"08/05/2021","35,828.0","36,250.0","36,250.0","35,743.0","439.56K","-0.47%"
"08/06/2021","35,997.0","35,912.0","36,081.0","35,828.0","553.96K","0.47%"
"08/09/2021","35,743.0","35,743.0","36,081.0","35,743.0","559.79K","-0.71%"
"08/10/2021","37,856.0","35,828.0","38,236.0","35,743.0","1.10M","5.91%"
"08/11/2021","37,940.0","38,194.0","38,447.0","37,602.0","707.08K","0.22%"
