"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","41,166.7","39,880.2","41,545.0","39,577.5","5.77M","4.21%"
"07/02/2021","44,042.3","41,772.1","44,042.3","41,545.0","6.82M","6.99%"
"07/05/2021","44,647.7","44,950.4","45,404.4","43,134.2","5.86M","1.37%"
"07/06/2021","41,545.0","44,269.3","45,026.0","41,545.0","4.98M","-6.95%"
"07/07/2021","42,301.8","41,620.7","42,755.8","39,577.5","4.67M","1.82%"
"07/08/2021","41,091.0","42,377.5","42,755.8","40,712.6","2.96M","-2.86%"
"07/09/2021","41,620.7","40,637.0","42,831.5","40,334.3","3.56M","1.29%"
"07/12/2021","38,972.1","40,864.0","41,620.7","38,745.1","5.33M","-6.36%"
"07/13/2021","39,880.2","40,107.2","40,107.2","38,745.1","1.91M","2.33%"
"07/14/2021","38,593.8","39,350.5","40,258.6","38,518.1","2.47M","-3.23%"
"07/15/2021","40,107.2","38,593.8","40,107.2","38,593.8","1.92M","3.92%"
"07/16/2021","39,426.2","40,258.6","40,788.3","39,350.5","2.17M","-1.70%"
"07/19/2021","36,701.9","38,593.8","39,350.5","36,701.9","4.50M","-6.91%"
"07/20/2021","38,139.7","36,701.9","38,215.4","34,204.7","11.05M","3.92%"
"07/21/2021","37,080.3","38,215.4","38,972.1","37,004.6","4.56M","-2.78%"
"07/22/2021","37,458.6","36,853.2","37,799.2","36,853.2","3.84M","1.02%"
"07/23/2021","35,869.5","37,080.3","37,420.8","35,869.5","7.55M","-4.24%"
"07/26/2021","34,810.1","35,150.6","35,718.1","34,053.3","5.69M","-2.95%"
"07/27/2021","35,945.2","35,566.8","36,285.7","35,264.1","4.65M","3.26%"
"07/28/2021","35,491.1","35,566.8","36,247.9","35,415.4","2.28M","-1.26%"
"07/29/2021","36,134.3","35,718.1","36,247.9","35,491.1","4.41M","1.81%"
"07/30/2021","37,685.7","36,323.5","37,988.4","36,323.5","6.97M","4.29%"
"08/02/2021","37,761.3","37,837.0","38,745.1","37,610.0","6.79M","0.20%"
"08/03/2021","38,972.1","37,685.7","38,972.1","37,307.3","9.45M","3.21%"
"08/04/2021","40,409.9","39,501.8","40,864.0","39,274.8","11.39M","3.69%"
"08/05/2021","42,226.1","40,107.2","42,226.1","39,880.2","8.26M","4.49%"
"08/06/2021","41,166.7","41,772.1","41,999.1","41,166.7","8.92M","-2.51%"
"08/09/2021","43,134.2","40,712.6","43,436.9","40,561.3","10.50M","4.78%"
"08/10/2021","43,134.2","43,815.3","43,815.3","42,301.8","6.17M","0.00%"
"08/11/2021","41,696.4","43,134.2","43,285.5","41,696.4","9.34M","-3.33%"
"08/12/2021","41,772.1","41,772.1","42,680.1","41,545.0","6.50M","0.18%"
"08/13/2021","43,134.2","41,923.4","43,134.2","41,772.1","8.19M","3.26%"
"08/16/2021","46,085.5","44,345.0","46,085.5","44,042.3","10.05M","6.84%"
"08/17/2021","46,842.2","46,085.5","47,674.6","45,858.5","9.06M","1.64%"
"08/18/2021","47,750.3","46,766.5","48,734.1","46,312.5","8.17M","1.94%"
"08/19/2021","48,355.7","47,750.3","48,582.7","47,296.3","6.33M","1.27%"
"08/20/2021","46,993.6","47,901.7","48,658.4","45,480.1","15.19M","-2.82%"
"08/23/2021","47,069.2","46,993.6","48,355.7","45,858.5","8.71M","0.16%"
"08/24/2021","43,966.6","47,069.2","47,296.3","43,890.9","11.28M","-6.59%"
"08/25/2021","45,253.1","44,042.3","45,404.4","43,739.6","4.82M","2.93%"
"08/26/2021","44,345.0","45,253.1","45,707.1","43,890.9","5.18M","-2.01%"
"08/27/2021","45,253.1","43,815.3","45,328.7","43,361.2","5.63M","2.05%"
"08/30/2021","46,085.5","46,161.2","46,161.2","45,026.0","6.54M","1.84%"
"08/31/2021","45,555.8","46,388.2","46,539.5","45,026.0","7.49M","-1.15%"
"09/01/2021","45,555.8","45,404.4","46,009.8","44,799.0","6.83M","0.00%"
"09/06/2021","46,388.2","46,161.2","46,463.8","45,253.1","7.98M","1.83%"
"09/07/2021","48,658.4","46,539.5","49,566.5","46,539.5","12.90M","4.89%"
"09/08/2021","47,826.0","49,188.1","49,188.1","47,144.9","7.77M","-1.71%"
"09/09/2021","48,053.0","47,674.6","48,053.0","46,993.6","6.32M","0.47%"
"09/10/2021","48,431.4","48,053.0","49,415.1","47,977.3","6.13M","0.79%"
"09/13/2021","48,128.7","48,128.7","48,355.7","47,296.3","6.14M","-0.63%"
"09/14/2021","47,371.9","48,053.0","48,053.0","47,296.3","3.88M","-1.57%"
"09/15/2021","47,296.3","46,917.9","47,977.3","46,388.2","3.72M","-0.16%"
