"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","34,952.0","33,333.0","35,190.0","32,857.0","12.20K","3.09%"
"07/02/2021","34,952.0","34,952.0","34,952.0","34,952.0","3.80K","0.00%"
"07/05/2021","35,714.0","35,714.0","35,714.0","35,714.0","0.10K","2.18%"
"07/06/2021","33,381.0","34,762.0","34,762.0","33,381.0","1.50K","-6.53%"
"07/07/2021","35,190.0","35,190.0","35,190.0","35,190.0","0.10K","5.42%"
"07/12/2021","34,905.0","33,048.0","34,905.0","33,048.0","0.60K","-0.81%"
"07/13/2021","34,190.0","32,476.0","34,857.0","32,476.0","2.40K","-2.05%"
"07/14/2021","34,810.0","34,810.0","34,810.0","34,810.0","0.10K","1.81%"
"07/15/2021","33,429.0","34,571.0","34,571.0","33,429.0","1.40K","-3.97%"
"07/16/2021","35,143.0","35,143.0","35,143.0","35,143.0","0.10K","5.13%"
"07/19/2021","34,667.0","32,714.0","34,667.0","32,714.0","2.60K","-1.35%"
"07/20/2021","34,000.0","34,000.0","34,000.0","34,000.0","","-1.92%"
"07/21/2021","34,238.0","34,238.0","34,238.0","34,238.0","0.10K","0.70%"
"07/22/2021","34,524.0","34,571.0","34,571.0","33,095.0","2.20K","0.84%"
"07/23/2021","34,524.0","34,524.0","34,524.0","33,000.0","0.30K","0.00%"
"07/26/2021","35,429.0","35,714.0","35,714.0","35,381.0","1.10K","2.62%"
"07/27/2021","35,190.0","33,571.0","35,190.0","33,571.0","0.80K","-0.67%"
"07/28/2021","34,571.0","33,762.0","34,714.0","33,762.0","1.10K","-1.76%"
"07/29/2021","34,524.0","33,810.0","34,524.0","33,333.0","1.10K","-0.14%"
"07/30/2021","35,524.0","34,524.0","35,524.0","34,524.0","0.20K","2.90%"
"08/11/2021","33,619.0","35,429.0","35,524.0","33,619.0","2.40K","-5.36%"
"08/12/2021","35,238.0","33,810.0","35,714.0","33,810.0","5.30K","4.82%"
"08/13/2021","35,238.0","35,524.0","35,524.0","34,286.0","10.20K","0.00%"
"08/16/2021","33,857.0","33,857.0","33,857.0","33,857.0","0.10K","-3.92%"
"08/17/2021","34,286.0","35,238.0","35,238.0","34,286.0","2.40K","1.27%"
"08/18/2021","35,905.0","35,333.0","35,905.0","35,238.0","3.90K","4.72%"
"08/19/2021","37,048.0","35,905.0","37,143.0","35,905.0","23.90K","3.18%"
"08/20/2021","36,190.0","37,048.0","37,143.0","35,238.0","2.70K","-2.32%"
"08/23/2021","36,190.0","36,000.0","36,190.0","36,000.0","1.10K","0.00%"
"08/24/2021","34,333.0","36,000.0","36,000.0","34,333.0","3.40K","-5.13%"
"08/25/2021","35,143.0","35,714.0","35,714.0","34,762.0","8.70K","2.36%"
"08/26/2021","35,905.0","35,190.0","36,667.0","34,762.0","5.20K","2.17%"
"08/27/2021","38,381.0","35,905.0","38,381.0","35,810.0","36.00K","6.90%"
"08/30/2021","41,048.0","41,048.0","41,048.0","40,095.0","38.30K","6.95%"
