"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","14,997.8","14,155.2","15,025.9","14,155.2","3.57M","6.80%"
"07/02/2021","16,008.9","15,166.3","16,037.0","15,166.3","3.26M","6.74%"
"07/05/2021","16,289.8","16,008.9","16,289.8","15,559.5","2.76M","1.75%"
"07/06/2021","15,166.3","16,402.1","16,626.8","15,166.3","3.98M","-6.90%"
"07/07/2021","15,391.0","15,222.5","15,447.2","14,323.8","2.50M","1.48%"
"07/08/2021","15,452.8","15,924.7","15,983.6","15,334.9","1.27M","0.40%"
"07/09/2021","14,745.0","15,098.9","15,452.8","14,686.1","2.28M","-4.58%"
"07/12/2021","13,712.9","14,155.2","14,214.2","13,712.9","1.80M","-7.00%"
"07/13/2021","13,742.4","13,919.3","13,948.8","13,034.6","1.44M","0.22%"
"07/14/2021","13,506.5","13,860.3","13,860.3","12,916.7","1.30M","-1.72%"
"07/15/2021","13,860.3","13,093.6","13,978.3","13,093.6","675.65K","2.62%"
"07/16/2021","13,653.9","13,948.8","14,037.3","13,624.4","707.53K","-1.49%"
"07/19/2021","12,710.2","12,975.6","13,300.0","12,710.2","1.82M","-6.91%"
"07/20/2021","13,388.5","12,592.3","13,388.5","12,149.9","1.95M","5.34%"
"07/21/2021","13,270.5","13,565.4","13,565.4","13,093.6","744.83K","-0.88%"
"07/22/2021","13,477.0","13,329.5","13,565.4","13,093.6","776.70K","1.56%"
"07/23/2021","13,093.6","13,477.0","13,477.0","12,975.6","899.79K","-2.84%"
"07/26/2021","12,946.2","12,444.8","12,975.6","12,444.8","574.43K","-1.13%"
"07/27/2021","13,211.6","13,211.6","13,447.5","13,005.1","805.19K","2.05%"
"07/28/2021","13,152.6","13,034.6","13,270.5","13,034.6","347.24K","-0.45%"
"07/29/2021","13,536.0","13,152.6","13,742.4","13,152.6","1.10M","2.92%"
"07/30/2021","13,919.3","13,683.4","14,066.8","13,624.4","967.44K","2.83%"
"08/02/2021","14,037.3","13,919.3","14,391.2","13,919.3","1.01M","0.85%"
"08/03/2021","14,656.6","14,037.3","14,656.6","14,037.3","1.76M","4.41%"
"08/04/2021","14,745.0","14,922.0","15,157.9","14,627.1","1.50M","0.60%"
"08/05/2021","14,951.5","14,686.1","14,981.0","14,391.2","883.52K","1.40%"
"08/06/2021","14,656.6","15,069.4","15,069.4","14,568.1","1.31M","-1.97%"
"08/09/2021","15,275.9","14,450.1","15,423.3","14,420.7","1.70M","4.23%"
"08/10/2021","15,187.4","15,629.8","15,629.8","15,040.0","1.04M","-0.58%"
"08/11/2021","14,804.0","15,216.9","15,334.9","14,745.0","1.21M","-2.52%"
"08/12/2021","14,745.0","14,774.5","15,040.0","14,597.6","1.33M","-0.40%"
"08/13/2021","14,981.0","14,568.1","15,040.0","14,568.1","1.15M","1.60%"
"08/16/2021","16,013.1","15,511.8","16,013.1","15,511.8","3.80M","6.89%"
"08/17/2021","16,396.5","16,691.4","16,691.4","16,160.6","2.80M","2.39%"
"08/18/2021","17,074.8","16,219.6","17,104.3","16,131.1","2.81M","4.14%"
"08/19/2021","17,605.6","17,281.2","17,989.0","16,809.4","2.90M","3.11%"
"08/20/2021","17,517.1","17,576.1","18,342.8","16,750.4","5.74M","-0.50%"
"08/23/2021","18,490.3","17,517.1","18,578.8","17,281.2","4.44M","5.56%"
"08/24/2021","17,222.2","18,755.7","18,814.7","17,222.2","3.64M","-6.86%"
"08/25/2021","17,104.3","16,986.3","17,104.3","16,514.5","1.95M","-0.68%"
"08/26/2021","16,927.3","16,779.9","17,458.1","16,779.9","1.56M","-1.03%"
"08/27/2021","17,222.2","16,750.4","17,222.2","16,278.5","1.76M","1.74%"
"08/30/2021","18,283.9","17,635.1","18,283.9","17,281.2","2.68M","6.16%"
"08/31/2021","18,313.4","18,755.7","18,844.2","18,283.9","3.06M","0.16%"
"09/01/2021","18,844.2","18,313.4","18,844.2","18,165.9","2.55M","2.90%"
"09/06/2021","19,551.9","19,109.6","20,112.2","19,109.6","2.54M","3.76%"
"09/07/2021","19,316.0","19,581.4","19,758.4","19,227.5","2.37M","-1.21%"
"09/08/2021","18,932.6","19,522.4","19,581.4","18,578.8","2.53M","-1.98%"
"09/09/2021","19,404.5","19,050.6","19,463.5","18,873.7","1.69M","2.49%"
"09/10/2021","19,463.5","19,404.5","19,876.3","19,404.5","1.66M","0.30%"
"09/13/2021","19,109.6","19,463.5","19,699.4","18,991.6","1.71M","-1.82%"
"09/14/2021","18,932.6","19,109.6","19,345.5","18,873.7","1.50M","-0.93%"
"09/15/2021","18,991.6","18,519.8","19,109.6","18,372.3","2.34M","0.31%"
"09/16/2021","18,873.7","19,050.6","19,286.5","18,785.2","1.10M","-0.62%"
"09/17/2021","19,876.3","18,755.7","19,935.3","18,755.7","2.62M","5.31%"
"09/20/2021","20,200.7","20,525.1","20,702.0","19,846.8","2.51M","1.63%"
"09/21/2021","20,112.2","19,640.4","20,200.7","19,640.4","1.63M","-0.44%"
"09/22/2021","20,082.8","20,112.2","20,348.2","19,876.3","1.25M","-0.15%"
"09/23/2021","19,964.8","20,348.2","20,407.1","19,964.8","1.51M","-0.59%"
"09/24/2021","19,522.4","19,994.3","19,994.3","19,522.4","1.09M","-2.22%"
"09/27/2021","18,460.8","19,463.5","19,522.4","18,342.8","2.65M","-5.44%"
"09/28/2021","18,696.7","18,283.9","18,696.7","17,989.0","1.29M","1.28%"
"09/29/2021","18,696.7","18,696.7","18,755.7","18,313.4","803.83K","0.00%"
"09/30/2021","18,755.7","19,109.6","19,109.6","18,637.7","527.80K","0.32%"
"10/01/2021","18,283.9","18,785.2","18,962.1","18,283.9","1.15M","-2.52%"
"10/04/2021","18,106.9","18,401.8","18,578.8","17,694.1","1.74M","-0.97%"
"10/05/2021","19,316.0","18,165.9","19,316.0","18,165.9","1.63M","6.68%"
"10/06/2021","19,434.0","19,758.4","19,758.4","19,198.1","1.44M","0.61%"
"10/07/2021","19,787.9","19,434.0","19,994.3","19,404.5","1.59M","1.82%"
"10/08/2021","19,669.9","19,817.3","20,053.3","19,551.9","938.62K","-0.60%"
