"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","27,726.0","28,101.0","28,101.0","27,492.0","120.40K","-1.33%"
"07/02/2021","28,007.0","27,726.0","28,007.0","27,445.0","250.30K","1.01%"
"07/05/2021","27,773.0","28,007.0","28,101.0","27,726.0","231.70K","-0.84%"
"07/06/2021","27,164.0","27,726.0","27,726.0","27,164.0","161.80K","-2.19%"
"07/07/2021","27,258.0","27,164.0","27,258.0","26,180.0","279.00K","0.35%"
"07/08/2021","27,258.0","27,258.0","27,258.0","26,461.0","117.30K","0.00%"
"07/09/2021","27,632.0","26,415.0","27,913.0","26,415.0","361.30K","1.37%"
"07/12/2021","26,508.0","27,585.0","27,585.0","26,274.0","56.80K","-4.07%"
"07/13/2021","26,602.0","25,946.0","26,789.0","25,946.0","42.30K","0.35%"
"07/14/2021","27,539.0","26,696.0","27,820.0","26,227.0","138.20K","3.52%"
"07/15/2021","27,632.0","27,539.0","27,632.0","26,977.0","40.30K","0.34%"
"07/16/2021","27,960.0","27,632.0","28,101.0","27,632.0","136.80K","1.19%"
"07/19/2021","27,445.0","27,539.0","27,632.0","26,696.0","207.10K","-1.84%"
"07/20/2021","27,492.0","26,742.0","27,539.0","26,742.0","56.20K","0.17%"
"07/21/2021","28,101.0","27,632.0","28,663.0","27,632.0","209.80K","2.22%"
"07/22/2021","28,194.0","28,288.0","28,569.0","28,148.0","73.30K","0.33%"
"07/23/2021","27,960.0","28,101.0","28,194.0","27,632.0","54.40K","-0.83%"
"07/26/2021","27,867.0","27,304.0","27,960.0","27,304.0","89.50K","-0.33%"
"07/27/2021","28,194.0","28,194.0","28,569.0","27,820.0","228.30K","1.17%"
"07/28/2021","28,429.0","28,194.0","28,663.0","28,194.0","217.40K","0.83%"
"07/29/2021","28,663.0","28,475.0","28,944.0","28,475.0","95.30K","0.82%"
"07/30/2021","28,522.0","28,148.0","28,663.0","28,148.0","162.50K","-0.49%"
"08/02/2021","28,663.0","28,944.0","29,787.0","28,569.0","346.70K","0.49%"
"08/03/2021","28,756.0","28,710.0","29,506.0","28,288.0","241.90K","0.32%"
"08/04/2021","28,475.0","28,850.0","28,944.0","28,382.0","138.50K","-0.98%"
"08/05/2021","28,101.0","28,382.0","28,382.0","27,913.0","284.30K","-1.31%"
"08/06/2021","27,960.0","28,382.0","28,382.0","27,867.0","187.50K","-0.50%"
"08/09/2021","29,880.0","27,960.0","29,880.0","27,960.0","1.10M","6.87%"
"08/10/2021","31,379.0","30,349.0","31,754.0","30,349.0","1.80M","5.02%"
"08/11/2021","31,613.0","31,426.0","32,316.0","30,911.0","2.21M","0.75%"
"08/12/2021","31,988.0","31,332.0","32,456.0","31,192.0","2.87M","1.19%"
"08/13/2021","31,847.0","32,035.0","32,128.0","30,911.0","2.34M","-0.44%"
"08/16/2021","32,925.0","32,175.0","32,971.0","32,082.0","2.84M","3.38%"
"08/17/2021","31,426.0","32,925.0","32,925.0","31,285.0","2.13M","-4.55%"
