"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","43,753.7","44,384.3","44,578.3","43,559.7","1.51M","-0.88%"
"07/02/2021","43,656.7","43,656.7","44,578.3","43,656.7","1.32M","-0.22%"
"07/05/2021","42,104.5","43,171.6","43,608.2","41,522.4","2.26M","-3.56%"
"07/06/2021","39,194.0","41,813.4","42,201.5","39,194.0","2.77M","-6.91%"
"07/07/2021","40,746.3","39,194.0","40,746.3","36,865.7","2.19M","3.96%"
"07/08/2021","39,097.0","40,649.2","40,649.2","38,611.9","1.08M","-4.05%"
"07/09/2021","38,078.3","38,708.9","39,291.0","37,835.8","1.45M","-2.61%"
"07/12/2021","36,041.0","37,835.8","37,835.8","35,458.9","2.61M","-5.35%"
"07/13/2021","37,932.8","36,332.1","37,932.8","35,895.5","879.50K","5.25%"
"07/14/2021","36,914.2","38,029.8","38,320.9","36,186.6","695.10K","-2.69%"
"07/15/2021","37,932.8","36,817.2","37,932.8","36,429.1","788.10K","2.76%"
"07/16/2021","37,253.7","37,835.8","38,029.8","37,156.7","703.30K","-1.79%"
"07/19/2021","35,895.5","35,604.5","36,574.6","34,925.4","1.79M","-3.65%"
"07/20/2021","37,641.8","35,895.5","37,641.8","35,410.4","1.12M","4.86%"
"07/21/2021","37,253.7","38,029.8","38,029.8","36,865.7","709.60K","-1.03%"
"07/22/2021","39,339.5","36,962.7","39,339.5","36,962.7","2.05M","5.60%"
"07/23/2021","38,563.4","39,291.0","39,582.1","38,563.4","1.12M","-1.97%"
"07/26/2021","39,921.6","38,126.9","40,067.2","37,641.8","1.25M","3.52%"
"07/27/2021","39,727.6","40,552.2","40,697.8","39,533.6","1.39M","-0.49%"
"07/28/2021","39,970.1","39,339.5","40,455.2","39,194.0","765.70K","0.61%"
"07/29/2021","39,776.1","40,261.2","40,358.2","39,679.1","1.01M","-0.49%"
"07/30/2021","39,873.1","39,776.1","40,309.7","39,727.6","1.21M","0.24%"
"08/02/2021","39,388.0","39,533.6","39,873.1","39,048.5","1.39M","-1.22%"
"08/03/2021","39,048.5","39,291.0","39,582.1","38,903.0","1.57M","-0.86%"
"08/04/2021","39,533.6","38,951.5","39,970.1","38,514.9","1.93M","1.24%"
"08/05/2021","40,940.3","39,533.6","41,425.4","39,533.6","1.71M","3.56%"
"08/06/2021","40,552.2","40,988.8","41,037.3","40,358.2","974.30K","-0.95%"
"08/09/2021","41,231.3","40,261.2","41,425.4","40,067.2","1.79M","1.67%"
"08/10/2021","41,619.4","41,522.4","42,153.0","40,940.3","2.38M","0.94%"
"08/11/2021","40,746.3","41,619.4","42,201.5","40,746.3","1.55M","-2.10%"
"08/12/2021","40,891.8","40,746.3","41,279.8","40,406.7","1.39M","0.36%"
"08/13/2021","43,753.7","41,522.4","43,753.7","41,425.4","4.73M","7.00%"
"08/16/2021","44,529.8","45,500.0","45,791.0","44,432.8","3.41M","1.77%"
"08/17/2021","44,820.9","44,141.8","45,111.9","44,141.8","1.96M","0.65%"
"08/18/2021","46,179.1","44,529.8","47,052.2","44,529.8","4.65M","3.03%"
"08/19/2021","46,179.1","46,276.1","47,052.2","45,791.0","2.68M","0.00%"
"08/20/2021","43,753.7","46,179.1","46,179.1","42,977.6","3.86M","-5.25%"
"08/23/2021","41,279.8","43,074.6","44,141.8","41,279.8","3.14M","-5.65%"
"08/24/2021","42,929.1","41,279.8","42,929.1","40,261.2","3.11M","4.00%"
"08/25/2021","43,462.7","42,783.6","43,753.7","42,492.5","1.31M","1.24%"
"08/26/2021","44,335.8","43,462.7","44,966.4","42,589.5","2.19M","2.01%"
"08/27/2021","45,403.0","44,335.8","45,500.0","43,462.7","1.86M","2.41%"
"08/30/2021","48,507.5","46,082.1","48,507.5","45,597.0","5.88M","6.84%"
"08/31/2021","48,070.9","49,380.6","49,380.6","47,682.8","3.42M","-0.90%"
"09/01/2021","48,507.5","47,537.3","49,283.6","47,294.8","3.04M","0.91%"
"09/06/2021","49,865.7","48,604.5","50,253.7","48,022.4","3.79M","2.80%"
"09/07/2021","47,537.3","49,865.7","49,962.7","47,052.2","3.02M","-4.67%"
"09/08/2021","47,343.3","47,537.3","48,701.5","47,052.2","2.11M","-0.41%"
"09/09/2021","48,992.5","47,440.3","49,089.5","47,246.3","1.57M","3.48%"
"09/10/2021","50,447.7","48,992.5","51,708.9","48,992.5","4.17M","2.97%"
"09/13/2021","51,417.9","51,223.9","51,903.0","50,253.7","3.21M","1.92%"
"09/14/2021","50,932.8","51,417.9","51,417.9","49,962.7","2.00M","-0.94%"
"09/15/2021","52,000.0","50,738.8","52,194.0","50,156.7","2.18M","2.10%"
"09/16/2021","50,835.8","51,903.0","52,194.0","50,350.7","1.56M","-2.24%"
"09/17/2021","50,253.7","50,835.8","51,611.9","49,865.7","2.43M","-1.15%"
"09/20/2021","48,410.4","50,253.7","51,223.9","48,410.4","3.29M","-3.67%"
"09/21/2021","49,477.6","47,343.3","49,768.6","47,052.2","3.01M","2.20%"
"09/22/2021","49,477.6","49,477.6","49,865.7","49,089.5","1.18M","0.00%"
"09/23/2021","48,992.5","49,574.6","49,962.7","48,992.5","1.68M","-0.98%"
"09/24/2021","47,925.4","48,895.5","48,895.5","47,052.2","2.43M","-2.18%"
"09/27/2021","46,567.2","47,537.3","48,022.4","46,567.2","2.25M","-2.83%"
"09/28/2021","49,283.6","46,276.1","49,283.6","46,276.1","1.76M","5.83%"
"09/29/2021","50,253.7","48,895.5","50,641.8","48,313.4","1.84M","1.97%"
"09/30/2021","50,156.7","51,126.9","51,126.9","50,059.7","1.35M","-0.19%"
"10/01/2021","50,835.8","49,865.7","51,223.9","49,574.6","1.68M","1.35%"
"10/04/2021","52,582.1","50,835.8","54,134.3","50,641.8","2.68M","3.44%"
"10/05/2021","53,067.2","53,261.2","53,552.2","52,582.1","1.14M","0.92%"
"10/06/2021","53,164.2","53,164.2","53,455.2","52,388.0","637.30K","0.18%"
"10/07/2021","53,940.3","53,164.2","54,328.3","52,485.1","2.05M","1.46%"
"10/08/2021","55,492.5","53,843.3","57,141.8","53,649.2","2.26M","2.88%"
"10/11/2021","55,395.5","55,492.5","55,783.6","54,328.3","965.40K","-0.17%"
"10/12/2021","55,298.5","54,910.4","56,268.6","54,619.4","913.50K","-0.18%"
"10/13/2021","55,880.6","55,589.5","56,171.6","54,910.4","1.14M","1.05%"
"10/14/2021","55,298.5","55,783.6","56,268.6","55,298.5","1.14M","-1.04%"
"10/15/2021","56,462.7","55,298.5","57,044.8","55,007.4","1.75M","2.11%"
"10/18/2021","55,298.5","56,268.6","56,947.7","55,007.4","1.17M","-2.06%"
"10/19/2021","55,977.6","55,104.5","56,171.6","54,813.4","1.18M","1.23%"
"10/20/2021","56,462.7","56,462.7","56,462.7","55,298.5","1.25M","0.87%"
"10/21/2021","57,723.9","57,141.8","58,208.9","57,044.8","2.77M","2.23%"
"10/22/2021","60,052.2","58,208.9","60,052.2","57,529.8","2.26M","4.03%"
"10/25/2021","58,208.9","60,149.2","61,119.4","58,208.9","1.78M","-3.07%"
"10/26/2021","61,604.5","58,208.9","61,604.5","58,208.9","1.83M","5.83%"
"10/27/2021","61,604.5","62,089.5","62,574.6","61,119.4","1.44M","0.00%"
"10/28/2021","60,634.3","61,992.5","61,992.5","60,634.3","1.59M","-1.57%"
"10/29/2021","61,119.4","60,634.3","61,992.5","59,276.1","2.01M","0.80%"
"11/01/2021","62,574.6","61,119.4","63,835.8","60,828.3","1.19M","2.38%"
"11/02/2021","63,350.7","62,962.7","63,835.8","62,574.6","946.70K","1.24%"
"11/03/2021","59,276.1","63,059.7","63,544.8","58,985.1","2.73M","-6.43%"
"11/04/2021","60,925.4","59,276.1","61,992.5","59,082.1","1.36M","2.78%"
"11/05/2021","62,768.6","61,798.5","64,029.8","60,925.4","1.11M","3.03%"
"11/08/2021","65,000.0","63,059.7","65,097.0","62,865.7","2.11M","3.55%"
"11/09/2021","64,320.9","65,097.0","65,097.0","63,738.8","944.50K","-1.04%"
"11/10/2021","65,000.0","64,223.9","65,873.1","63,544.8","1.17M","1.06%"
"11/11/2021","64,514.9","64,514.9","65,679.1","63,641.8","973.80K","-0.75%"
"11/12/2021","65,388.0","64,903.0","65,582.1","64,029.8","1.06M","1.35%"
"11/15/2021","62,089.5","65,485.1","65,485.1","60,925.4","2.90M","-5.04%"
"11/16/2021","63,059.7","61,216.4","64,708.9","60,828.3","1.45M","1.56%"
"11/17/2021","62,283.6","63,059.7","63,738.8","61,895.5","751.40K","-1.23%"
"11/18/2021","60,052.2","62,574.6","62,671.6","59,470.1","1.89M","-3.58%"
"11/19/2021","58,694.0","59,761.2","60,052.2","57,141.8","2.30M","-2.26%"
"11/22/2021","58,694.0","58,694.0","60,149.2","58,306.0","526.60K","0.00%"
"11/23/2021","61,604.5","58,985.1","61,604.5","58,985.1","777.10K","4.96%"
"11/24/2021","62,671.6","62,089.5","63,253.7","61,410.4","961.60K","1.73%"
"11/25/2021","62,768.6","63,350.7","63,350.7","61,701.5","1.07M","0.15%"
"11/26/2021","60,149.2","62,186.6","62,186.6","60,149.2","1.04M","-4.17%"
"11/29/2021","59,082.1","59,276.1","60,052.2","58,306.0","796.70K","-1.77%"
"11/30/2021","59,373.1","60,149.2","61,022.4","58,791.0","822.10K","0.49%"
"12/01/2021","59,858.2","59,470.1","60,731.3","59,082.1","857.00K","0.82%"
"12/02/2021","61,798.5","59,955.2","62,671.6","59,955.2","1.15M","3.24%"
"12/03/2021","59,664.2","62,089.5","62,089.5","59,664.2","838.20K","-3.45%"
"12/06/2021","56,753.7","59,761.2","59,955.2","55,492.5","872.60K","-4.88%"
"12/07/2021","60,343.3","57,335.8","60,343.3","56,850.7","688.90K","6.32%"
"12/08/2021","60,052.2","60,440.3","60,440.3","59,179.1","558.80K","-0.48%"
"12/09/2021","60,052.2","59,276.1","61,022.4","59,276.1","460.50K","0.00%"
"12/10/2021","62,089.5","61,119.4","62,768.6","61,119.4","1.41M","3.39%"
"12/13/2021","62,865.7","63,932.8","63,932.8","62,671.6","853.20K","1.25%"
"12/14/2021","62,671.6","62,865.7","62,865.7","61,604.5","610.60K","-0.31%"
