"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","86,652","86,578","87,613","86,356","4.81M","-0.68%"
"07/02/2021","87,243","86,652","88,130","86,134","4.10M","0.68%"
"07/05/2021","87,613","87,982","87,982","85,173","5.92M","0.42%"
"07/06/2021","81,550","87,317","88,056","81,550","5.53M","-6.92%"
"07/07/2021","86,504","82,068","86,504","80,959","9.19M","6.07%"
"07/08/2021","85,025","85,395","86,282","84,138","6.06M","-1.71%"
"07/09/2021","83,177","84,064","85,691","82,437","5.07M","-2.17%"
"07/12/2021","79,850","82,807","82,807","77,410","10.48M","-4.00%"
"07/13/2021","80,959","81,254","81,254","78,371","3.33M","1.39%"
"07/14/2021","80,959","81,107","82,955","79,702","4.32M","0.00%"
"07/15/2021","81,550","80,219","81,772","80,219","5.92M","0.73%"
"07/16/2021","80,589","81,550","81,698","80,367","2.75M","-1.18%"
"07/19/2021","77,114","79,036","79,628","76,375","4.15M","-4.31%"
"07/20/2021","78,815","78,075","78,815","76,153","5.26M","2.21%"
"07/21/2021","79,850","79,480","80,441","78,815","3.95M","1.31%"
"07/22/2021","82,068","79,850","82,068","79,110","4.42M","2.78%"
"07/23/2021","79,554","81,328","82,437","79,554","3.43M","-3.06%"
"07/26/2021","81,033","79,480","81,772","79,258","3.58M","1.86%"
"07/27/2021","79,702","81,846","81,920","79,554","6.95M","-1.64%"
"07/28/2021","78,741","79,184","79,628","78,075","6.38M","-1.21%"
"07/29/2021","79,776","80,589","80,811","78,741","5.14M","1.31%"
"07/30/2021","80,071","79,850","80,441","79,110","6.15M","0.37%"
"08/02/2021","79,924","79,850","80,145","79,184","6.25M","-0.18%"
"08/03/2021","81,994","79,702","82,955","79,702","12.94M","2.59%"
"08/04/2021","81,698","82,437","82,807","80,959","5.36M","-0.36%"
"08/05/2021","82,585","81,624","82,585","81,254","6.84M","1.09%"
"08/06/2021","84,212","82,807","84,655","82,659","14.59M","1.97%"
