"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","36,370","36,370","37,037","36,148","1.01M","-0.71%"
"07/02/2021","37,111","36,667","37,630","36,370","2.02M","2.04%"
"07/05/2021","37,185","37,778","37,778","36,778","1.75M","0.20%"
"07/06/2021","37,407","37,333","38,445","37,185","6.58M","0.60%"
"07/07/2021","36,889","37,185","37,185","35,556","1.98M","-1.39%"
"07/08/2021","38,074","37,000","38,296","36,741","4.58M","3.21%"
"07/09/2021","38,815","38,074","40,000","37,482","8.13M","1.95%"
"07/12/2021","36,445","38,519","38,519","36,111","3.79M","-6.11%"
"07/13/2021","35,333","37,185","37,185","34,815","4.53M","-3.05%"
"07/14/2021","32,889","34,296","35,185","32,889","5.92M","-6.92%"
"07/15/2021","33,259","32,593","34,074","31,482","2.80M","1.13%"
"07/16/2021","33,222","33,704","33,926","33,148","1.07M","-0.11%"
"07/19/2021","30,926","31,926","31,926","30,926","2.92M","-6.91%"
"07/20/2021","31,111","30,370","31,111","28,889","5.18M","0.60%"
"07/21/2021","30,445","31,852","31,852","30,445","995.40K","-2.14%"
"07/22/2021","30,889","30,370","31,037","29,630","1.62M","1.46%"
"07/23/2021","29,778","30,667","30,741","29,778","1.96M","-3.60%"
"07/26/2021","28,556","28,926","29,630","28,296","2.30M","-4.10%"
"07/27/2021","29,407","28,963","29,630","28,741","1.21M","2.98%"
"07/28/2021","29,852","28,889","30,445","28,889","1.65M","1.51%"
"07/29/2021","30,037","29,889","30,259","29,889","1.02M","0.62%"
"07/30/2021","30,815","30,074","30,889","30,074","2.54M","2.59%"
"08/02/2021","30,926","30,815","31,074","30,370","2.72M","0.36%"
"08/03/2021","30,815","31,037","31,111","30,593","1.73M","-0.36%"
"08/04/2021","30,630","30,852","30,889","30,519","1.62M","-0.60%"
"08/05/2021","31,111","30,630","31,259","30,370","2.83M","1.57%"
"08/06/2021","30,889","31,259","31,296","30,889","1.75M","-0.71%"
"08/09/2021","31,111","30,778","31,222","30,482","1.77M","0.72%"
"08/10/2021","30,963","31,482","31,482","30,926","2.02M","-0.48%"
"08/11/2021","30,815","31,037","31,407","30,778","1.79M","-0.48%"
"08/12/2021","30,370","30,815","30,889","30,370","2.50M","-1.44%"
"08/13/2021","30,222","30,370","30,593","29,926","1.86M","-0.49%"
"08/16/2021","30,963","30,222","31,037","29,926","2.54M","2.45%"
"08/17/2021","30,852","31,333","31,370","30,741","1.98M","-0.36%"
"08/18/2021","30,445","30,852","30,889","30,370","2.79M","-1.32%"
"08/19/2021","30,037","30,296","30,370","30,000","1.39M","-1.34%"
"08/20/2021","28,667","30,222","30,222","28,000","3.52M","-4.56%"
"08/23/2021","26,667","28,519","28,667","26,667","6.56M","-6.98%"
"08/24/2021","26,556","26,445","27,111","25,741","1.90M","-0.42%"
"08/25/2021","27,407","26,704","27,778","26,704","1.22M","3.21%"
"08/26/2021","26,889","27,407","27,630","26,815","1.08M","-1.89%"
"08/27/2021","26,667","26,370","26,889","25,556","2.08M","-0.83%"
"08/30/2021","27,000","26,667","27,111","26,519","1.54M","1.25%"
"08/31/2021","26,852","27,407","27,630","26,667","1.24M","-0.55%"
"09/01/2021","26,704","26,667","26,815","26,593","844.20K","-0.55%"
"09/06/2021","26,519","26,667","26,815","26,296","1.40M","-0.69%"
"09/07/2021","27,037","26,593","27,370","26,593","2.00M","1.96%"
"09/08/2021","27,074","27,259","27,593","26,963","1.84M","0.14%"
"09/09/2021","27,111","27,111","27,111","26,815","620.70K","0.14%"
"09/10/2021","26,889","27,148","27,185","26,741","982.30K","-0.82%"
"09/13/2021","26,593","26,815","26,889","26,445","1.17M","-1.10%"
"09/14/2021","26,222","26,593","26,593","26,185","1.16M","-1.39%"
"09/15/2021","26,037","26,074","26,222","25,926","775.60K","-0.71%"
"09/16/2021","26,074","26,148","26,889","26,037","607.50K","0.14%"
"09/17/2021","26,667","26,111","26,815","26,074","986.30K","2.27%"
"09/20/2021","28,519","26,963","28,519","26,963","5.42M","6.94%"
"09/21/2021","29,259","28,519","29,259","28,222","4.75M","2.60%"
"09/22/2021","28,741","29,630","29,630","28,667","1.45M","-1.77%"
"09/23/2021","28,000","28,593","28,741","27,963","4.07M","-2.58%"
"09/24/2021","28,482","28,148","28,667","28,148","2.92M","1.72%"
"09/27/2021","27,037","28,370","28,482","27,037","2.07M","-5.07%"
"09/28/2021","27,037","27,111","27,407","26,741","1.34M","0.00%"
"09/29/2021","26,630","27,000","27,074","26,333","2.21M","-1.51%"
"09/30/2021","26,185","26,593","27,000","26,074","2.77M","-1.67%"
"10/01/2021","25,407","26,185","26,333","25,407","2.25M","-2.97%"
"10/04/2021","24,630","25,482","25,852","24,630","3.06M","-3.06%"
"10/05/2021","25,519","24,741","25,519","24,741","1.94M","3.61%"
"10/06/2021","25,556","25,519","25,778","25,407","1.15M","0.15%"
"10/07/2021","25,445","25,482","25,741","25,037","1.35M","-0.43%"
"10/08/2021","25,630","25,630","25,667","25,185","1.53M","0.73%"
"10/11/2021","26,407","25,852","26,445","25,852","1.90M","3.03%"
"10/12/2021","26,741","26,815","27,037","26,630","1.87M","1.26%"
"10/13/2021","26,815","26,815","26,889","26,296","1.46M","0.28%"
"10/14/2021","26,963","26,963","27,407","26,778","1.11M","0.55%"
"10/15/2021","27,185","26,963","27,333","26,667","1.69M","0.82%"
"10/18/2021","27,074","27,185","27,333","26,667","1.17M","-0.41%"
"10/19/2021","26,963","27,148","27,148","26,593","1.06M","-0.41%"
"10/20/2021","27,111","26,815","27,407","26,556","1.70M","0.55%"
"10/21/2021","27,333","27,185","27,630","26,963","2.25M","0.82%"
"10/22/2021","27,333","27,370","27,593","27,000","1.25M","0.00%"
"10/25/2021","26,778","27,333","27,333","26,667","891.00K","-2.03%"
"10/26/2021","27,259","26,667","27,259","26,445","1.60M","1.80%"
"10/27/2021","27,482","27,407","27,519","26,889","2.46M","0.82%"
"10/28/2021","27,556","27,482","27,778","27,037","1.55M","0.27%"
"10/29/2021","27,407","27,519","27,556","27,111","1.42M","-0.54%"
"11/01/2021","27,111","27,407","27,482","27,074","1.14M","-1.08%"
"11/02/2021","27,741","27,074","27,741","26,778","1.95M","2.32%"
"11/03/2021","28,667","27,815","28,889","27,778","4.10M","3.34%"
"11/04/2021","28,370","28,815","28,926","28,259","906.50K","-1.03%"
"11/05/2021","28,148","28,445","28,482","27,778","1.02M","-0.78%"
"11/08/2021","27,889","28,148","28,889","27,704","2.08M","-0.92%"
