"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","105,422","106,400","106,578","105,333","2.47M","-0.34%"
"07/02/2021","104,444","104,978","105,689","104,444","2.01M","-0.93%"
"07/05/2021","102,222","104,444","104,444","102,133","3.11M","-2.13%"
"07/06/2021","99,556","102,222","103,111","99,556","3.38M","-2.61%"
"07/07/2021","101,333","99,556","101,333","97,778","2.82M","1.78%"
"07/08/2021","98,667","100,444","100,444","98,222","1.67M","-2.63%"
"07/09/2021","96,533","98,489","98,667","95,556","2.01M","-2.16%"
"07/12/2021","92,444","96,444","97,778","90,400","3.22M","-4.24%"
"07/13/2021","91,556","92,533","93,422","88,000","2.65M","-0.96%"
"07/14/2021","91,556","91,556","94,578","90,667","2.91M","0.00%"
"07/15/2021","90,667","91,556","92,178","89,956","2.91M","-0.97%"
"07/16/2021","94,044","90,756","94,311","90,756","2.43M","3.72%"
"07/19/2021","91,467","91,644","93,333","89,333","2.08M","-2.74%"
"07/20/2021","91,556","91,200","91,822","88,889","2.40M","0.10%"
"07/21/2021","92,444","91,644","94,667","90,667","3.11M","0.97%"
"07/22/2021","94,400","92,444","94,933","92,178","2.52M","2.12%"
"07/23/2021","92,444","94,400","96,711","92,444","3.47M","-2.07%"
"07/26/2021","92,622","93,156","93,689","91,644","2.18M","0.19%"
"07/27/2021","92,711","93,333","94,044","92,711","1.62M","0.10%"
"07/28/2021","93,511","92,711","93,778","92,444","1.34M","0.86%"
"07/29/2021","93,422","93,778","93,867","92,889","1.21M","-0.10%"
"07/30/2021","95,289","95,111","95,378","94,222","2.63M","2.00%"
"08/02/2021","95,556","95,556","97,422","95,022","1.89M","0.28%"
"08/03/2021","101,778","97,244","102,222","96,889","8.20M","6.51%"
"08/04/2021","101,333","102,667","103,467","101,333","3.24M","-0.44%"
"08/05/2021","101,333","101,067","102,222","100,356","2.31M","0.00%"
"08/06/2021","100,711","102,222","103,022","100,711","3.40M","-0.61%"
"08/09/2021","100,533","100,622","101,067","99,200","3.62M","-0.18%"
"08/10/2021","100,444","102,222","102,222","100,444","3.18M","-0.09%"
"08/11/2021","98,667","100,444","101,333","98,667","2.68M","-1.77%"
"08/12/2021","98,756","98,667","100,356","98,222","2.06M","0.09%"
"08/13/2021","98,578","99,111","99,733","98,222","2.38M","-0.18%"
"08/16/2021","98,311","99,556","100,178","98,311","3.47M","-0.27%"
"08/17/2021","98,900","100,000","103,400","98,900","4.89M","0.60%"
"08/18/2021","97,900","99,000","100,200","97,900","2.30M","-1.01%"
"08/19/2021","104,000","97,900","104,000","96,700","3.52M","6.23%"
"08/20/2021","97,700","100,000","102,000","97,200","4.95M","-6.06%"
"08/23/2021","96,200","97,500","97,700","95,800","2.16M","-1.54%"
"08/24/2021","95,400","96,400","97,000","95,100","1.42M","-0.83%"
"08/25/2021","94,600","95,400","95,400","93,000","2.06M","-0.84%"
"08/26/2021","93,100","94,600","94,600","93,000","1.77M","-1.59%"
"08/27/2021","94,800","93,000","95,000","91,500","2.49M","1.83%"
"08/30/2021","94,100","95,000","95,300","94,100","1.41M","-0.74%"
"08/31/2021","94,100","94,100","95,100","93,800","1.53M","0.00%"
"09/01/2021","94,100","94,100","95,000","94,100","1.30M","0.00%"
"09/06/2021","95,000","94,400","95,800","94,200","1.93M","0.96%"
"09/07/2021","93,900","95,500","95,500","93,900","2.28M","-1.16%"
"09/08/2021","92,000","94,000","94,300","92,000","2.51M","-2.02%"
"09/09/2021","91,300","92,200","92,400","91,300","2.70M","-0.76%"
"09/10/2021","91,300","91,800","92,000","91,300","1.61M","0.00%"
"09/13/2021","92,000","91,800","93,400","91,600","1.83M","0.77%"
"09/14/2021","92,000","92,300","92,900","91,900","1.42M","0.00%"
"09/15/2021","91,400","92,000","92,400","91,300","1.04M","-0.65%"
"09/16/2021","87,800","91,400","91,400","87,800","15.13M","-3.94%"
"09/17/2021","86,800","88,000","89,200","86,800","5.57M","-1.14%"
"09/20/2021","86,700","87,000","88,900","86,000","4.01M","-0.12%"
"09/21/2021","85,600","85,500","86,400","85,000","4.52M","-1.27%"
"09/22/2021","86,100","85,600","86,900","85,400","2.85M","0.58%"
"09/23/2021","87,100","86,500","87,400","86,400","2.66M","1.16%"
"09/24/2021","87,000","87,100","87,500","86,300","3.21M","-0.11%"
"09/27/2021","86,100","87,000","87,500","83,200","3.00M","-1.03%"
