"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","7,542.1","7,550.7","7,550.7","7,342.4","791.70K","-0.11%"
"07/02/2021","7,741.7","7,628.9","7,811.1","7,550.7","484.30K","2.65%"
"07/05/2021","7,542.1","7,741.7","7,741.7","7,429.2","428.00K","-2.58%"
"07/06/2021","7,290.4","7,550.7","7,628.9","7,290.4","330.60K","-3.34%"
"07/07/2021","7,116.8","7,203.6","7,203.6","6,813.0","440.30K","-2.38%"
"07/08/2021","7,064.7","7,056.0","7,116.8","7,012.6","239.90K","-0.73%"
"07/09/2021","6,856.4","6,943.2","7,030.0","6,830.4","508.50K","-2.95%"
"07/12/2021","6,405.1","6,561.3","6,717.6","6,379.1","667.40K","-6.58%"
"07/13/2021","6,526.6","6,353.0","6,552.7","6,353.0","170.80K","1.90%"
"07/14/2021","6,795.7","6,726.2","6,813.0","6,639.4","199.40K","4.12%"
"07/15/2021","6,908.5","6,847.7","6,925.9","6,752.3","126.90K","1.66%"
"07/16/2021","6,873.8","6,899.8","6,934.5","6,856.4","136.60K","-0.50%"
"07/19/2021","6,561.3","6,509.3","6,804.3","6,509.3","270.50K","-4.55%"
"07/20/2021","6,813.0","6,708.9","6,813.0","6,639.4","289.60K","3.84%"
"07/21/2021","6,830.4","6,943.2","7,030.0","6,804.3","112.60K","0.26%"
"07/22/2021","6,943.2","6,830.4","7,030.0","6,813.0","194.30K","1.65%"
"07/23/2021","7,073.4","6,943.2","7,116.8","6,943.2","342.90K","1.88%"
"07/26/2021","7,030.0","7,047.4","7,073.4","6,995.3","221.20K","-0.61%"
"07/27/2021","6,934.5","7,030.0","7,099.4","6,891.1","577.10K","-1.36%"
"07/28/2021","6,943.2","6,943.2","6,943.2","6,821.7","580.10K","0.13%"
"07/29/2021","7,055.8","7,243.5","7,243.5","7,037.0","268.40K","1.62%"
"07/30/2021","7,055.8","7,084.0","7,224.7","7,037.0","175.10K","0.00%"
"08/02/2021","6,962.0","7,055.8","7,055.8","6,924.4","318.60K","-1.33%"
"08/03/2021","6,962.0","6,962.0","7,037.0","6,952.6","272.80K","0.00%"
"08/04/2021","6,952.6","6,980.7","7,018.3","6,933.8","482.50K","-0.14%"
"08/05/2021","7,187.2","6,943.2","7,281.0","6,943.2","452.80K","3.37%"
"08/06/2021","7,262.2","7,168.4","7,318.5","7,121.5","648.40K","1.04%"
"08/09/2021","7,731.4","7,252.8","7,740.7","7,224.7","1.18M","6.46%"
"08/10/2021","7,853.3","7,740.7","7,975.3","7,740.7","1.15M","1.58%"
"08/11/2021","8,153.6","7,862.7","8,350.6","7,862.7","1.53M","3.82%"
"08/12/2021","7,787.7","8,153.6","8,153.6","7,787.7","1.02M","-4.49%"
"08/13/2021","7,768.9","7,693.8","7,787.7","7,478.0","818.10K","-0.24%"
"08/16/2021","7,722.0","7,928.4","7,975.3","7,637.5","809.80K","-0.60%"
"08/17/2021","7,646.9","7,834.6","7,834.6","7,581.2","548.00K","-0.97%"
"08/18/2021","7,628.2","7,562.5","7,693.8","7,562.5","428.20K","-0.24%"
"08/19/2021","7,778.3","7,534.3","7,787.7","7,534.3","696.60K","1.97%"
"08/20/2021","7,778.3","7,834.6","8,069.1","7,628.2","1.79M","0.00%"
"08/23/2021","7,506.2","7,740.7","7,740.7","7,496.8","552.10K","-3.50%"
"08/24/2021","7,496.8","7,506.2","7,600.0","7,318.5","493.90K","-0.13%"
"08/25/2021","7,421.7","7,487.4","7,487.4","7,243.5","621.30K","-1.00%"
"08/26/2021","7,675.1","7,421.7","7,787.7","7,421.7","635.10K","3.41%"
"08/27/2021","7,712.6","7,646.9","7,834.6","7,553.1","370.60K","0.49%"
"08/30/2021","7,825.2","7,928.4","7,928.4","7,740.7","648.80K","1.46%"
"08/31/2021","7,693.8","7,806.4","7,881.5","7,693.8","538.40K","-1.68%"
"09/01/2021","7,787.7","7,646.9","7,853.3","7,646.9","485.20K","1.22%"
"09/06/2021","8,331.9","7,975.3","8,331.9","7,890.9","2.30M","6.99%"
"09/07/2021","8,350.6","8,772.8","8,838.5","8,331.9","2.12M","0.22%"
"09/08/2021","8,219.3","8,228.6","8,444.4","7,937.8","1.13M","-1.57%"
"09/09/2021","8,444.4","8,200.5","8,528.9","8,069.1","1.02M","2.74%"
"09/10/2021","9,035.6","8,632.1","9,035.6","8,632.1","4.61M","7.00%"
"09/13/2021","9,664.2","9,382.7","9,664.2","9,382.7","1.67M","6.96%"
"09/14/2021","9,382.7","10,133.3","10,133.3","9,335.8","3.49M","-2.91%"
"09/15/2021","10,039.5","9,148.2","10,039.5","9,110.6","2.74M","7.00%"
"09/16/2021","10,696.3","10,133.3","10,696.3","10,133.3","3.13M","6.54%"
"09/17/2021","11,400.0","11,259.3","11,400.0","10,977.8","2.84M","6.58%"
"09/20/2021","11,259.3","11,400.0","12,197.5","11,071.6","3.57M","-1.23%"
"09/21/2021","12,009.9","10,790.1","12,009.9","10,790.1","3.31M","6.67%"
"09/22/2021","11,963.0","12,525.9","12,525.9","11,822.2","1.70M","-0.39%"
"09/23/2021","11,165.4","12,056.8","12,056.8","11,165.4","3.36M","-6.67%"
"09/24/2021","10,696.3","10,696.3","11,634.6","10,508.6","2.37M","-4.20%"
"09/27/2021","10,133.3","10,555.6","11,024.7","10,133.3","2.32M","-5.26%"
"09/28/2021","10,696.3","9,758.0","10,743.2","9,664.2","1.56M","5.56%"
"09/29/2021","10,743.2","10,696.3","10,790.1","10,367.9","595.60K","0.44%"
"09/30/2021","10,790.1","10,743.2","10,930.9","10,602.5","1.20M","0.44%"
"10/01/2021","10,414.8","10,508.6","10,884.0","10,414.8","1.40M","-3.48%"
"10/04/2021","11,118.5","10,696.3","11,118.5","10,602.5","903.70K","6.76%"
"10/05/2021","11,118.5","11,540.7","11,587.7","10,790.1","1.66M","0.00%"
"10/06/2021","10,930.9","10,977.8","11,118.5","10,602.5","1.23M","-1.69%"
"10/07/2021","11,259.3","10,790.1","11,540.7","10,602.5","2.04M","3.00%"
"10/08/2021","11,259.3","11,259.3","11,634.6","11,118.5","2.37M","0.00%"
"10/11/2021","11,071.6","11,259.3","11,400.0","10,977.8","938.00K","-1.67%"
"10/12/2021","11,353.1","10,977.8","11,446.9","10,930.9","2.55M","2.54%"
"10/13/2021","11,728.4","11,540.7","11,869.1","11,540.7","2.60M","3.31%"
"10/14/2021","12,525.9","11,916.1","12,525.9","11,634.6","3.17M","6.80%"
"10/15/2021","12,338.3","12,572.8","12,948.2","12,056.8","1.56M","-1.50%"
"10/18/2021","11,963.0","12,338.3","12,432.1","11,916.1","1.58M","-3.04%"
"10/19/2021","11,916.1","11,963.0","12,150.6","11,540.7","950.10K","-0.39%"
"10/20/2021","12,713.6","11,728.4","12,713.6","11,728.4","3.44M","6.69%"
"10/21/2021","12,713.6","12,713.6","13,042.0","12,385.2","893.30K","0.00%"
"10/22/2021","13,276.5","12,666.7","13,464.2","12,385.2","1.90M","4.43%"
"10/25/2021","12,760.5","13,276.5","13,276.5","12,666.7","1.10M","-3.89%"
"10/26/2021","12,338.3","12,572.8","12,807.4","12,103.7","2.06M","-3.31%"
"10/27/2021","12,291.4","12,619.8","12,713.6","12,150.6","1.52M","-0.38%"
"10/28/2021","12,385.2","12,103.7","12,666.7","11,822.2","2.45M","0.76%"
"10/29/2021","12,197.5","12,385.2","12,572.8","12,103.7","1.66M","-1.52%"
"11/01/2021","11,822.2","11,963.0","12,150.6","11,728.4","2.09M","-3.08%"
"11/02/2021","11,728.4","11,634.6","12,150.6","11,587.7","1.76M","-0.79%"
"11/03/2021","11,165.4","11,728.4","11,916.1","11,165.4","1.85M","-4.80%"
"11/04/2021","11,024.7","11,071.6","11,259.3","10,930.9","1.44M","-1.26%"
"11/05/2021","11,446.9","10,977.8","11,540.7","10,884.0","1.03M","3.83%"
"11/08/2021","11,306.2","11,728.4","11,728.4","11,212.4","1.01M","-1.23%"
"11/09/2021","11,353.1","11,493.8","11,540.7","11,212.4","1.82M","0.41%"
"11/10/2021","11,775.3","11,400.0","11,775.3","11,259.3","2.33M","3.72%"
"11/11/2021","11,728.4","12,009.9","12,150.6","11,681.5","1.62M","-0.40%"
"11/12/2021","11,681.5","11,963.0","11,963.0","11,493.8","1.02M","-0.40%"
"11/15/2021","11,540.7","11,681.5","11,681.5","11,400.0","1.79M","-1.21%"
"11/16/2021","12,009.9","11,446.9","12,150.6","11,353.1","2.61M","4.07%"
"11/17/2021","11,822.2","12,103.7","12,103.7","11,822.2","920.80K","-1.56%"
"11/18/2021","11,822.2","11,728.4","12,103.7","11,493.8","1.71M","0.00%"
"11/19/2021","11,259.3","11,822.2","11,963.0","11,024.7","2.28M","-4.76%"
"11/22/2021","10,508.6","11,259.3","11,353.1","10,508.6","1.70M","-6.67%"
