"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","12,499.4","12,367.9","12,762.6","12,192.4","10.84M","0.88%"
"07/02/2021","12,477.5","12,674.9","12,718.7","12,367.9","9.58M","-0.18%"
"07/05/2021","12,170.5","12,455.6","12,477.5","12,060.9","9.05M","-2.46%"
"07/06/2021","11,359.1","12,148.6","12,148.6","11,359.1","13.86M","-6.67%"
"07/07/2021","11,622.3","11,359.1","11,622.3","10,657.4","10.29M","2.32%"
"07/08/2021","11,227.6","11,666.1","11,666.1","11,183.7","4.09M","-3.40%"
"07/09/2021","10,525.8","10,964.4","11,183.7","10,482.0","8.81M","-6.25%"
"07/12/2021","9,802.2","10,131.1","10,284.6","9,802.2","6.72M","-6.87%"
"07/13/2021","9,385.5","9,824.1","9,889.9","9,122.4","10.32M","-4.25%"
"07/14/2021","9,539.0","9,495.2","9,889.9","9,210.1","7.84M","1.64%"
"07/15/2021","9,780.3","9,539.0","9,868.0","9,473.3","4.24M","2.53%"
"07/16/2021","9,692.5","9,780.3","9,868.0","9,582.9","4.35M","-0.90%"
"07/19/2021","9,034.7","9,078.5","9,341.7","9,034.7","6.88M","-6.79%"
"07/20/2021","9,012.8","8,640.0","9,078.5","8,420.7","11.13M","-0.24%"
"07/21/2021","8,947.0","9,210.1","9,210.1","8,815.4","4.36M","-0.73%"
"07/22/2021","8,925.0","8,947.0","9,012.8","8,640.0","5.48M","-0.25%"
"07/23/2021","9,539.0","8,925.0","9,539.0","8,771.5","14.22M","6.88%"
"07/26/2021","9,868.0","9,473.3","9,955.7","9,319.8","5.85M","3.45%"
"07/27/2021","9,692.5","9,868.0","9,977.6","9,604.8","5.68M","-1.78%"
"07/28/2021","9,517.1","9,517.1","9,648.7","9,429.4","6.62M","-1.81%"
"07/29/2021","9,517.1","9,561.0","9,648.7","9,407.5","3.14M","0.00%"
"07/30/2021","9,736.4","9,561.0","9,955.7","9,451.3","5.75M","2.30%"
"08/02/2021","9,604.8","9,736.4","9,758.3","9,517.1","4.57M","-1.35%"
"08/03/2021","9,561.0","9,561.0","9,648.7","9,429.4","4.82M","-0.46%"
"08/04/2021","9,714.5","9,648.7","9,846.0","9,561.0","6.49M","1.61%"
"08/05/2021","9,977.6","9,648.7","9,977.6","9,582.9","7.87M","2.71%"
"08/06/2021","10,175.0","10,087.3","10,482.0","10,087.3","7.25M","1.98%"
"08/09/2021","10,328.5","10,043.4","10,438.1","10,021.5","5.18M","1.51%"
"08/10/2021","10,306.6","10,350.4","10,394.3","10,131.1","6.92M","-0.21%"
"08/11/2021","10,109.2","10,306.6","10,306.6","10,109.2","6.09M","-1.92%"
"08/12/2021","9,955.7","9,933.8","10,087.3","9,911.8","6.59M","-1.52%"
"08/13/2021","9,868.0","9,955.7","9,955.7","9,692.5","7.09M","-0.88%"
"08/16/2021","10,547.8","10,175.0","10,547.8","10,109.2","12.24M","6.89%"
"08/17/2021","10,789.0","10,964.4","11,008.3","10,657.4","11.29M","2.29%"
"08/18/2021","11,534.6","10,657.4","11,534.6","10,569.7","16.90M","6.91%"
"08/19/2021","12,324.0","11,688.1","12,324.0","11,666.1","13.21M","6.84%"
"08/20/2021","12,938.0","13,157.3","13,179.2","12,324.0","29.58M","4.98%"
"08/23/2021","13,508.2","12,938.0","13,683.6","12,938.0","16.13M","4.41%"
"08/24/2021","12,565.2","13,552.0","13,815.2","12,565.2","22.78M","-6.98%"
"08/25/2021","12,104.7","12,499.4","12,499.4","11,753.9","10.72M","-3.66%"
"08/26/2021","11,534.6","12,104.7","12,543.3","11,534.6","9.08M","-4.71%"
"08/27/2021","12,324.0","11,534.6","12,324.0","11,249.5","13.52M","6.84%"
"08/30/2021","12,587.2","12,806.4","12,850.3","12,543.3","9.16M","2.14%"
"08/31/2021","12,060.9","12,587.2","12,587.2","12,060.9","13.13M","-4.18%"
"09/01/2021","11,841.6","11,885.4","11,995.1","11,797.7","14.34M","-1.82%"
"09/06/2021","11,731.9","11,863.5","12,258.2","11,731.9","22.18M","-0.93%"
"09/07/2021","12,526.0","12,526.0","12,526.0","12,526.0","843.80K","6.77%"
"09/08/2021","13,384.0","13,384.0","13,384.0","13,384.0","2.02M","6.85%"
"09/09/2021","13,452.6","14,207.6","14,241.9","13,075.1","15.91M","0.51%"
"09/10/2021","13,452.6","13,486.9","13,555.6","13,384.0","3.86M","0.00%"
"09/13/2021","13,040.8","13,384.0","13,418.3","13,006.5","4.19M","-3.06%"
"09/14/2021","12,629.0","12,800.6","12,869.2","12,560.4","5.03M","-3.16%"
"09/15/2021","12,903.5","12,354.4","12,972.2","12,354.4","4.50M","2.17%"
"09/16/2021","12,937.8","12,972.2","13,109.4","12,800.6","2.21M","0.27%"
"09/17/2021","13,349.7","13,349.7","13,589.9","13,143.8","4.43M","3.18%"
"09/20/2021","13,040.8","13,486.9","13,589.9","12,972.2","4.14M","-2.31%"
"09/21/2021","12,766.3","12,766.3","12,972.2","12,594.7","3.88M","-2.10%"
"09/22/2021","12,800.6","12,766.3","12,903.5","12,594.7","3.05M","0.27%"
"09/23/2021","12,869.2","12,903.5","13,315.3","12,697.6","4.71M","0.54%"
"09/24/2021","12,800.6","12,869.2","13,109.4","12,800.6","2.28M","-0.53%"
"09/27/2021","12,285.8","12,800.6","12,972.2","12,285.8","3.62M","-4.02%"
"09/28/2021","12,354.4","12,079.9","12,457.4","11,942.6","2.89M","0.56%"
"09/29/2021","12,148.5","12,354.4","12,354.4","12,045.6","1.87M","-1.67%"
"09/30/2021","12,285.8","12,217.2","12,423.1","12,217.2","1.40M","1.13%"
"10/01/2021","12,114.2","12,079.9","12,285.8","12,079.9","2.15M","-1.40%"
"10/04/2021","12,045.6","12,148.5","12,217.2","11,908.3","2.93M","-0.57%"
"10/05/2021","12,594.7","12,217.2","12,697.6","12,079.9","3.95M","4.56%"
"10/06/2021","12,388.8","12,629.0","12,731.9","12,388.8","2.23M","-1.63%"
"10/07/2021","12,423.1","12,388.8","12,560.4","12,320.1","3.04M","0.28%"
"10/08/2021","12,320.1","12,491.7","12,526.0","12,320.1","3.86M","-0.83%"
"10/11/2021","12,526.0","12,354.4","12,526.0","12,320.1","3.82M","1.67%"
"10/12/2021","12,972.2","12,526.0","13,246.7","12,526.0","7.52M","3.56%"
"10/13/2021","12,834.9","13,040.8","13,178.1","12,800.6","3.04M","-1.06%"
