"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","120,700","121,500","121,500","119,600","534.30K","-0.66%"
"07/02/2021","120,600","121,000","121,100","119,800","506.80K","-0.08%"
"07/05/2021","118,300","120,000","121,000","117,800","480.30K","-1.91%"
"07/06/2021","119,300","118,200","119,900","117,800","618.40K","0.85%"
"07/07/2021","121,800","119,300","121,800","118,700","839.80K","2.10%"
"07/08/2021","120,300","120,900","121,000","118,300","494.80K","-1.23%"
"07/09/2021","118,900","120,200","120,200","117,300","636.70K","-1.16%"
"07/12/2021","120,000","118,900","121,500","114,400","1.01M","0.93%"
"07/13/2021","119,900","120,000","120,000","117,800","544.20K","-0.08%"
"07/14/2021","117,000","119,900","120,500","111,600","1.10M","-2.42%"
"07/15/2021","114,800","116,900","116,900","109,200","1.04M","-1.88%"
"07/16/2021","115,400","114,800","115,400","113,500","667.20K","0.52%"
"07/19/2021","114,000","114,700","114,700","111,000","575.90K","-1.21%"
"07/20/2021","114,500","113,600","114,500","110,000","515.50K","0.44%"
"07/21/2021","114,000","114,000","114,500","112,300","514.00K","-0.44%"
"07/22/2021","114,000","113,900","114,200","112,800","544.60K","0.00%"
"07/23/2021","113,400","113,900","113,900","110,800","554.40K","-0.53%"
"07/26/2021","114,000","113,000","114,000","111,500","618.70K","0.53%"
"07/27/2021","114,900","114,000","115,500","113,800","622.50K","0.79%"
"07/28/2021","114,400","114,500","114,500","113,300","520.60K","-0.44%"
"07/29/2021","114,400","114,400","114,400","112,300","499.60K","0.00%"
"07/30/2021","113,000","114,500","114,500","112,400","531.10K","-1.22%"
"08/02/2021","115,500","113,000","115,900","113,000","503.20K","2.21%"
"08/03/2021","116,000","115,300","116,300","114,400","573.80K","0.43%"
"08/04/2021","116,200","116,000","116,200","115,000","501.50K","0.17%"
"08/05/2021","116,500","116,400","116,500","114,500","370.00K","0.26%"
"08/06/2021","117,400","116,800","117,500","116,000","474.00K","0.77%"
"08/09/2021","119,500","116,800","119,700","116,000","612.10K","1.79%"
"08/10/2021","118,700","119,500","120,000","117,500","496.90K","-0.67%"
"08/11/2021","118,700","118,800","118,900","118,000","514.20K","0.00%"
"08/12/2021","118,700","118,700","119,000","116,900","479.40K","0.00%"
"08/13/2021","118,000","118,700","118,700","116,500","535.20K","-0.59%"
"08/16/2021","117,300","118,100","118,100","116,300","479.30K","-0.59%"
"08/17/2021","117,300","117,400","117,400","116,800","515.60K","0.00%"
"08/18/2021","118,000","117,300","118,200","117,100","847.70K","0.60%"
"08/19/2021","120,000","118,000","120,000","117,700","1.40M","1.69%"
"08/20/2021","119,800","119,000","120,000","117,500","1.63M","-0.17%"
"08/23/2021","120,300","119,500","120,300","118,200","1.57M","0.42%"
"08/24/2021","122,800","120,400","122,800","119,800","1.51M","2.08%"
"08/25/2021","127,000","123,500","127,000","123,000","1.41M","3.42%"
"08/26/2021","125,800","125,800","126,900","124,300","1.11M","-0.94%"
"08/27/2021","126,800","126,100","126,800","124,800","1.41M","0.79%"
"08/30/2021","126,900","126,500","127,000","124,000","1.23M","0.08%"
"08/31/2021","126,500","126,800","126,800","125,000","1.05M","-0.32%"
"09/01/2021","125,500","125,500","126,300","124,600","864.90K","-0.79%"
"09/06/2021","125,700","124,700","126,000","124,700","1.00M","0.16%"
"09/07/2021","124,600","125,500","125,500","123,800","821.50K","-0.88%"
"09/08/2021","124,600","124,600","124,600","123,000","813.40K","0.00%"
"09/09/2021","129,000","124,600","129,000","124,000","1.23M","3.53%"
"09/10/2021","129,800","129,500","130,000","129,200","921.80K","0.62%"
"09/13/2021","128,000","129,800","129,800","128,000","1.02M","-1.39%"
"09/14/2021","125,800","127,400","127,800","125,000","886.30K","-1.72%"
"09/15/2021","126,000","125,300","126,400","125,300","688.10K","0.16%"
"09/16/2021","126,000","126,000","126,200","125,100","713.10K","0.00%"
"09/17/2021","124,900","126,000","126,100","124,000","1.24M","-0.87%"
"09/20/2021","124,200","125,000","125,900","123,500","704.40K","-0.56%"
"09/21/2021","123,500","124,200","124,200","122,000","631.60K","-0.56%"
"09/22/2021","123,300","123,500","123,700","121,500","701.20K","-0.16%"
"09/23/2021","123,700","123,300","124,000","122,000","697.20K","0.32%"
"09/24/2021","125,000","123,600","125,200","123,000","1.04M","1.05%"
"09/27/2021","129,000","125,100","129,700","125,000","1.23M","3.20%"
"09/28/2021","129,000","128,800","129,300","128,000","842.80K","0.00%"
"09/29/2021","128,500","129,000","129,100","127,000","855.90K","-0.39%"
"09/30/2021","127,900","128,000","128,800","126,900","761.00K","-0.47%"
"10/01/2021","128,800","127,500","129,000","125,500","764.20K","0.70%"
"10/04/2021","131,800","128,800","132,000","128,500","1.04M","2.33%"
"10/05/2021","130,800","131,400","131,700","129,200","813.90K","-0.76%"
"10/06/2021","129,400","130,800","130,800","128,000","740.60K","-1.07%"
"10/07/2021","128,800","129,400","130,000","127,300","745.20K","-0.46%"
"10/08/2021","128,900","128,800","129,000","127,100","724.90K","0.08%"
"10/11/2021","132,500","129,700","132,500","129,000","1.10M","2.79%"
"10/12/2021","132,500","132,500","132,800","131,800","922.80K","0.00%"
"10/13/2021","133,900","132,800","134,100","132,500","815.20K","1.06%"
"10/14/2021","134,400","133,300","134,400","132,500","817.10K","0.37%"
"10/15/2021","131,700","134,400","134,500","130,900","982.00K","-2.01%"
"10/18/2021","131,200","131,000","131,600","129,800","844.30K","-0.38%"
"10/19/2021","135,200","131,000","135,200","130,000","1.08M","3.05%"
"10/20/2021","135,900","135,200","136,500","133,300","938.40K","0.52%"
"10/21/2021","131,800","135,900","135,900","131,800","864.50K","-3.02%"
"10/22/2021","131,800","131,900","132,800","131,600","788.40K","0.00%"
"10/25/2021","131,800","131,800","133,500","131,300","898.20K","0.00%"
"10/26/2021","132,500","131,800","132,600","130,700","876.30K","0.53%"
"10/27/2021","134,000","132,500","135,000","132,300","922.50K","1.13%"
"10/28/2021","133,500","134,000","134,400","132,800","887.80K","-0.37%"
"10/29/2021","132,000","133,000","134,000","132,000","763.80K","-1.12%"
"11/01/2021","130,000","131,900","131,900","129,900","991.50K","-1.52%"
"11/02/2021","132,000","130,000","132,000","130,000","919.80K","1.54%"
"11/03/2021","129,800","131,800","132,000","128,000","728.50K","-1.67%"
"11/04/2021","129,600","129,300","129,800","127,400","681.70K","-0.15%"
"11/05/2021","130,000","129,600","130,300","129,200","869.30K","0.31%"
"11/08/2021","131,800","129,800","132,000","129,600","1.05M","1.38%"
"11/09/2021","131,000","131,900","131,900","129,300","798.70K","-0.61%"
"11/10/2021","129,700","131,000","131,000","128,800","716.90K","-0.99%"
"11/11/2021","128,600","129,200","129,400","127,300","823.50K","-0.85%"
"11/12/2021","128,600","128,200","128,900","127,500","755.20K","0.00%"
"11/15/2021","127,000","128,100","128,600","126,000","803.30K","-1.24%"
"11/16/2021","127,900","126,500","127,900","125,500","798.40K","0.71%"
"11/17/2021","127,900","127,500","128,000","127,000","746.00K","0.00%"
"11/18/2021","126,500","127,900","128,000","125,600","907.70K","-1.09%"
"11/19/2021","127,800","126,500","127,900","126,200","958.80K","1.03%"
"11/22/2021","128,000","128,200","128,400","126,000","799.30K","0.16%"
"11/23/2021","132,000","127,800","132,100","127,500","1.32M","3.13%"
"11/24/2021","132,200","132,400","132,400","130,800","1.18M","0.15%"
"11/25/2021","132,000","132,200","132,800","130,900","1.02M","-0.15%"
"11/26/2021","129,500","131,800","131,800","128,100","911.40K","-1.89%"
"11/29/2021","125,000","128,900","128,900","124,500","873.50K","-3.47%"
"11/30/2021","122,500","123,000","123,700","121,600","669.00K","-2.00%"
"12/01/2021","120,000","121,600","122,000","116,800","819.00K","-2.04%"
"12/02/2021","120,400","120,000","120,900","119,700","814.30K","0.33%"
"12/03/2021","120,400","120,400","120,800","118,300","805.10K","0.00%"
"12/06/2021","120,500","119,800","120,500","118,000","775.80K","0.08%"
"12/07/2021","123,000","120,000","123,000","118,500","921.00K","2.07%"
"12/08/2021","121,400","122,800","123,000","120,100","732.80K","-1.30%"
"12/09/2021","123,500","120,900","123,500","119,500","839.70K","1.73%"
"12/10/2021","124,500","123,600","125,000","122,500","677.00K","0.81%"
"12/13/2021","125,800","124,500","126,000","124,000","907.50K","1.04%"
"12/14/2021","124,000","126,000","126,000","123,100","794.80K","-1.43%"
"12/15/2021","124,000","123,900","124,300","122,900","779.80K","0.00%"
"12/16/2021","122,800","123,100","124,000","121,100","771.60K","-0.97%"
"12/17/2021","122,500","122,900","123,600","121,400","744.30K","-0.24%"
"12/20/2021","122,100","122,500","122,500","120,000","708.00K","-0.33%"
"12/21/2021","122,500","121,900","122,500","121,500","680.80K","0.33%"
"12/22/2021","122,700","122,500","123,000","121,000","698.60K","0.16%"
"12/23/2021","123,900","122,700","123,900","120,700","690.50K","0.98%"
"12/24/2021","124,000","123,900","124,500","122,800","776.80K","0.08%"
"12/27/2021","125,000","124,000","125,000","123,000","718.70K","0.81%"
"12/28/2021","125,200","125,700","125,900","122,700","770.70K","0.16%"
"12/29/2021","125,200","125,200","125,400","123,400","863.10K","0.00%"
"12/30/2021","126,000","124,600","126,000","124,000","881.80K","0.64%"
"12/31/2021","128,300","126,000","128,300","125,800","894.70K","1.83%"
