"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","27,900.0","27,000.0","27,900.0","26,500.0","2.80K","3.33%"
"07/02/2021","27,200.0","26,200.0","27,200.0","26,200.0","0.50K","-2.51%"
"07/05/2021","26,600.0","27,200.0","27,200.0","26,600.0","0.80K","-2.21%"
"07/06/2021","26,300.0","26,200.0","26,350.0","26,200.0","0.70K","-1.13%"
"07/07/2021","26,000.0","26,300.0","26,300.0","26,000.0","0.70K","-1.14%"
"07/08/2021","26,950.0","26,000.0","26,950.0","26,000.0","0.30K","3.65%"
"07/09/2021","25,300.0","26,850.0","26,850.0","25,300.0","5.00K","-6.12%"
"07/12/2021","24,000.0","24,400.0","24,600.0","24,000.0","4.00K","-5.14%"
"07/13/2021","23,550.0","24,100.0","24,100.0","23,100.0","4.50K","-1.88%"
"07/14/2021","23,850.0","24,050.0","24,050.0","23,850.0","1.30K","1.27%"
"07/15/2021","23,850.0","23,850.0","23,850.0","23,850.0","0.20K","0.00%"
"07/16/2021","23,750.0","23,750.0","23,750.0","23,750.0","0.10K","-0.42%"
"07/19/2021","25,400.0","22,450.0","25,400.0","22,450.0","38.20K","6.95%"
"07/20/2021","27,150.0","27,150.0","27,150.0","27,150.0","16.70K","6.89%"
"07/21/2021","27,900.0","28,900.0","28,900.0","27,800.0","11.90K","2.76%"
"07/22/2021","25,950.0","25,950.0","26,350.0","25,950.0","31.80K","-6.99%"
"07/23/2021","25,600.0","25,900.0","25,900.0","24,400.0","7.10K","-1.35%"
"07/26/2021","25,000.0","24,800.0","25,850.0","24,500.0","3.60K","-2.34%"
"07/27/2021","24,700.0","24,500.0","25,800.0","24,500.0","3.60K","-1.20%"
"07/28/2021","24,800.0","25,000.0","25,700.0","24,700.0","3.20K","0.40%"
"07/29/2021","24,800.0","24,650.0","24,800.0","24,650.0","1.20K","0.00%"
"07/30/2021","25,000.0","24,800.0","25,000.0","24,800.0","1.00K","0.81%"
"08/02/2021","24,800.0","25,000.0","25,000.0","24,750.0","4.60K","-0.80%"
"08/03/2021","24,800.0","24,800.0","24,800.0","24,800.0","3.70K","0.00%"
"08/04/2021","25,000.0","25,000.0","25,000.0","25,000.0","1.00K","0.81%"
"08/05/2021","25,350.0","25,000.0","25,350.0","24,350.0","6.50K","1.40%"
"08/06/2021","24,700.0","24,700.0","25,000.0","24,700.0","1.30K","-2.56%"
"08/09/2021","26,400.0","26,400.0","26,400.0","26,400.0","15.50K","6.88%"
"08/10/2021","28,200.0","28,200.0","28,200.0","28,200.0","14.00K","6.82%"
"08/11/2021","30,150.0","30,150.0","30,150.0","30,150.0","18.80K","6.91%"
"08/12/2021","32,250.0","32,250.0","32,250.0","32,250.0","20.90K","6.97%"
"08/13/2021","34,500.0","34,500.0","34,500.0","34,500.0","20.10K","6.98%"
"08/16/2021","36,900.0","36,900.0","36,900.0","36,900.0","5.10K","6.96%"
"08/17/2021","39,450.0","39,450.0","39,450.0","39,450.0","1.20K","6.91%"
"08/18/2021","42,200.0","42,200.0","42,200.0","42,200.0","12.40K","6.97%"
"08/19/2021","45,000.0","45,150.0","45,150.0","43,000.0","288.10K","6.64%"
"08/20/2021","48,150.0","48,150.0","48,150.0","48,150.0","40.50K","7.00%"
"08/23/2021","51,500.0","51,500.0","51,500.0","51,500.0","16.70K","6.96%"
"08/24/2021","55,100.0","55,100.0","55,100.0","55,100.0","33.90K","6.99%"
"08/25/2021","58,900.0","58,900.0","58,900.0","58,900.0","11.90K","6.90%"
"08/26/2021","63,000.0","63,000.0","63,000.0","63,000.0","6.60K","6.96%"
"08/27/2021","67,400.0","67,400.0","67,400.0","67,400.0","28.80K","6.98%"
"08/30/2021","72,100.0","72,100.0","72,100.0","70,000.0","158.00K","6.97%"
"08/31/2021","77,100.0","77,100.0","77,100.0","77,100.0","6.50K","6.93%"
"09/01/2021","82,400.0","82,400.0","82,400.0","82,000.0","113.00K","6.87%"
"09/06/2021","76,700.0","88,100.0","88,100.0","76,700.0","155.10K","-6.92%"
"09/07/2021","71,400.0","71,400.0","71,400.0","71,400.0","24.90K","-6.91%"
"09/08/2021","66,500.0","66,500.0","66,500.0","66,500.0","17.00K","-6.86%"
"09/09/2021","61,900.0","61,900.0","61,900.0","61,900.0","2.90K","-6.92%"
"09/10/2021","57,600.0","57,600.0","57,600.0","57,600.0","54.10K","-6.95%"
"09/13/2021","61,600.0","53,600.0","61,600.0","53,600.0","399.20K","6.94%"
"09/14/2021","65,900.0","65,900.0","65,900.0","65,900.0","32.60K","6.98%"
"09/15/2021","68,000.0","70,500.0","70,500.0","67,000.0","149.40K","3.19%"
"09/16/2021","63,300.0","63,300.0","63,300.0","63,300.0","24.70K","-6.91%"
"09/17/2021","58,900.0","58,900.0","61,000.0","58,900.0","151.70K","-6.95%"
"09/20/2021","59,100.0","62,900.0","62,900.0","58,000.0","190.50K","0.34%"
"09/21/2021","57,000.0","58,000.0","60,000.0","57,000.0","53.70K","-3.55%"
"09/22/2021","53,400.0","56,500.0","56,500.0","53,200.0","87.10K","-6.32%"
"09/23/2021","49,700.0","52,800.0","52,800.0","49,700.0","145.70K","-6.93%"
"09/24/2021","46,300.0","48,000.0","49,700.0","46,250.0","67.10K","-6.84%"
"09/27/2021","49,500.0","49,000.0","49,500.0","48,000.0","33.90K","6.91%"
"09/28/2021","48,950.0","51,500.0","51,600.0","46,200.0","37.30K","-1.11%"
"09/29/2021","46,550.0","48,600.0","48,600.0","46,500.0","26.60K","-4.90%"
"09/30/2021","47,600.0","46,950.0","47,900.0","46,450.0","29.50K","2.26%"
"10/01/2021","46,700.0","49,400.0","49,400.0","46,300.0","20.60K","-1.89%"
"10/04/2021","44,000.0","45,450.0","45,500.0","44,000.0","49.20K","-5.78%"
"10/05/2021","41,500.0","42,600.0","42,600.0","40,950.0","114.70K","-5.68%"
"10/06/2021","42,800.0","42,700.0","42,800.0","41,550.0","27.30K","3.13%"
"10/07/2021","42,450.0","42,000.0","43,700.0","42,000.0","11.90K","-0.82%"
"10/08/2021","41,450.0","41,100.0","42,500.0","40,100.0","19.80K","-2.36%"
"10/11/2021","40,100.0","41,200.0","41,200.0","40,000.0","36.40K","-3.26%"
