"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","18,446.5","17,889.9","18,605.5","17,651.4","23.39M","4.50%"
"07/02/2021","19,241.6","18,526.0","19,877.7","18,406.8","23.41M","4.31%"
"07/05/2021","18,883.8","19,241.6","19,480.2","18,446.5","15.87M","-1.86%"
"07/06/2021","17,015.3","18,883.8","19,082.6","17,015.3","20.34M","-9.89%"
"07/07/2021","17,691.2","16,617.8","17,691.2","16,458.7","25.42M","3.97%"
"07/08/2021","17,333.4","17,889.9","17,889.9","17,174.3","13.88M","-2.02%"
"07/09/2021","16,617.8","17,412.9","17,452.6","16,260.0","19.47M","-4.13%"
"07/12/2021","15,027.5","16,697.3","16,856.3","14,987.8","31.11M","-9.57%"
"07/13/2021","15,782.9","15,027.5","15,782.9","15,027.5","13.76M","5.03%"
"07/14/2021","15,464.9","15,862.4","16,061.2","15,107.1","9.34M","-2.02%"
"07/15/2021","16,379.2","15,385.3","16,657.5","15,186.6","12.47M","5.91%"
"07/16/2021","16,260.0","16,379.2","16,617.8","16,180.5","9.96M","-0.73%"
"07/19/2021","15,027.5","16,140.7","16,140.7","14,987.8","16.83M","-7.58%"
"07/20/2021","16,458.7","15,067.3","16,458.7","14,789.0","19.99M","9.52%"
"07/21/2021","16,458.7","16,458.7","16,896.1","16,180.5","14.63M","0.00%"
"07/22/2021","17,174.3","16,458.7","17,412.9","16,220.2","18.50M","4.35%"
"07/23/2021","16,578.0","17,174.3","17,214.1","16,578.0","22.78M","-3.47%"
"07/26/2021","16,657.5","16,101.0","16,816.5","14,987.8","14.66M","0.48%"
"07/27/2021","17,293.6","16,697.3","17,810.4","16,697.3","31.35M","3.82%"
"07/28/2021","17,333.4","17,174.3","17,611.7","17,174.3","15.34M","0.23%"
"07/29/2021","18,247.7","17,412.9","18,247.7","17,412.9","25.18M","5.28%"
"07/30/2021","18,327.3","18,247.7","18,605.5","18,009.2","32.54M","0.44%"
"08/02/2021","18,287.5","18,327.3","18,605.5","18,009.2","22.86M","-0.22%"
"08/03/2021","19,837.9","18,287.5","19,837.9","18,168.2","45.95M","8.48%"
"08/04/2021","19,798.2","19,837.9","20,156.0","19,559.7","22.47M","-0.20%"
"08/05/2021","20,354.8","19,798.2","20,513.8","19,519.9","22.88M","2.81%"
"08/06/2021","19,917.5","20,354.8","20,434.3","19,917.5","27.40M","-2.15%"
"08/09/2021","20,672.8","19,917.5","21,189.6","19,480.2","27.27M","3.79%"
"08/10/2021","20,394.5","20,712.6","20,951.1","20,235.5","25.45M","-1.35%"
"08/11/2021","19,877.7","20,394.5","20,513.8","19,877.7","27.21M","-2.53%"
"08/12/2021","19,718.7","19,837.9","20,156.0","19,480.2","20.58M","-0.80%"
"08/13/2021","20,434.3","19,599.4","20,474.0","19,559.7","22.05M","3.63%"
