"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","8,150.0","8,210.0","8,380.0","8,010.0","2.04M","-5.23%"
"07/02/2021","8,300.0","8,100.0","8,500.0","8,070.0","1.15M","1.84%"
"07/05/2021","8,160.0","8,290.0","8,290.0","8,000.0","804.90K","-1.69%"
"07/06/2021","7,590.0","8,100.0","8,300.0","7,590.0","1.15M","-6.99%"
"07/07/2021","7,500.0","7,420.0","7,500.0","7,100.0","622.70K","-1.19%"
"07/08/2021","7,500.0","7,500.0","7,500.0","7,300.0","365.60K","0.00%"
"07/09/2021","7,450.0","7,300.0","7,500.0","7,280.0","587.20K","-0.67%"
"07/12/2021","7,150.0","7,300.0","7,310.0","6,930.0","965.60K","-4.03%"
"07/13/2021","7,300.0","7,140.0","7,300.0","7,110.0","303.50K","2.10%"
"07/14/2021","7,300.0","7,350.0","7,500.0","7,250.0","186.10K","0.00%"
"07/15/2021","7,500.0","7,210.0","7,600.0","7,210.0","326.70K","2.74%"
"07/16/2021","7,970.0","7,500.0","8,020.0","7,500.0","1.06M","6.27%"
"07/19/2021","7,760.0","7,700.0","7,970.0","7,600.0","386.90K","-2.63%"
"07/20/2021","8,000.0","7,700.0","8,000.0","7,500.0","302.90K","3.09%"
"07/21/2021","8,050.0","8,000.0","8,200.0","7,820.0","271.40K","0.63%"
"07/22/2021","8,090.0","8,050.0","8,100.0","7,910.0","333.10K","0.50%"
"07/23/2021","7,900.0","8,090.0","8,100.0","7,830.0","208.50K","-2.35%"
"07/26/2021","7,910.0","7,600.0","7,950.0","7,600.0","214.10K","0.13%"
"07/27/2021","7,850.0","7,750.0","8,000.0","7,750.0","483.50K","-0.76%"
"07/28/2021","7,900.0","7,830.0","7,970.0","7,830.0","407.40K","0.64%"
"07/29/2021","7,850.0","8,000.0","8,000.0","7,830.0","75.80K","-0.63%"
"07/30/2021","7,800.0","7,850.0","7,900.0","7,700.0","181.70K","-0.64%"
"08/02/2021","7,590.0","7,710.0","7,710.0","7,490.0","398.40K","-2.69%"
"08/03/2021","7,650.0","7,710.0","7,710.0","7,450.0","197.20K","0.79%"
"08/04/2021","7,550.0","7,700.0","7,700.0","7,400.0","213.70K","-1.31%"
"08/05/2021","7,670.0","7,630.0","7,890.0","7,600.0","663.20K","1.59%"
"08/06/2021","7,700.0","7,820.0","7,820.0","7,670.0","187.00K","0.39%"
"08/09/2021","7,620.0","7,700.0","7,790.0","7,510.0","319.90K","-1.04%"
"08/10/2021","8,150.0","7,700.0","8,150.0","7,690.0","1.99M","6.96%"
"08/11/2021","8,000.0","8,500.0","8,550.0","7,900.0","565.00K","-1.84%"
"08/12/2021","8,150.0","7,830.0","8,300.0","7,800.0","526.40K","1.88%"
"08/13/2021","7,900.0","7,900.0","8,000.0","7,700.0","801.60K","-3.07%"
"08/16/2021","7,910.0","7,900.0","8,060.0","7,890.0","586.70K","0.13%"
"08/17/2021","7,900.0","8,080.0","8,080.0","7,800.0","448.20K","-0.13%"
"08/18/2021","7,750.0","7,900.0","7,970.0","7,700.0","412.00K","-1.90%"
"08/19/2021","7,720.0","7,760.0","7,760.0","7,660.0","338.00K","-0.39%"
