"Date","Price","Open","High","Low","Vol.","Change %"
"07/02/2021","9,600.0","9,500.0","9,600.0","9,500.0","0.30K","0.21%"
"07/06/2021","9,480.0","9,480.0","9,480.0","9,480.0","0.10K","-1.25%"
"07/07/2021","9,300.0","9,500.0","9,500.0","9,060.0","7.60K","-1.90%"
"07/08/2021","9,200.0","9,360.0","9,360.0","9,200.0","16.80K","-1.08%"
"07/09/2021","9,080.0","9,200.0","9,200.0","9,080.0","2.80K","-1.30%"
"07/12/2021","8,910.0","9,080.0","9,100.0","8,910.0","38.70K","-1.87%"
"07/13/2021","8,800.0","9,000.0","9,010.0","8,800.0","27.20K","-1.23%"
"07/15/2021","9,360.0","8,500.0","9,360.0","8,500.0","1.00K","6.36%"
"07/19/2021","9,200.0","9,200.0","9,200.0","9,200.0","0.20K","-1.71%"
"07/21/2021","8,710.0","9,100.0","9,100.0","8,700.0","24.90K","-5.33%"
"07/22/2021","8,800.0","8,710.0","8,800.0","8,710.0","2.20K","1.03%"
"07/23/2021","8,800.0","8,800.0","8,800.0","8,800.0","0.10K","0.00%"
"07/26/2021","9,290.0","9,290.0","9,290.0","9,290.0","0.10K","5.57%"
"07/30/2021","9,010.0","9,010.0","9,010.0","9,000.0","2.10K","-3.01%"
"08/03/2021","9,000.0","8,620.0","9,000.0","8,620.0","0.80K","-0.11%"
"08/05/2021","9,000.0","9,000.0","9,000.0","9,000.0","0.70K","0.00%"
"08/09/2021","8,910.0","8,910.0","8,910.0","8,910.0","0.10K","-1.00%"
"08/10/2021","9,390.0","9,000.0","9,390.0","9,000.0","1.30K","5.39%"
"08/11/2021","9,500.0","9,790.0","9,790.0","9,500.0","1.60K","1.17%"
"08/13/2021","9,050.0","9,400.0","9,400.0","9,050.0","0.80K","-4.74%"
"08/16/2021","9,050.0","9,050.0","9,050.0","9,050.0","0.10K","0.00%"
"08/17/2021","9,120.0","9,120.0","9,120.0","9,120.0","0.20K","0.77%"
"08/19/2021","9,700.0","9,700.0","9,700.0","9,700.0","2.00K","6.36%"
"08/20/2021","9,990.0","9,500.0","9,990.0","9,500.0","0.60K","2.99%"
"08/23/2021","9,300.0","9,500.0","9,500.0","9,300.0","1.10K","-6.91%"
"08/24/2021","9,500.0","9,500.0","9,500.0","9,500.0","0.40K","2.15%"
"08/25/2021","9,110.0","9,110.0","9,110.0","9,110.0","0.10K","-4.11%"
"08/26/2021","9,700.0","9,110.0","9,700.0","9,110.0","0.50K","6.48%"
"08/30/2021","9,700.0","9,500.0","10,000.0","9,500.0","13.20K","0.00%"
"09/01/2021","9,600.0","9,690.0","9,700.0","9,500.0","5.20K","-1.03%"
"09/06/2021","9,630.0","9,640.0","9,650.0","9,620.0","4.40K","0.31%"
"09/07/2021","10,100.0","10,200.0","10,300.0","10,000.0","58.80K","4.88%"
"09/08/2021","10,100.0","10,100.0","10,100.0","10,100.0","0.10K","0.00%"
"09/09/2021","9,410.0","9,410.0","9,410.0","9,410.0","0.10K","-6.83%"
"09/10/2021","9,900.0","9,500.0","9,900.0","9,500.0","3.20K","5.21%"
"09/13/2021","9,900.0","9,900.0","9,900.0","9,900.0","0.10K","0.00%"
"09/14/2021","10,300.0","10,100.0","10,300.0","9,950.0","4.60K","4.04%"
