"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2021","19,000.00","18,950.00","19,200.00","18,700.00","993.90K","1.60%"
"12/30/2021","18,700.00","18,450.00","19,200.00","18,450.00","904.80K","0.54%"
"12/29/2021","18,600.00","18,550.00","18,900.00","18,300.00","1.16M","0.00%"
"12/28/2021","18,600.00","18,800.00","18,950.00","18,400.00","1.39M","-1.06%"
"12/27/2021","18,800.00","18,900.00","19,450.00","18,800.00","803.70K","-0.53%"
"12/24/2021","18,900.00","18,750.00","19,300.00","18,650.00","824.10K","0.80%"
"12/23/2021","18,750.00","19,300.00","19,350.00","18,350.00","2.09M","-3.35%"
"12/22/2021","19,400.00","19,600.00","19,950.00","19,300.00","1.53M","0.00%"
"12/21/2021","19,400.00","19,500.00","20,000.00","19,100.00","2.17M","-2.27%"
"12/20/2021","19,850.00","20,050.00","20,500.00","19,200.00","1.73M","-0.75%"
"12/17/2021","20,000.00","20,950.00","20,950.00","19,900.00","2.24M","-5.21%"
"12/16/2021","21,100.00","22,100.00","22,100.00","21,000.00","3.91M","1.93%"
"12/15/2021","20,700.00","19,750.00","20,700.00","19,500.00","2.11M","6.98%"
"12/14/2021","19,350.00","18,450.00","19,500.00","18,450.00","2.02M","4.88%"
"12/13/2021","18,450.00","18,500.00","18,700.00","18,350.00","1.08M","0.27%"
"12/10/2021","18,400.00","18,700.00","19,000.00","18,300.00","977.30K","-1.34%"
"12/09/2021","18,650.00","18,150.00","19,000.00","18,150.00","773.60K","2.47%"
"12/08/2021","18,200.00","18,300.00","18,500.00","18,150.00","856.60K","-0.55%"
"12/07/2021","18,300.00","18,000.00","18,400.00","17,750.00","1.21M","3.10%"
"12/06/2021","17,750.00","19,000.00","19,300.00","17,700.00","1.95M","-6.58%"
"12/03/2021","19,000.00","19,800.00","19,800.00","19,000.00","1.41M","-3.80%"
"12/02/2021","19,750.00","19,450.00","20,000.00","19,400.00","1.21M","1.28%"
"12/01/2021","19,500.00","19,500.00","19,900.00","19,300.00","1.17M","0.78%"
"11/30/2021","19,350.00","19,600.00","20,000.00","19,200.00","1.49M","-0.51%"
"11/29/2021","19,450.00","18,300.00","20,500.00","18,300.00","2.00M","0.26%"
"11/26/2021","19,400.00","19,600.00","20,000.00","19,400.00","1.52M","-2.51%"
"11/25/2021","19,900.00","20,100.00","20,400.00","19,400.00","1.32M","0.25%"
"11/24/2021","19,850.00","21,300.00","21,450.00","19,850.00","1.46M","-3.87%"
"11/23/2021","20,650.00","18,200.00","20,650.00","18,200.00","2.42M","6.99%"
"11/22/2021","19,300.00","19,800.00","20,700.00","19,300.00","3.88M","-6.76%"
"11/19/2021","20,700.00","21,700.00","21,950.00","20,600.00","6.27M","-6.55%"
"11/18/2021","22,150.00","22,550.00","22,550.00","22,100.00","2.27M","-1.99%"
"11/17/2021","22,600.00","23,100.00","23,750.00","22,600.00","2.98M","-1.74%"
"11/16/2021","23,000.00","21,900.00","23,500.00","21,600.00","5.18M","3.84%"
"11/15/2021","22,150.00","23,000.00","23,000.00","22,100.00","2.95M","-2.21%"
"11/12/2021","22,650.00","22,350.00","23,000.00","22,000.00","3.83M","0.89%"
"11/11/2021","22,450.00","22,900.00","23,300.00","22,450.00","3.68M","-1.97%"
"11/10/2021","22,900.00","23,500.00","23,500.00","22,900.00","2.50M","-1.93%"
"11/09/2021","23,350.00","23,000.00","24,000.00","22,500.00","2.86M","2.41%"
"11/08/2021","22,800.00","23,500.00","23,500.00","22,650.00","2.52M","-0.65%"
"11/05/2021","22,950.00","22,600.00","23,000.00","22,100.00","4.03M","1.55%"
"11/04/2021","22,600.00","22,250.00","23,500.00","22,250.00","2.94M","-2.59%"
"11/03/2021","23,200.00","25,000.00","25,300.00","23,200.00","5.68M","-6.83%"
"11/02/2021","24,900.00","23,700.00","25,350.00","23,150.00","6.06M","3.32%"
"11/01/2021","24,100.00","24,800.00","25,100.00","24,000.00","4.51M","-3.60%"
"10/29/2021","25,000.00","25,300.00","26,500.00","24,900.00","4.27M","-1.19%"
"10/28/2021","25,300.00","24,350.00","26,000.00","23,900.00","5.36M","3.90%"
"10/27/2021","24,350.00","24,350.00","24,350.00","23,550.00","6.97M","6.80%"
"10/26/2021","22,800.00","21,600.00","22,800.00","21,600.00","3.90M","6.79%"
"10/25/2021","21,350.00","21,850.00","22,000.00","21,200.00","2.16M","-2.29%"
"10/22/2021","21,850.00","22,200.00","22,200.00","21,650.00","1.85M","-1.13%"
"10/21/2021","22,100.00","22,450.00","22,450.00","21,950.00","1.56M","-0.90%"
"10/20/2021","22,300.00","22,450.00","22,500.00","21,650.00","2.79M","0.22%"
"10/19/2021","22,250.00","22,600.00","22,700.00","22,000.00","1.36M","-0.67%"
"10/18/2021","22,400.00","22,000.00","22,850.00","21,700.00","2.93M","1.82%"
"10/15/2021","22,000.00","22,000.00","22,100.00","21,700.00","2.48M","-0.68%"
"10/14/2021","22,150.00","22,050.00","22,600.00","21,650.00","2.14M","0.68%"
"10/13/2021","22,000.00","21,100.00","22,100.00","20,850.00","2.47M","3.53%"
"10/12/2021","21,250.00","21,100.00","21,550.00","21,100.00","3.22M","-1.85%"
"10/11/2021","21,650.00","22,650.00","22,750.00","21,600.00","2.80M","-4.20%"
"10/08/2021","22,600.00","21,850.00","23,000.00","21,650.00","4.98M","4.39%"
"10/07/2021","21,650.00","20,750.00","21,700.00","20,700.00","2.70M","4.59%"
"10/06/2021","20,700.00","20,400.00","21,500.00","20,400.00","1.76M","1.72%"
"10/05/2021","20,350.00","20,600.00","21,000.00","20,300.00","3.43M","-5.57%"
"10/04/2021","21,550.00","21,900.00","22,450.00","21,200.00","2.09M","-3.58%"
"10/01/2021","22,350.00","22,600.00","23,400.00","21,900.00","2.23M","-2.40%"
"09/30/2021","22,900.00","23,000.00","23,400.00","22,600.00","1.52M","1.33%"
"09/29/2021","22,600.00","22,050.00","23,000.00","21,350.00","1.88M","1.35%"
"09/28/2021","22,300.00","23,150.00","23,150.00","22,000.00","4.83M","3.00%"
"09/27/2021","21,650.00","20,100.00","21,650.00","20,100.00","564.20K","6.91%"
"09/24/2021","20,250.00","19,800.00","21,000.00","19,800.00","4.48M","-4.71%"
"09/23/2021","21,250.00","22,500.00","22,600.00","21,250.00","4.83M","-6.80%"
"09/22/2021","22,800.00","23,650.00","23,750.00","22,500.00","3.38M","-3.39%"
"09/21/2021","23,600.00","22,850.00","23,850.00","22,750.00","3.63M","-1.67%"
