"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","26,074.4","25,259.5","26,111.4","25,037.3","83.46M","3.99%"
"07/02/2021","26,704.0","26,592.9","26,741.0","26,111.4","86.11M","2.41%"
"07/05/2021","26,926.2","26,815.1","27,000.3","26,481.8","63.64M","0.83%"
"07/06/2021","26,296.6","26,852.2","27,148.5","26,296.6","89.74M","-2.34%"
"07/07/2021","26,185.5","26,296.6","26,481.8","25,592.9","45.26M","-0.42%"
"07/08/2021","25,667.0","26,222.5","26,370.7","25,667.0","52.92M","-1.98%"
"07/09/2021","25,481.8","25,444.7","26,037.3","24,815.1","57.25M","-0.72%"
"07/12/2021","23,704.0","25,333.6","25,370.7","23,704.0","60.27M","-6.98%"
"07/13/2021","23,704.0","23,852.1","24,074.3","22,889.1","48.12M","0.00%"
"07/14/2021","22,778.0","23,518.8","23,704.0","22,259.5","60.49M","-3.91%"
"07/15/2021","23,704.0","22,815.1","24,333.6","22,592.8","47.99M","4.07%"
"07/16/2021","23,889.2","24,074.3","24,185.5","23,815.1","41.79M","0.78%"
"07/19/2021","22,222.5","23,111.4","23,333.6","22,222.5","45.93M","-6.98%"
"07/20/2021","22,444.7","22,222.5","22,592.8","21,666.9","31.46M","1.00%"
"07/21/2021","22,333.6","22,592.8","22,852.1","22,333.6","21.00M","-0.49%"
"07/22/2021","22,518.8","22,333.6","22,704.0","22,111.4","17.92M","0.83%"
"07/23/2021","21,666.9","22,481.7","22,592.8","21,666.9","30.18M","-3.78%"
"07/26/2021","21,000.2","21,481.7","21,629.9","20,926.2","25.21M","-3.08%"
"07/27/2021","21,111.4","21,407.7","21,592.8","20,963.2","34.85M","0.53%"
"07/28/2021","20,852.1","20,963.2","21,148.4","20,852.1","12.51M","-1.23%"
"07/29/2021","21,370.6","21,481.7","21,555.8","21,111.4","23.20M","2.49%"
"07/30/2021","22,592.8","21,481.7","22,592.8","21,370.6","42.22M","5.72%"
"08/02/2021","22,370.6","22,778.0","22,778.0","22,370.6","20.46M","-0.98%"
"08/03/2021","22,518.8","22,296.5","22,555.8","22,296.5","23.46M","0.66%"
"08/04/2021","22,407.7","22,481.7","22,666.9","22,370.6","21.68M","-0.49%"
"08/05/2021","22,889.1","22,444.7","22,889.1","22,333.6","21.74M","2.15%"
"08/06/2021","22,444.7","22,778.0","22,963.2","22,444.7","32.24M","-1.94%"
"08/09/2021","22,592.8","22,222.5","22,704.0","22,222.5","23.92M","0.66%"
"08/10/2021","22,407.7","22,704.0","22,778.0","22,259.5","16.74M","-0.82%"
"08/11/2021","22,666.9","22,481.7","22,926.2","22,407.7","36.38M","1.16%"
"08/12/2021","22,926.2","22,741.0","23,185.4","22,704.0","26.70M","1.14%"
"08/13/2021","23,555.8","23,333.6","23,555.8","23,222.5","40.84M","2.75%"
"08/16/2021","24,296.6","23,704.0","24,741.0","23,666.9","42.23M","3.14%"
"08/17/2021","24,111.4","24,444.7","24,592.9","23,889.2","30.72M","-0.76%"
"08/18/2021","23,704.0","24,074.3","24,111.4","23,555.8","38.00M","-1.69%"
"08/19/2021","23,926.2","23,629.9","23,926.2","23,370.6","32.64M","0.94%"
"08/20/2021","23,148.4","23,741.0","23,778.0","22,592.8","43.05M","-3.25%"
"08/23/2021","22,444.7","22,963.2","23,111.4","22,444.7","24.73M","-3.04%"
"08/24/2021","22,592.8","22,555.8","23,000.3","22,370.6","22.53M","0.66%"
"08/25/2021","22,741.0","22,778.0","22,852.1","22,518.8","9.92M","0.66%"
"08/26/2021","22,518.8","22,889.1","22,963.2","22,481.7","11.28M","-0.98%"
"08/27/2021","22,666.9","22,296.5","22,666.9","22,148.4","17.38M","0.66%"
"08/30/2021","22,815.1","22,926.2","22,963.2","22,629.9","11.03M","0.65%"
"08/31/2021","22,815.1","22,852.1","23,000.3","22,741.0","14.46M","0.00%"
"09/01/2021","22,778.0","22,666.9","22,963.2","22,481.7","17.71M","-0.16%"
"09/06/2021","22,629.9","22,852.1","22,889.1","22,555.8","12.50M","-0.65%"
"09/07/2021","23,518.8","22,666.9","23,629.9","22,666.9","28.39M","3.93%"
"09/08/2021","22,963.2","23,555.8","23,592.9","22,963.2","14.09M","-2.36%"
"09/09/2021","23,481.7","22,963.2","23,518.8","22,963.2","16.65M","2.26%"
"09/10/2021","23,926.2","23,555.8","24,222.5","23,555.8","27.65M","1.89%"
"09/13/2021","24,000.3","24,074.3","24,444.7","23,963.2","20.11M","0.31%"
"09/14/2021","23,666.9","24,000.3","24,000.3","23,592.9","16.67M","-1.39%"
"09/15/2021","23,666.9","23,407.7","23,741.0","23,370.6","11.21M","0.00%"
"09/16/2021","24,074.3","23,815.1","24,074.3","23,778.0","12.69M","1.72%"
"09/17/2021","24,815.1","24,259.5","24,963.2","24,222.5","35.28M","3.08%"
"09/20/2021","25,000.3","25,370.7","25,481.8","24,852.1","21.93M","0.75%"
"09/21/2021","24,778.1","24,889.2","25,074.4","24,629.9","18.59M","-0.89%"
"09/22/2021","24,741.0","24,778.1","24,815.1","24,444.7","12.48M","-0.15%"
"09/23/2021","24,815.1","24,666.9","25,037.3","24,555.8","13.95M","0.30%"
"09/24/2021","24,815.1","24,815.1","24,926.2","24,704.0","11.60M","0.00%"
"09/27/2021","24,815.1","24,778.1","25,296.6","24,741.0","25.71M","0.00%"
"09/28/2021","24,741.0","24,815.1","24,815.1","24,259.5","18.79M","-0.30%"
"09/29/2021","24,444.7","24,666.9","24,666.9","24,296.6","17.85M","-1.20%"
"09/30/2021","24,407.7","24,518.8","24,629.9","24,222.5","18.49M","-0.15%"
"10/01/2021","23,666.9","24,296.6","24,333.6","23,592.9","24.10M","-3.04%"
"10/04/2021","23,333.6","23,629.9","23,666.9","22,852.1","30.87M","-1.41%"
"10/05/2021","23,185.4","23,296.6","23,333.6","23,111.4","24.17M","-0.64%"
"10/06/2021","22,815.1","23,222.5","23,222.5","22,592.8","44.65M","-1.60%"
"10/07/2021","23,766.7","23,466.7","23,933.3","23,266.7","18.67M","4.17%"
"10/08/2021","23,933.3","23,833.3","24,000.0","23,533.3","10.33M","0.70%"
