"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","13,899.0","13,899.0","13,949.0","13,899.0","4.20K","-2.09%"
"07/02/2021","13,949.0","13,998.0","13,998.0","13,899.0","42.20K","0.36%"
"07/05/2021","14,096.0","13,949.0","14,096.0","13,949.0","19.70K","1.05%"
"07/06/2021","14,195.0","14,047.0","14,294.0","14,047.0","7.20K","0.70%"
"07/08/2021","14,195.0","13,998.0","14,195.0","13,998.0","0.50K","0.00%"
"07/09/2021","13,702.0","13,998.0","13,998.0","13,702.0","2.20K","-3.47%"
"07/12/2021","14,195.0","13,702.0","14,195.0","13,604.0","13.10K","3.60%"
"07/13/2021","13,998.0","13,899.0","14,096.0","13,899.0","20.10K","-1.39%"
"07/14/2021","13,702.0","13,702.0","13,801.0","13,702.0","24.60K","-2.11%"
"07/15/2021","13,702.0","13,702.0","13,702.0","13,702.0","4.00K","0.00%"
"07/16/2021","13,998.0","13,949.0","13,998.0","13,702.0","10.30K","2.16%"
"07/19/2021","13,801.0","13,998.0","13,998.0","13,751.0","9.70K","-1.41%"
"07/20/2021","13,998.0","13,801.0","13,998.0","13,702.0","2.50K","1.43%"
"07/21/2021","13,998.0","13,653.0","13,998.0","13,653.0","0.30K","0.00%"
"07/22/2021","14,096.0","13,998.0","14,096.0","13,998.0","0.20K","0.70%"
"07/23/2021","13,899.0","13,899.0","13,899.0","13,899.0","11.40K","-1.40%"
"07/26/2021","13,949.0","13,801.0","13,949.0","13,801.0","5.90K","0.36%"
"07/27/2021","13,998.0","13,702.0","13,998.0","13,702.0","2.10K","0.35%"
"07/28/2021","14,047.0","13,998.0","14,096.0","13,801.0","42.70K","0.35%"
"07/29/2021","13,949.0","13,801.0","13,949.0","13,801.0","9.00K","-0.70%"
"07/30/2021","13,998.0","13,949.0","13,998.0","13,850.0","162.90K","0.35%"
"08/02/2021","13,801.0","13,899.0","14,195.0","13,702.0","17.00K","-1.41%"
"08/03/2021","13,949.0","13,801.0","13,949.0","13,702.0","15.20K","1.07%"
"08/04/2021","13,702.0","13,505.0","13,899.0","13,406.0","28.00K","-1.77%"
"08/05/2021","13,505.0","13,702.0","13,702.0","13,456.0","8.90K","-1.44%"
"08/06/2021","13,850.0","13,801.0","13,949.0","13,702.0","111.90K","2.55%"
"08/09/2021","14,000.0","13,850.0","14,050.0","13,650.0","0.90K","1.08%"
"08/10/2021","14,200.0","13,850.0","14,300.0","13,750.0","15.50K","1.43%"
"08/11/2021","13,950.0","14,000.0","14,100.0","13,950.0","28.70K","-1.76%"
"08/12/2021","14,000.0","13,850.0","14,100.0","13,800.0","16.10K","0.36%"
"08/13/2021","14,150.0","14,000.0","14,150.0","13,900.0","11.40K","1.07%"
"08/16/2021","14,050.0","14,000.0","14,100.0","14,000.0","7.00K","-0.71%"
"08/17/2021","14,000.0","14,050.0","14,050.0","13,950.0","18.80K","-0.36%"
"08/18/2021","14,000.0","14,050.0","14,100.0","13,900.0","11.70K","0.00%"
"08/19/2021","14,100.0","14,000.0","14,100.0","13,800.0","8.40K","0.71%"
"08/20/2021","14,150.0","14,100.0","14,150.0","14,000.0","14.10K","0.35%"
"08/23/2021","14,200.0","14,150.0","14,200.0","14,100.0","31.30K","0.35%"
"08/24/2021","14,100.0","14,200.0","14,200.0","14,000.0","12.60K","-0.70%"
"08/25/2021","14,150.0","14,100.0","14,150.0","14,000.0","116.80K","0.35%"
"08/26/2021","14,050.0","14,150.0","14,200.0","14,050.0","12.90K","-0.71%"
"08/27/2021","14,300.0","14,000.0","14,300.0","14,000.0","30.50K","1.78%"
