"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","22,437.9","22,371.7","22,669.6","22,140.0","706.00K","1.33%"
"07/02/2021","22,173.1","22,239.3","22,338.6","21,908.4","668.40K","-1.18%"
"07/05/2021","22,173.1","22,173.1","22,173.1","21,577.4","960.22K","0.00%"
"07/06/2021","22,371.7","22,173.1","22,669.6","21,908.4","1.37M","0.90%"
"07/07/2021","23,927.1","22,239.3","23,927.1","21,809.1","3.36M","6.95%"
"07/08/2021","25,085.4","24,423.5","25,284.0","24,357.4","1.45M","4.84%"
"07/09/2021","24,688.3","25,217.8","25,416.4","24,423.5","969.04K","-1.58%"
"07/12/2021","25,151.6","24,357.4","25,151.6","23,563.1","1.58M","1.88%"
"07/13/2021","25,284.0","25,284.0","25,350.2","24,886.9","580.13K","0.53%"
"07/14/2021","26,012.1","25,416.4","26,343.0","25,019.2","1.14M","2.88%"
"07/15/2021","25,945.9","26,012.1","26,078.3","25,614.9","625.22K","-0.25%"
"07/16/2021","25,912.8","25,979.0","26,409.2","25,515.7","994.00K","-0.13%"
"07/19/2021","25,879.7","25,482.6","26,938.7","25,416.4","1.47M","-0.13%"
"07/20/2021","27,071.1","25,614.9","27,071.1","25,614.9","1.28M","4.60%"
"07/21/2021","28,957.5","28,957.5","28,957.5","28,858.2","980.93K","6.97%"
"07/22/2021","30,181.9","30,248.1","30,976.2","29,453.9","2.29M","4.23%"
"07/23/2021","29,553.2","29,917.2","30,049.6","29,189.1","1.60M","-2.08%"
"07/26/2021","30,645.3","29,189.1","31,108.6","29,023.6","1.28M","3.70%"
"07/27/2021","30,314.3","30,777.6","30,843.8","30,181.9","729.35K","-1.08%"
"07/28/2021","30,181.9","30,181.9","30,380.5","29,817.9","609.94K","-0.44%"
"07/29/2021","30,115.8","30,181.9","30,446.7","29,950.3","729.79K","-0.22%"
"07/30/2021","30,512.9","30,115.8","30,777.6","30,115.8","1.04M","1.32%"
"08/02/2021","31,406.4","30,446.7","31,505.7","30,248.1","948.03K","2.93%"
"08/03/2021","31,737.4","31,439.5","31,770.5","31,373.3","928.65K","1.05%"
"08/04/2021","30,976.2","31,770.5","31,969.0","30,678.4","1.61M","-2.40%"
"08/05/2021","30,579.1","30,843.8","30,976.2","30,380.5","951.71K","-1.28%"
"08/06/2021","30,347.4","30,380.5","30,777.6","30,148.8","1.53M","-0.76%"
"08/09/2021","30,579.1","30,181.9","30,744.5","30,181.9","1.04M","0.76%"
"08/10/2021","30,512.9","30,579.1","30,910.0","30,479.8","1.14M","-0.22%"
"08/11/2021","30,413.6","30,479.8","30,777.6","30,380.5","851.25K","-0.33%"
"08/12/2021","32,333.1","30,181.9","32,432.4","30,181.9","2.05M","6.31%"
"08/13/2021","33,061.1","32,498.5","33,094.2","31,935.9","1.77M","2.25%"
"08/16/2021","33,623.7","33,094.2","33,756.1","33,094.2","792.21K","1.70%"
"08/17/2021","34,020.9","33,623.7","34,020.9","33,094.2","1.06M","1.18%"
"08/18/2021","33,689.9","33,954.7","34,020.9","33,689.9","840.97K","-0.97%"
"08/19/2021","34,351.8","33,689.9","34,682.8","33,491.4","684.11K","1.96%"
"08/20/2021","34,153.3","34,351.8","34,815.1","33,425.2","1.15M","-0.58%"
"08/23/2021","33,623.7","33,954.7","34,219.4","33,491.4","619.93K","-1.55%"
"08/24/2021","33,822.3","33,491.4","34,285.6","33,359.0","1.01M","0.59%"
"08/25/2021","35,013.7","33,888.5","35,344.6","33,491.4","879.89K","3.52%"
"08/26/2021","35,146.1","35,079.9","35,675.6","35,079.9","536.51K","0.38%"
"08/27/2021","35,146.1","35,079.9","35,410.8","34,881.3","468.51K","0.00%"
"08/30/2021","36,006.5","35,146.1","36,337.5","34,815.1","840.09K","2.45%"
"08/31/2021","36,072.7","36,072.7","36,337.5","36,006.5","469.10K","0.18%"
"09/01/2021","36,271.3","36,072.7","36,337.5","35,874.2","522.41K","0.55%"
"09/06/2021","37,595.1","36,469.8","38,058.4","36,469.8","699.97K","3.65%"
"09/07/2021","37,197.9","37,727.4","38,587.9","37,197.9","880.62K","-1.06%"
