"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","5,753.6","5,753.6","5,753.6","5,744.2","644.30K","6.93%"
"07/02/2021","5,585.7","5,930.8","5,949.4","5,501.8","375.60K","-2.92%"
"07/05/2021","5,203.4","5,408.5","5,408.5","5,203.4","603.20K","-6.84%"
"07/06/2021","4,895.7","5,035.5","5,315.3","4,895.7","534.30K","-5.91%"
"07/07/2021","5,128.8","4,821.1","5,128.8","4,811.7","188.50K","4.76%"
"07/08/2021","5,147.4","5,128.8","5,306.0","4,905.0","174.70K","0.36%"
"07/09/2021","4,960.9","5,119.5","5,128.8","4,960.9","122.60K","-3.62%"
"07/12/2021","4,634.6","4,960.9","4,970.3","4,615.9","289.10K","-6.58%"
"07/13/2021","4,783.8","4,662.5","4,849.0","4,634.6","111.70K","3.22%"
"07/14/2021","4,746.5","4,765.1","4,839.7","4,634.6","126.50K","-0.78%"
"07/15/2021","4,783.8","4,681.2","4,793.1","4,681.2","53.80K","0.79%"
"07/16/2021","4,709.2","4,718.5","4,914.3","4,699.8","73.20K","-1.56%"
"07/19/2021","4,476.0","4,662.5","4,671.9","4,476.0","53.00K","-4.95%"
"07/20/2021","4,606.6","4,476.0","4,662.5","4,476.0","24.50K","2.92%"
"07/21/2021","4,606.6","4,662.5","4,662.5","4,606.6","20.70K","0.00%"
"07/22/2021","4,662.5","4,615.9","4,737.1","4,569.3","44.40K","1.21%"
"07/23/2021","4,662.5","4,606.6","4,690.5","4,578.6","62.70K","0.00%"
"07/26/2021","4,662.5","4,662.5","4,671.9","4,578.6","45.40K","0.00%"
"07/27/2021","4,783.8","4,662.5","4,849.0","4,662.5","96.10K","2.60%"
"07/28/2021","4,783.8","4,802.4","4,802.4","4,709.2","15.40K","0.00%"
"07/29/2021","4,737.1","4,709.2","4,811.7","4,709.2","19.90K","-0.98%"
"07/30/2021","4,727.8","4,718.5","4,774.4","4,709.2","81.20K","-0.20%"
"08/02/2021","4,783.8","4,839.7","4,923.6","4,755.8","292.70K","1.18%"
"08/03/2021","4,858.4","4,988.9","4,988.9","4,783.8","21.70K","1.56%"
"08/04/2021","4,849.0","4,867.7","4,923.6","4,765.1","57.80K","-0.19%"
"08/05/2021","5,026.2","4,849.0","5,026.2","4,849.0","207.20K","3.65%"
"08/06/2021","4,979.6","5,026.2","5,026.2","4,895.7","147.20K","-0.93%"
"08/09/2021","5,110.1","4,895.7","5,110.1","4,895.7","69.30K","2.62%"
"08/10/2021","5,016.9","5,100.8","5,100.8","4,858.4","133.70K","-1.82%"
"08/11/2021","4,970.3","5,119.5","5,128.8","4,951.6","71.10K","-0.93%"
"08/12/2021","5,035.5","4,942.3","5,063.5","4,923.6","228.80K","1.31%"
"08/13/2021","4,998.2","5,026.2","5,035.5","4,923.6","55.90K","-0.74%"
"08/16/2021","5,054.2","5,044.9","5,072.8","4,858.4","270.40K","1.12%"
"08/17/2021","5,222.0","5,035.5","5,399.2","5,035.5","228.50K","3.32%"
"08/18/2021","5,361.9","5,222.0","5,389.9","5,175.4","293.70K","2.68%"
"08/19/2021","5,371.2","5,417.9","5,492.5","5,361.9","178.90K","0.17%"
"08/20/2021","5,054.2","5,380.6","5,380.6","5,035.5","242.30K","-5.90%"
"08/23/2021","4,905.0","5,054.2","5,082.2","4,905.0","111.60K","-2.95%"
"08/24/2021","4,886.3","4,849.0","4,942.3","4,849.0","170.50K","-0.38%"
"08/25/2021","4,933.0","4,895.7","4,942.3","4,849.0","83.00K","0.96%"
"08/26/2021","4,979.6","5,119.5","5,119.5","4,905.0","29.80K","0.94%"
"08/27/2021","4,960.9","4,979.6","4,998.2","4,877.0","82.40K","-0.38%"
"08/30/2021","4,998.2","4,970.3","5,072.8","4,970.3","86.10K","0.75%"
"08/31/2021","5,072.8","5,072.8","5,091.5","4,979.6","97.00K","1.49%"
"09/01/2021","5,296.6","5,082.2","5,296.6","5,035.5","286.00K","4.41%"
"09/06/2021","5,427.2","5,268.7","5,483.1","5,268.7","441.80K","2.47%"
"09/07/2021","5,278.0","5,492.5","5,492.5","5,240.7","210.20K","-2.75%"
"09/08/2021","5,641.7","5,408.5","5,641.7","5,408.5","845.40K","6.89%"
"09/09/2021","6,033.3","6,033.3","6,033.3","6,033.3","471.50K","6.94%"
"09/10/2021","6,453.0","6,453.0","6,453.0","6,453.0","486.60K","6.96%"
"09/13/2021","6,900.6","6,900.6","6,900.6","6,527.6","3.21M","6.94%"
"09/14/2021","7,376.1","7,366.8","7,376.1","7,087.1","634.90K","6.89%"
"09/15/2021","7,273.6","7,879.7","7,889.0","7,273.6","2.23M","-1.39%"
"09/16/2021","7,152.3","6,863.3","7,273.6","6,863.3","1.29M","-1.67%"
"09/17/2021","6,947.2","6,807.3","7,152.3","6,807.3","818.60K","-2.87%"
"09/20/2021","7,236.3","6,826.0","7,432.1","6,816.6","2.11M","4.16%"
"09/21/2021","6,993.8","6,900.6","7,087.1","6,732.7","1.76M","-3.35%"
"09/22/2021","7,478.7","7,087.1","7,478.7","6,947.2","9.01M","6.93%"
"09/23/2021","8,000.9","8,000.9","8,000.9","8,000.9","1.12M","6.98%"
"09/24/2021","7,441.4","7,945.0","7,945.0","7,441.4","1.64M","-6.99%"
"09/27/2021","6,928.5","6,928.5","7,273.6","6,928.5","3.16M","-6.89%"
"09/28/2021","6,928.5","6,453.0","6,984.5","6,453.0","855.80K","0.00%"
"09/29/2021","7,087.1","6,900.6","7,273.6","6,714.1","706.80K","2.29%"
"09/30/2021","6,900.6","7,077.7","7,087.1","6,900.6","877.20K","-2.63%"
"10/01/2021","6,760.7","6,714.1","7,021.8","6,714.1","1.09M","-2.03%"
"10/04/2021","6,294.4","6,536.9","6,555.5","6,294.4","2.64M","-6.90%"
"10/05/2021","6,425.0","6,341.1","6,480.9","6,294.4","287.70K","2.07%"
"10/06/2021","5,996.0","6,415.7","6,415.7","5,977.4","1.34M","-6.68%"
"10/07/2021","6,238.5","6,005.4","6,322.4","5,996.0","557.90K","4.04%"
"10/08/2021","6,331.7","6,266.5","6,480.9","6,266.5","350.40K","1.49%"
"10/11/2021","6,527.6","6,294.4","6,574.2","6,154.6","817.90K","3.09%"
"10/12/2021","6,770.0","6,527.6","6,770.0","6,527.6","745.10K","3.71%"
"10/13/2021","7,087.1","7,180.3","7,180.3","6,993.8","1.44M","4.68%"
"10/14/2021","7,348.2","7,096.4","7,460.1","6,947.2","1.08M","3.68%"
"10/15/2021","7,767.8","7,786.4","7,786.4","7,572.0","2.04M","5.71%"
"10/18/2021","8,131.5","8,019.6","8,159.4","7,795.8","3.01M","4.68%"
"10/19/2021","8,672.3","8,140.8","8,700.3","7,842.4","3.49M","6.65%"
"10/20/2021","8,364.6","8,672.3","8,998.7","8,196.7","2.91M","-3.55%"
"10/21/2021","8,112.8","8,019.6","8,308.6","8,019.6","1.76M","-3.01%"
"10/22/2021","8,290.0","7,972.9","8,392.6","7,972.9","2.10M","2.18%"
"10/25/2021","8,290.0","8,600.0","8,670.0","8,260.0","1.75M","0.00%"
"10/26/2021","8,250.0","8,200.0","8,340.0","8,130.0","1.15M","-0.48%"
"10/27/2021","8,400.0","8,250.0","8,490.0","8,200.0","1.35M","1.82%"
"10/28/2021","8,300.0","8,400.0","8,550.0","8,300.0","1.10M","-1.19%"
"10/29/2021","8,200.0","8,310.0","8,320.0","8,100.0","2.01M","-1.20%"
"11/01/2021","8,770.0","8,300.0","8,770.0","8,200.0","2.85M","6.95%"
"11/02/2021","9,360.0","9,350.0","9,360.0","8,770.0","3.05M","6.73%"
"11/03/2021","8,710.0","9,740.0","9,740.0","8,710.0","2.81M","-6.94%"
"11/04/2021","8,580.0","8,480.0","8,800.0","8,200.0","1.49M","-1.49%"
"11/05/2021","8,620.0","8,500.0","8,700.0","8,300.0","1.02M","0.47%"
"11/08/2021","8,720.0","8,880.0","8,950.0","8,620.0","1.16M","1.16%"
"11/09/2021","8,500.0","8,900.0","8,900.0","8,420.0","1.42M","-2.52%"
"11/10/2021","8,970.0","8,530.0","9,000.0","8,520.0","1.36M","5.53%"
"11/11/2021","9,380.0","9,190.0","9,500.0","9,100.0","2.02M","4.57%"
"11/12/2021","9,370.0","9,400.0","9,450.0","9,150.0","1.40M","-0.11%"
"11/15/2021","10,000.0","9,880.0","10,000.0","9,500.0","2.57M","6.72%"
"11/16/2021","10,650.0","10,350.0","10,700.0","9,990.0","2.29M","6.50%"
"11/17/2021","10,500.0","10,650.0","10,850.0","10,000.0","1.60M","-1.41%"
"11/18/2021","11,200.0","10,500.0","11,200.0","10,300.0","1.77M","6.67%"
"11/19/2021","11,600.0","11,950.0","11,950.0","10,650.0","2.99M","3.57%"
