"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","29,587.0","29,545.0","29,752.0","29,504.0","790.01K","0.14%"
"07/02/2021","29,215.0","29,628.0","29,628.0","29,091.0","915.73K","-1.26%"
"07/05/2021","29,256.0","29,215.0","29,504.0","28,884.0","1.37M","0.14%"
"07/06/2021","29,050.0","29,256.0","29,380.0","28,926.0","568.58K","-0.70%"
"07/07/2021","28,926.0","29,091.0","29,215.0","28,802.0","1.34M","-0.43%"
"07/08/2021","28,967.0","29,008.0","29,008.0","28,802.0","1.21M","0.14%"
"07/09/2021","28,719.0","28,967.0","28,967.0","28,595.0","1.31M","-0.86%"
"07/12/2021","28,595.0","28,760.0","28,843.0","28,099.0","1.43M","-0.43%"
"07/13/2021","28,926.0","28,595.0","29,008.0","28,595.0","1.46M","1.16%"
"07/14/2021","29,339.0","29,008.0","29,463.0","29,008.0","1.82M","1.43%"
"07/15/2021","29,091.0","29,339.0","29,421.0","28,926.0","1.36M","-0.85%"
"07/16/2021","29,050.0","29,091.0","29,132.0","29,008.0","542.20K","-0.14%"
"07/19/2021","28,678.0","29,008.0","29,008.0","28,512.0","1.19M","-1.28%"
"07/20/2021","28,471.0","28,678.0","28,678.0","28,430.0","971.02K","-0.72%"
"07/21/2021","28,595.0","28,471.0","28,760.0","28,306.0","1.44M","0.44%"
"07/22/2021","29,752.0","28,554.0","29,752.0","28,264.0","1.34M","4.05%"
"07/23/2021","29,711.0","29,669.0","30,165.0","28,678.0","1.50M","-0.14%"
"07/26/2021","30,165.0","29,752.0","30,248.0","29,628.0","630.41K","1.53%"
"07/27/2021","29,752.0","30,165.0","30,537.0","29,752.0","936.30K","-1.37%"
"07/28/2021","29,504.0","29,752.0","29,835.0","29,504.0","826.07K","-0.83%"
"07/29/2021","30,165.0","29,587.0","30,165.0","29,091.0","445.04K","2.24%"
"07/30/2021","32,273.0","30,248.0","32,273.0","29,587.0","1.50M","6.99%"
"08/02/2021","32,438.0","32,273.0","32,686.0","32,273.0","1.60M","0.51%"
"08/03/2021","32,975.0","31,983.0","33,141.0","31,983.0","1.09M","1.66%"
"08/04/2021","33,058.0","33,017.0","33,223.0","32,851.0","1.26M","0.25%"
"08/05/2021","33,471.0","33,141.0","33,884.0","32,975.0","756.25K","1.25%"
"08/06/2021","33,388.0","33,471.0","33,884.0","33,182.0","1.09M","-0.25%"
"08/09/2021","33,967.0","33,347.0","33,967.0","33,058.0","1.01M","1.73%"
"08/10/2021","34,091.0","34,008.0","34,132.0","33,884.0","872.17K","0.37%"
"08/11/2021","33,884.0","34,091.0","34,215.0","33,884.0","770.53K","-0.61%"
"08/12/2021","34,298.0","33,884.0","34,421.0","33,719.0","843.25K","1.22%"
"08/13/2021","34,711.0","34,298.0","34,711.0","34,091.0","804.65K","1.20%"
"08/16/2021","34,587.0","34,752.0","35,041.0","34,463.0","979.25K","-0.36%"
"08/17/2021","34,008.0","34,587.0","34,711.0","34,008.0","769.32K","-1.67%"
"08/18/2021","34,215.0","33,967.0","34,215.0","33,843.0","647.35K","0.61%"
"08/19/2021","34,711.0","34,215.0","34,711.0","33,802.0","701.56K","1.45%"
"08/20/2021","34,463.0","34,711.0","34,793.0","34,463.0","652.31K","-0.71%"
"08/23/2021","34,298.0","34,504.0","34,545.0","33,471.0","1.08M","-0.48%"
"08/24/2021","34,545.0","34,298.0","34,545.0","33,058.0","1.84M","0.72%"
"08/25/2021","34,711.0","34,504.0","34,711.0","33,471.0","857.65K","0.48%"
"08/26/2021","34,298.0","34,711.0","35,372.0","34,298.0","821.83K","-1.19%"
"08/27/2021","34,463.0","34,215.0","34,463.0","33,719.0","1.53M","0.48%"
"08/30/2021","34,752.0","34,504.0","34,793.0","34,463.0","971.87K","0.84%"
"08/31/2021","34,711.0","34,752.0","35,083.0","34,628.0","955.42K","-0.12%"
"09/01/2021","34,545.0","34,793.0","35,207.0","33,264.0","1.40M","-0.48%"
"09/06/2021","34,876.0","34,587.0","35,124.0","34,463.0","1.23M","0.96%"
"09/07/2021","33,471.0","34,876.0","35,041.0","33,471.0","1.33M","-4.03%"
"09/08/2021","34,545.0","33,347.0","34,711.0","33,141.0","1.31M","3.21%"
"09/09/2021","34,752.0","34,545.0","34,835.0","34,298.0","723.70K","0.60%"
"09/10/2021","34,959.0","34,752.0","35,331.0","34,711.0","1.03M","0.60%"
"09/13/2021","33,884.0","35,000.0","35,165.0","33,678.0","1.02M","-3.08%"
"09/14/2021","32,810.0","33,884.0","33,967.0","32,810.0","1.23M","-3.17%"
"09/15/2021","33,512.0","32,893.0","33,554.0","32,893.0","1.33M","2.14%"
"09/16/2021","33,223.0","33,512.0","33,719.0","33,058.0","809.97K","-0.86%"
"09/17/2021","34,298.0","33,223.0","34,380.0","33,182.0","1.21M","3.24%"
"09/20/2021","33,471.0","34,298.0","35,124.0","33,388.0","1.75M","-2.41%"
"09/21/2021","33,884.0","33,471.0","33,967.0","33,388.0","1.13M","1.23%"
"09/22/2021","34,463.0","33,967.0","34,545.0","33,719.0","882.21K","1.71%"
"09/23/2021","34,504.0","34,463.0","34,545.0","33,884.0","1.01M","0.12%"
"09/24/2021","34,669.0","34,545.0","34,835.0","34,504.0","1.04M","0.48%"
"09/27/2021","34,669.0","34,711.0","34,876.0","34,545.0","1.63M","0.00%"
"09/28/2021","35,124.0","34,669.0","35,124.0","34,628.0","736.04K","1.31%"
"09/29/2021","34,711.0","35,124.0","35,372.0","34,545.0","569.43K","-1.18%"
"09/30/2021","35,124.0","34,711.0","35,372.0","34,298.0","1.91M","1.19%"
"10/01/2021","35,372.0","35,124.0","35,950.0","35,124.0","571.85K","0.71%"
"10/04/2021","35,455.0","35,455.0","35,950.0","35,124.0","623.27K","0.23%"
"10/05/2021","35,785.0","35,537.0","35,868.0","35,455.0","660.90K","0.93%"
"10/06/2021","35,909.0","35,702.0","35,909.0","35,537.0","825.70K","0.35%"
"10/07/2021","35,909.0","35,950.0","36,198.0","35,909.0","625.57K","0.00%"
"10/08/2021","35,950.0","35,909.0","36,281.0","35,702.0","899.03K","0.11%"
"10/11/2021","36,116.0","35,950.0","36,198.0","35,785.0","1.05M","0.46%"
"10/12/2021","36,281.0","36,116.0","36,364.0","35,620.0","1.14M","0.46%"
"10/13/2021","35,537.0","36,157.0","36,364.0","35,537.0","719.83K","-2.05%"
"10/14/2021","36,612.0","35,537.0","36,694.0","35,537.0","879.06K","3.03%"
"10/15/2021","36,694.0","36,612.0","36,942.0","36,612.0","609.96K","0.22%"
"10/18/2021","36,736.0","36,694.0","36,736.0","36,364.0","1.03M","0.11%"
"10/19/2021","36,364.0","36,736.0","36,942.0","36,364.0","934.72K","-1.01%"
"10/20/2021","35,537.0","36,364.0","36,529.0","35,537.0","545.47K","-2.27%"
"10/21/2021","35,455.0","35,620.0","35,785.0","35,372.0","731.81K","-0.23%"
"10/22/2021","35,620.0","35,455.0","36,033.0","35,289.0","933.15K","0.47%"
"10/25/2021","35,702.0","35,620.0","35,868.0","35,537.0","817.96K","0.23%"
"10/26/2021","35,661.0","35,620.0","35,702.0","35,372.0","768.11K","-0.11%"
"10/27/2021","36,198.0","35,661.0","36,281.0","35,537.0","725.27K","1.51%"
"10/28/2021","36,942.0","36,198.0","37,107.0","36,198.0","650.37K","2.06%"
"10/29/2021","36,860.0","36,942.0","37,190.0","36,364.0","728.18K","-0.22%"
"11/01/2021","35,702.0","36,860.0","36,860.0","35,702.0","894.67K","-3.14%"
"11/02/2021","37,273.0","35,702.0","37,686.0","35,537.0","765.08K","4.40%"
"11/03/2021","36,529.0","37,273.0","38,099.0","36,529.0","792.43K","-2.00%"
"11/04/2021","39,050.0","36,529.0","39,050.0","36,364.0","1.13M","6.90%"
"11/05/2021","41,240.0","40,496.0","41,736.0","40,413.0","1.64M","5.61%"
"11/08/2021","41,488.0","41,570.0","42,314.0","41,322.0","961.59K","0.60%"
"11/09/2021","42,975.0","41,405.0","42,975.0","39,835.0","1.06M","3.58%"
"11/10/2021","42,975.0","43,058.0","43,223.0","41,818.0","938.35K","0.00%"
"11/11/2021","44,182.0","42,955.0","45,909.0","42,955.0","1.04M","2.81%"
"11/12/2021","45,909.0","43,727.0","45,909.0","42,727.0","1.05M","3.91%"
"11/15/2021","45,909.0","46,091.0","46,364.0","44,182.0","1.23M","0.00%"
"11/16/2021","44,545.0","45,909.0","45,909.0","44,182.0","597.19K","-2.97%"
"11/17/2021","46,000.0","44,545.0","46,000.0","44,545.0","572.55K","3.27%"
"11/18/2021","47,273.0","46,000.0","47,727.0","45,727.0","579.48K","2.77%"
"11/19/2021","48,182.0","47,364.0","48,182.0","45,182.0","724.24K","1.92%"
"11/22/2021","47,273.0","47,909.0","48,091.0","46,818.0","768.02K","-1.89%"
"11/23/2021","47,909.0","47,364.0","48,273.0","46,364.0","894.30K","1.35%"
"11/24/2021","47,545.0","48,000.0","48,273.0","46,636.0","368.83K","-0.76%"
"11/25/2021","47,273.0","46,818.0","47,545.0","46,727.0","986.92K","-0.57%"
"11/26/2021","47,091.0","47,182.0","48,182.0","47,091.0","673.86K","-0.38%"
"11/29/2021","47,364.0","45,909.0","48,182.0","45,909.0","854.04K","0.58%"
"11/30/2021","48,636.0","47,364.0","48,636.0","46,636.0","1.63M","2.69%"
"12/01/2021","48,727.0","48,545.0","50,182.0","48,545.0","961.51K","0.19%"
"12/02/2021","49,091.0","48,818.0","50,000.0","48,636.0","783.86K","0.75%"
"12/03/2021","48,545.0","49,182.0","49,273.0","47,636.0","391.05K","-1.11%"
"12/06/2021","47,273.0","48,000.0","48,273.0","46,000.0","665.61K","-2.62%"
"12/07/2021","49,091.0","47,545.0","49,091.0","46,273.0","979.99K","3.85%"
"12/08/2021","49,273.0","49,182.0","50,091.0","49,000.0","670.45K","0.37%"
"12/09/2021","49,364.0","49,545.0","50,000.0","48,818.0","813.34K","0.18%"
"12/10/2021","49,545.0","49,455.0","49,545.0","49,091.0","517.11K","0.37%"
"12/13/2021","52,273.0","50,727.0","53,000.0","50,636.0","1.34M","5.51%"
"12/14/2021","52,182.0","52,727.0","52,818.0","51,545.0","1.19M","-0.17%"
"12/15/2021","51,727.0","52,182.0","52,818.0","50,000.0","1.29M","-0.87%"
"12/16/2021","51,364.0","51,818.0","52,182.0","49,091.0","1.25M","-0.70%"
"12/17/2021","48,455.0","51,455.0","52,000.0","48,455.0","1.71M","-5.66%"
"12/20/2021","48,818.0","48,455.0","49,182.0","48,000.0","1.14M","0.75%"
"12/21/2021","49,455.0","48,818.0","49,545.0","46,364.0","1.38M","1.30%"
"12/22/2021","50,182.0","49,818.0","51,000.0","49,818.0","949.30K","1.47%"
"12/23/2021","49,091.0","50,273.0","50,455.0","48,545.0","1.06M","-2.17%"
"12/24/2021","49,545.0","50,182.0","50,909.0","48,636.0","1.26M","0.92%"
"12/27/2021","49,636.0","49,636.0","49,818.0","48,727.0","1.42M","0.18%"
"12/28/2021","49,818.0","49,727.0","50,091.0","48,182.0","1.72M","0.37%"
"12/29/2021","49,364.0","49,909.0","50,273.0","48,182.0","1.46M","-0.91%"
"12/30/2021","49,818.0","49,545.0","50,000.0","49,000.0","1.33M","0.92%"
"12/31/2021","49,909.0","49,909.0","50,273.0","48,909.0","1.45M","0.18%"
