"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","14,693.0","14,789.0","14,789.0","14,453.0","3.50K","-0.65%"
"07/02/2021","14,693.0","14,693.0","14,693.0","13,685.0","17.00K","0.00%"
"07/05/2021","14,693.0","14,693.0","15,701.0","14,549.0","7.60K","0.00%"
"07/06/2021","15,173.0","14,693.0","15,173.0","14,405.0","6.50K","3.27%"
"07/07/2021","14,597.0","14,885.0","14,981.0","14,597.0","20.60K","-3.80%"
"07/08/2021","14,741.0","14,693.0","14,789.0","14,405.0","11.70K","0.99%"
"07/09/2021","14,741.0","14,597.0","14,741.0","13,733.0","16.70K","0.00%"
"07/12/2021","14,741.0","14,741.0","14,741.0","14,741.0","0.60K","0.00%"
"07/13/2021","14,693.0","13,925.0","14,885.0","13,925.0","11.30K","-0.33%"
"07/14/2021","14,405.0","14,693.0","14,693.0","13,829.0","12.40K","-1.96%"
"07/15/2021","13,637.0","13,637.0","13,637.0","13,637.0","0.30K","-5.33%"
"07/16/2021","13,637.0","13,252.0","14,405.0","13,252.0","10.50K","0.00%"
"07/19/2021","14,549.0","13,637.0","14,549.0","13,637.0","20.50K","6.69%"
"07/20/2021","15,557.0","15,557.0","15,557.0","15,557.0","110.60K","6.93%"
"07/21/2021","15,557.0","16,277.0","16,325.0","15,557.0","51.90K","0.00%"
"07/22/2021","15,461.0","15,557.0","15,845.0","14,501.0","14.60K","-0.62%"
"07/23/2021","14,789.0","14,981.0","14,981.0","14,405.0","25.90K","-4.35%"
"07/26/2021","14,357.0","14,405.0","14,741.0","14,021.0","38.50K","-2.92%"
"07/27/2021","14,405.0","14,405.0","15,029.0","14,405.0","10.30K","0.33%"
"07/28/2021","14,405.0","14,117.0","14,405.0","14,021.0","9.90K","0.00%"
"07/29/2021","13,829.0","13,781.0","14,405.0","13,781.0","16.90K","-4.00%"
"07/30/2021","14,405.0","13,829.0","14,597.0","13,733.0","15.70K","4.17%"
"08/02/2021","14,309.0","14,213.0","14,789.0","14,213.0","7.20K","-0.67%"
"08/03/2021","14,021.0","14,213.0","14,213.0","14,021.0","12.20K","-2.01%"
"08/04/2021","13,925.0","14,021.0","14,405.0","13,925.0","10.50K","-0.68%"
"08/05/2021","14,309.0","14,357.0","14,405.0","14,261.0","29.30K","2.76%"
"08/06/2021","14,117.0","14,021.0","14,501.0","14,021.0","13.60K","-1.34%"
"08/09/2021","14,405.0","14,117.0","14,405.0","14,021.0","11.70K","2.04%"
"08/10/2021","14,837.0","14,453.0","14,885.0","14,453.0","20.10K","3.00%"
"08/11/2021","14,741.0","15,077.0","15,077.0","14,405.0","12.90K","-0.65%"
"08/12/2021","14,837.0","14,741.0","14,885.0","14,501.0","11.50K","0.65%"
"08/13/2021","14,693.0","14,885.0","14,885.0","14,309.0","7.80K","-0.97%"
"08/16/2021","14,789.0","14,597.0","14,789.0","14,597.0","23.90K","0.65%"
"08/17/2021","14,789.0","14,789.0","14,837.0","14,213.0","8.40K","0.00%"
"08/18/2021","14,741.0","14,789.0","14,789.0","14,597.0","4.40K","-0.32%"
"08/19/2021","14,741.0","14,693.0","14,789.0","14,213.0","34.90K","0.00%"
"08/20/2021","14,501.0","14,693.0","14,693.0","14,357.0","7.00K","-1.63%"
"08/23/2021","14,213.0","14,501.0","14,501.0","14,117.0","6.60K","-1.99%"
"08/24/2021","14,405.0","14,213.0","14,405.0","14,021.0","18.10K","1.35%"
"08/25/2021","14,405.0","14,453.0","14,453.0","14,405.0","3.00K","0.00%"
"08/26/2021","14,405.0","14,405.0","14,693.0","14,165.0","11.80K","0.00%"
"08/27/2021","15,413.0","14,405.0","15,413.0","14,405.0","62.00K","7.00%"
"08/30/2021","16,277.0","15,845.0","16,421.0","15,845.0","68.50K","5.61%"
"08/31/2021","16,133.0","16,325.0","16,806.0","15,173.0","37.10K","-0.88%"
"09/01/2021","15,221.0","15,125.0","15,365.0","15,125.0","36.40K","-5.65%"
"09/06/2021","15,413.0","15,365.0","15,701.0","15,077.0","33.30K","1.26%"
"09/07/2021","15,125.0","14,885.0","15,365.0","14,501.0","13.50K","-1.87%"
"09/08/2021","15,125.0","15,221.0","15,365.0","14,597.0","15.70K","0.00%"
"09/09/2021","14,933.0","15,269.0","15,269.0","14,885.0","4.70K","-1.27%"
"09/10/2021","14,789.0","14,933.0","14,933.0","14,789.0","23.40K","-0.96%"
"09/13/2021","15,125.0","15,749.0","15,749.0","14,981.0","17.30K","2.27%"
"09/14/2021","14,693.0","14,981.0","15,269.0","14,405.0","21.70K","-2.86%"
"09/15/2021","15,221.0","14,693.0","15,317.0","14,501.0","12.50K","3.59%"
"09/16/2021","14,741.0","14,741.0","14,885.0","14,741.0","6.50K","-3.15%"
"09/17/2021","14,789.0","14,741.0","14,885.0","14,741.0","17.20K","0.33%"
"09/20/2021","14,933.0","14,789.0","14,981.0","14,693.0","18.60K","0.97%"
"09/21/2021","14,693.0","14,693.0","14,693.0","14,405.0","8.20K","-1.61%"
"09/22/2021","15,029.0","14,885.0","15,653.0","14,885.0","26.00K","2.29%"
"09/23/2021","14,981.0","15,269.0","15,269.0","14,837.0","16.30K","-0.32%"
"09/24/2021","14,645.0","14,885.0","15,077.0","14,645.0","12.20K","-2.24%"
"09/27/2021","14,885.0","14,549.0","15,125.0","14,405.0","14.30K","1.64%"
"09/28/2021","14,885.0","14,789.0","14,885.0","14,693.0","1.60K","0.00%"
"09/29/2021","14,741.0","14,693.0","14,885.0","14,693.0","3.60K","-0.97%"
"09/30/2021","14,741.0","14,741.0","14,789.0","14,645.0","1.60K","0.00%"
"10/01/2021","14,549.0","14,741.0","14,741.0","14,501.0","3.00K","-1.30%"
"10/04/2021","14,597.0","14,405.0","14,789.0","14,213.0","11.60K","0.33%"
"10/05/2021","14,453.0","14,501.0","14,501.0","14,405.0","2.70K","-0.99%"
"10/06/2021","14,885.0","14,453.0","14,885.0","14,453.0","10.10K","2.99%"
"10/07/2021","14,885.0","14,453.0","14,885.0","14,453.0","3.50K","0.00%"
"10/08/2021","14,789.0","14,789.0","14,933.0","14,789.0","12.30K","-0.64%"
"10/11/2021","14,549.0","14,693.0","14,693.0","14,549.0","4.50K","-1.62%"
"10/12/2021","14,885.0","14,885.0","14,885.0","14,837.0","21.70K","2.31%"
"10/13/2021","14,885.0","14,885.0","14,885.0","14,885.0","11.60K","0.00%"
"10/14/2021","14,885.0","14,885.0","14,885.0","14,885.0","1.10K","0.00%"
"10/15/2021","14,789.0","14,501.0","14,885.0","14,501.0","1.90K","-0.64%"
"10/18/2021","14,213.0","14,789.0","14,789.0","14,213.0","4.00K","-3.89%"
"10/19/2021","15,173.0","15,173.0","15,173.0","15,077.0","22.50K","6.75%"
"10/20/2021","15,365.0","16,229.0","16,229.0","15,365.0","26.80K","1.27%"
"10/21/2021","14,693.0","14,693.0","14,789.0","14,645.0","7.20K","-4.37%"
"10/22/2021","14,789.0","14,693.0","14,837.0","14,693.0","8.30K","0.65%"
"10/25/2021","15,173.0","14,981.0","15,317.0","14,789.0","7.00K","2.60%"
"10/26/2021","14,981.0","15,173.0","15,173.0","14,981.0","2.20K","-1.27%"
"10/27/2021","15,173.0","14,981.0","15,221.0","14,981.0","14.40K","1.28%"
"10/28/2021","15,077.0","15,173.0","15,317.0","15,077.0","8.30K","-0.63%"
"10/29/2021","14,741.0","15,365.0","15,365.0","14,741.0","4.10K","-2.23%"
"11/01/2021","14,885.0","15,077.0","15,077.0","14,693.0","4.10K","0.98%"
"11/02/2021","15,269.0","14,885.0","15,269.0","14,501.0","16.60K","2.58%"
"11/03/2021","14,741.0","15,269.0","15,269.0","14,741.0","15.20K","-3.46%"
"11/04/2021","15,125.0","15,269.0","15,269.0","14,741.0","2.20K","2.60%"
"11/05/2021","15,125.0","15,125.0","15,125.0","14,837.0","4.70K","0.00%"
"11/08/2021","15,173.0","15,125.0","15,365.0","14,885.0","8.40K","0.32%"
"11/09/2021","15,173.0","15,173.0","15,173.0","14,981.0","8.60K","0.00%"
"11/10/2021","15,221.0","15,221.0","15,269.0","14,693.0","10.20K","0.32%"
"11/11/2021","15,173.0","15,269.0","15,269.0","15,029.0","8.50K","-0.32%"
"11/12/2021","15,269.0","14,981.0","15,269.0","14,789.0","10.60K","0.63%"
"11/15/2021","16,325.0","15,269.0","16,325.0","15,173.0","84.80K","6.92%"
