"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","31,800.0","32,000.0","32,200.0","31,650.0","3.09M","0.16%"
"07/02/2021","31,700.0","31,850.0","31,900.0","31,700.0","2.78M","-0.31%"
"07/05/2021","29,500.0","31,700.0","31,700.0","29,500.0","6.66M","-6.94%"
"07/06/2021","29,500.0","30,400.0","30,400.0","29,500.0","6.09M","0.00%"
"07/07/2021","30,900.0","29,500.0","30,900.0","29,150.0","5.46M","4.75%"
"07/08/2021","29,900.0","30,300.0","30,500.0","29,400.0","3.60M","-3.24%"
"07/09/2021","28,000.0","29,450.0","29,550.0","28,000.0","5.02M","-6.35%"
"07/12/2021","27,000.0","28,000.0","28,700.0","26,100.0","6.54M","-3.57%"
"07/13/2021","27,850.0","27,100.0","27,850.0","27,100.0","2.82M","3.15%"
"07/14/2021","28,250.0","27,850.0","28,850.0","27,850.0","4.35M","1.44%"
"07/15/2021","28,000.0","28,100.0","28,250.0","27,650.0","3.69M","-0.88%"
"07/16/2021","27,700.0","28,150.0","28,300.0","27,700.0","2.84M","-1.07%"
"07/19/2021","26,800.0","27,000.0","27,400.0","25,850.0","5.38M","-3.25%"
"07/20/2021","26,700.0","26,200.0","26,900.0","25,100.0","6.79M","-0.37%"
"07/21/2021","27,400.0","26,600.0","27,750.0","26,000.0","5.56M","2.62%"
"07/22/2021","28,200.0","27,000.0","28,250.0","26,750.0","4.41M","2.92%"
"07/23/2021","27,000.0","27,800.0","28,000.0","27,000.0","4.95M","-4.26%"
"07/26/2021","26,750.0","26,500.0","27,200.0","26,400.0","3.12M","-0.93%"
"07/27/2021","27,650.0","27,500.0","27,950.0","27,300.0","6.06M","3.36%"
"07/28/2021","27,200.0","27,600.0","27,600.0","27,150.0","2.23M","-1.63%"
"07/29/2021","27,350.0","27,300.0","27,900.0","27,100.0","4.17M","0.55%"
"07/30/2021","27,650.0","27,500.0","27,700.0","27,300.0","5.04M","1.10%"
"08/02/2021","27,500.0","27,400.0","27,800.0","27,300.0","3.21M","-0.54%"
"08/03/2021","28,300.0","27,400.0","28,450.0","27,350.0","8.86M","2.91%"
"08/04/2021","27,900.0","28,400.0","28,400.0","27,900.0","4.04M","-1.41%"
"08/05/2021","27,950.0","27,900.0","28,050.0","27,750.0","4.30M","0.18%"
"08/06/2021","27,950.0","28,000.0","28,450.0","27,750.0","6.70M","0.00%"
"08/09/2021","28,600.0","28,000.0","28,750.0","27,950.0","6.77M","2.33%"
"08/10/2021","28,350.0","28,700.0","29,000.0","28,250.0","4.43M","-0.87%"
"08/11/2021","28,000.0","28,400.0","28,500.0","28,000.0","5.81M","-1.23%"
"08/12/2021","28,000.0","27,950.0","28,400.0","27,900.0","5.30M","0.00%"
"08/13/2021","28,000.0","28,000.0","28,250.0","27,800.0","4.77M","0.00%"
"08/16/2021","28,500.0","28,100.0","28,900.0","28,100.0","5.97M","1.79%"
"08/17/2021","28,050.0","28,500.0","28,750.0","28,000.0","3.88M","-1.58%"
"08/18/2021","27,800.0","28,000.0","28,150.0","27,800.0","4.64M","-0.89%"
"08/19/2021","27,950.0","27,800.0","28,100.0","27,550.0","3.94M","0.54%"
"08/20/2021","27,050.0","27,900.0","27,900.0","26,700.0","6.75M","-3.22%"
"08/23/2021","26,050.0","26,700.0","26,850.0","26,050.0","5.28M","-3.70%"
"08/24/2021","26,150.0","25,950.0","26,350.0","25,900.0","4.24M","0.38%"
"08/25/2021","26,300.0","26,150.0","26,600.0","26,050.0","2.55M","0.57%"
