"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","21,153.0","21,493.0","21,493.0","21,153.0","23.70K","-0.91%"
"07/02/2021","21,153.0","21,153.0","21,347.0","21,153.0","67.50K","0.00%"
"07/05/2021","20,862.0","21,056.0","21,056.0","20,862.0","53.10K","-1.38%"
"07/06/2021","19,504.0","20,813.0","21,056.0","19,504.0","72.90K","-6.51%"
"07/07/2021","19,892.0","20,765.0","20,765.0","19,698.0","39.70K","1.99%"
"07/08/2021","20,183.0","19,698.0","20,377.0","19,698.0","19.40K","1.46%"
"07/09/2021","20,183.0","20,183.0","20,183.0","19,989.0","22.30K","0.00%"
"07/12/2021","19,067.0","20,183.0","20,183.0","19,067.0","172.70K","-5.53%"
"07/13/2021","20,328.0","19,261.0","20,328.0","19,261.0","125.30K","6.61%"
"07/14/2021","20,377.0","20,862.0","20,862.0","20,183.0","171.80K","0.24%"
"07/15/2021","20,377.0","20,668.0","20,668.0","20,183.0","42.50K","0.00%"
"07/16/2021","20,280.0","20,668.0","20,813.0","20,280.0","117.80K","-0.48%"
"07/19/2021","19,649.0","20,183.0","20,183.0","19,601.0","18.00K","-3.11%"
"07/20/2021","20,377.0","19,407.0","20,377.0","19,407.0","10.10K","3.71%"
"07/21/2021","19,795.0","19,552.0","20,377.0","19,552.0","110.70K","-2.86%"
"07/22/2021","19,892.0","19,989.0","19,989.0","19,843.0","33.90K","0.49%"
"07/23/2021","19,989.0","20,086.0","20,086.0","19,940.0","22.80K","0.49%"
"07/26/2021","20,280.0","20,086.0","20,280.0","19,989.0","13.70K","1.46%"
"07/27/2021","20,280.0","20,280.0","20,280.0","19,989.0","8.10K","0.00%"
"07/28/2021","20,134.0","19,940.0","20,765.0","19,940.0","6.50K","-0.72%"
"07/29/2021","20,183.0","20,134.0","20,377.0","20,134.0","19.90K","0.24%"
"07/30/2021","20,668.0","20,765.0","20,862.0","20,377.0","108.50K","2.40%"
"08/02/2021","21,056.0","21,250.0","21,250.0","20,668.0","26.30K","1.88%"
"08/03/2021","21,056.0","21,056.0","21,105.0","20,862.0","72.70K","0.00%"
