"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","16,368.0","16,368.0","16,368.0","16,368.0","0.20K","0.00%"
"07/02/2021","16,368.0","15,715.0","16,368.0","15,715.0","5.00K","0.00%"
"07/05/2021","16,325.0","16,325.0","16,325.0","16,325.0","0.20K","-0.26%"
"07/06/2021","16,281.0","16,107.0","16,281.0","16,107.0","2.50K","-0.27%"
"07/08/2021","15,672.0","15,933.0","15,933.0","15,149.0","17.60K","-3.74%"
"07/09/2021","15,062.0","15,672.0","15,672.0","15,062.0","0.50K","-3.89%"
"07/12/2021","14,888.0","15,062.0","15,062.0","14,888.0","5.60K","-1.16%"
"07/15/2021","14,888.0","14,801.0","14,888.0","14,801.0","0.40K","0.00%"
"07/20/2021","14,888.0","14,888.0","14,888.0","14,888.0","0.80K","0.00%"
"07/21/2021","15,889.0","15,889.0","15,889.0","15,889.0","0.30K","6.72%"
"07/22/2021","16,891.0","16,107.0","16,891.0","16,107.0","0.50K","6.31%"
"07/28/2021","16,455.0","16,455.0","16,455.0","16,455.0","1.00K","-2.58%"
"07/29/2021","16,194.0","16,194.0","16,194.0","16,194.0","2.30K","-1.59%"
"07/30/2021","16,194.0","16,194.0","16,194.0","16,194.0","1.20K","0.00%"
"08/04/2021","16,194.0","16,194.0","16,194.0","16,194.0","0.60K","0.00%"
"08/05/2021","16,891.0","15,149.0","16,891.0","15,149.0","0.50K","4.30%"
"08/06/2021","16,064.0","16,064.0","16,064.0","16,064.0","0.20K","-4.90%"
"08/09/2021","16,847.0","16,891.0","16,891.0","16,064.0","0.40K","4.87%"
"08/10/2021","18,022.0","16,804.0","18,022.0","16,542.0","29.60K","6.97%"
"08/11/2021","18,980.0","17,848.0","19,241.0","17,848.0","0.90K","5.32%"
"08/12/2021","18,980.0","18,980.0","18,980.0","18,980.0","1.00K","0.00%"
"08/13/2021","17,674.0","17,674.0","17,674.0","17,674.0","1.00K","-6.88%"
"08/16/2021","18,719.0","16,629.0","18,719.0","16,629.0","1.20K","5.91%"
"08/17/2021","18,284.0","17,413.0","18,284.0","17,413.0","1.20K","-2.32%"
"08/18/2021","18,284.0","18,240.0","18,284.0","18,240.0","2.50K","0.00%"
"08/23/2021","18,284.0","17,239.0","18,284.0","17,239.0","0.30K","0.00%"
"08/24/2021","18,284.0","17,152.0","18,284.0","17,152.0","0.50K","0.00%"
"08/25/2021","19,546.0","18,284.0","19,546.0","18,284.0","16.50K","6.90%"
"08/26/2021","20,025.0","19,546.0","20,896.0","18,458.0","6.60K","2.45%"
"08/27/2021","20,460.0","20,460.0","20,460.0","18,719.0","16.00K","2.17%"
"08/30/2021","21,766.0","20,460.0","21,853.0","20,460.0","8.40K","6.38%"
"08/31/2021","22,637.0","23,290.0","23,290.0","22,637.0","0.60K","4.00%"
"09/06/2021","21,070.0","21,070.0","21,070.0","21,070.0","5.40K","-6.92%"
"09/07/2021","19,633.0","19,633.0","21,592.0","19,633.0","7.40K","-6.82%"
"09/08/2021","20,025.0","20,809.0","20,809.0","18,414.0","3.60K","2.00%"
"09/10/2021","18,980.0","18,632.0","18,980.0","18,632.0","1.80K","-5.22%"
"09/13/2021","18,763.0","18,371.0","18,937.0","17,674.0","4.50K","-1.14%"
"09/15/2021","17,544.0","18,763.0","18,763.0","17,544.0","0.30K","-6.50%"
"09/16/2021","18,763.0","18,763.0","18,763.0","18,719.0","4.80K","6.95%"
"09/17/2021","19,154.0","19,981.0","19,981.0","18,763.0","1.10K","2.08%"
"09/20/2021","17,979.0","19,154.0","19,154.0","17,979.0","4.20K","-6.13%"
"09/22/2021","19,154.0","19,111.0","19,154.0","19,111.0","3.70K","6.54%"
"09/24/2021","19,154.0","19,154.0","19,154.0","19,154.0","0.50K","0.00%"
"09/30/2021","17,892.0","18,284.0","18,284.0","17,892.0","0.40K","-6.59%"
"10/04/2021","16,978.0","16,978.0","16,978.0","16,978.0","0.10K","-5.11%"
"10/05/2021","16,978.0","16,978.0","17,065.0","16,978.0","1.70K","0.00%"
"10/07/2021","16,978.0","16,978.0","16,978.0","16,978.0","0.60K","0.00%"
"10/11/2021","17,239.0","17,239.0","17,239.0","17,239.0","0.60K","1.54%"
"10/12/2021","18,414.0","18,197.0","18,414.0","18,197.0","2.60K","6.82%"
"10/13/2021","17,805.0","19,503.0","19,503.0","17,805.0","5.50K","-3.31%"
"10/14/2021","17,805.0","18,719.0","18,980.0","17,805.0","5.50K","0.00%"
"10/15/2021","17,805.0","17,805.0","17,848.0","17,805.0","6.30K","0.00%"
"10/19/2021","18,719.0","17,892.0","18,980.0","17,892.0","1.60K","5.13%"
"10/20/2021","18,458.0","18,458.0","18,458.0","18,458.0","0.20K","-1.39%"
"10/21/2021","18,806.0","18,806.0","18,806.0","18,806.0","0.20K","1.89%"
"10/25/2021","18,763.0","18,284.0","18,763.0","18,284.0","2.10K","-0.23%"
"10/26/2021","19,503.0","18,763.0","19,677.0","18,763.0","36.50K","3.94%"
"10/27/2021","19,503.0","19,590.0","19,677.0","19,503.0","9.10K","0.00%"
"10/28/2021","19,503.0","19,503.0","19,503.0","19,503.0","0.20K","0.00%"
"10/29/2021","19,677.0","19,503.0","19,677.0","19,328.0","2.10K","0.89%"
"11/02/2021","20,025.0","20,199.0","20,199.0","20,025.0","1.40K","1.77%"
"11/03/2021","20,025.0","20,025.0","20,025.0","20,025.0","0.50K","0.00%"
"11/04/2021","20,025.0","20,025.0","20,025.0","20,025.0","0.10K","0.00%"
"11/05/2021","20,460.0","20,460.0","20,460.0","20,025.0","16.50K","2.17%"
"11/08/2021","20,025.0","20,460.0","20,460.0","20,025.0","1.00K","-2.13%"
"11/09/2021","20,460.0","21,331.0","21,418.0","20,460.0","7.70K","2.17%"
"11/10/2021","20,460.0","20,460.0","20,460.0","19,067.0","2.40K","0.00%"
"11/11/2021","20,896.0","20,373.0","20,896.0","20,373.0","0.30K","2.13%"
"11/12/2021","20,896.0","20,896.0","20,896.0","20,896.0","0.10K","0.00%"
"11/15/2021","20,460.0","19,546.0","20,460.0","19,503.0","1.70K","-2.09%"
"11/16/2021","19,938.0","19,938.0","19,938.0","19,938.0","1.00K","-2.55%"
"11/17/2021","19,154.0","19,938.0","19,981.0","19,154.0","3.60K","-3.93%"
"11/18/2021","20,460.0","20,330.0","20,460.0","20,330.0","36.70K","6.82%"
"11/19/2021","21,853.0","21,853.0","21,853.0","21,331.0","15.80K","6.81%"
"11/22/2021","22,637.0","22,637.0","22,637.0","22,550.0","6.50K","3.59%"
"11/23/2021","22,332.0","23,421.0","23,421.0","22,202.0","2.20K","-1.35%"
"11/24/2021","20,983.0","23,682.0","23,682.0","20,983.0","2.60K","-6.04%"
"11/25/2021","22,419.0","21,766.0","22,419.0","21,766.0","7.80K","6.84%"
"11/26/2021","23,508.0","23,682.0","23,682.0","23,508.0","0.80K","4.86%"
"11/29/2021","23,159.0","23,421.0","23,421.0","23,072.0","11.80K","-1.48%"
"11/30/2021","22,811.0","22,898.0","22,898.0","22,811.0","2.70K","-1.50%"
"12/01/2021","22,637.0","22,811.0","22,811.0","22,637.0","0.90K","-0.76%"
"12/02/2021","22,637.0","22,637.0","22,637.0","22,637.0","3.30K","0.00%"
"12/03/2021","21,766.0","22,637.0","22,637.0","21,766.0","1.50K","-3.85%"
"12/06/2021","21,766.0","21,766.0","21,766.0","21,766.0","0.60K","0.00%"
"12/07/2021","22,550.0","22,637.0","22,637.0","22,550.0","0.50K","3.60%"
"12/08/2021","22,637.0","21,766.0","22,637.0","21,766.0","3.60K","0.39%"
"12/09/2021","22,811.0","22,550.0","22,811.0","22,550.0","2.90K","0.77%"
"12/10/2021","22,811.0","23,333.0","23,333.0","22,811.0","1.20K","0.00%"
"12/13/2021","22,724.0","22,811.0","23,508.0","22,637.0","3.20K","-0.38%"
"12/15/2021","22,172.0","22,172.0","22,172.0","22,172.0","0.70K","-2.43%"
"12/16/2021","22,172.0","21,160.0","22,172.0","20,976.0","3.40K","0.00%"
"12/17/2021","20,746.0","22,172.0","22,172.0","20,746.0","4.70K","-6.43%"
"12/20/2021","22,172.0","21,896.0","22,172.0","21,896.0","0.20K","6.87%"
"12/22/2021","21,896.0","21,896.0","21,896.0","21,896.0","0.40K","-1.24%"
"12/23/2021","21,712.0","21,712.0","21,804.0","21,712.0","1.40K","-0.84%"
"12/24/2021","21,528.0","21,528.0","21,528.0","21,528.0","0.20K","-0.85%"
"12/27/2021","21,528.0","21,528.0","21,528.0","21,528.0","1.80K","0.00%"
"12/28/2021","21,160.0","21,620.0","21,620.0","21,160.0","0.20K","-1.71%"
"12/29/2021","21,160.0","21,160.0","21,252.0","21,160.0","2.30K","0.00%"
"12/30/2021","21,160.0","21,160.0","21,160.0","21,160.0","0.60K","0.00%"
