"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","11,036.8","11,082.1","11,127.3","10,855.9","0.90K","-0.41%"
"07/02/2021","10,855.9","10,855.9","10,855.9","10,855.9","0.30K","-1.64%"
"07/05/2021","10,855.9","10,855.9","10,855.9","10,855.9","2.20K","0.00%"
"07/06/2021","10,855.9","10,901.1","10,901.1","10,855.9","0.50K","0.00%"
"07/07/2021","10,403.6","10,855.9","10,855.9","10,177.4","1.40K","-4.17%"
"07/08/2021","10,448.8","10,448.8","10,448.8","10,448.8","0.50K","0.43%"
"07/12/2021","9,770.3","10,041.7","10,855.9","9,725.1","5.40K","-6.49%"
"07/13/2021","9,815.6","9,951.3","10,041.7","9,815.6","0.70K","0.46%"
"07/14/2021","10,132.2","9,951.3","10,132.2","9,951.3","0.30K","3.23%"
"07/15/2021","10,177.4","10,177.4","10,177.4","10,177.4","0.10K","0.45%"
"07/16/2021","9,815.6","10,222.6","10,222.6","9,815.6","0.20K","-3.55%"
"07/19/2021","9,498.9","9,770.3","9,951.3","9,498.9","0.90K","-3.23%"
"07/20/2021","9,363.2","9,906.0","10,041.7","9,363.2","0.70K","-1.43%"
"07/21/2021","9,589.4","9,363.2","9,951.3","9,363.2","0.50K","2.42%"
"07/22/2021","10,132.2","10,222.6","10,222.6","10,132.2","0.50K","5.66%"
"07/23/2021","10,132.2","10,177.4","10,177.4","10,132.2","0.30K","0.00%"
"07/26/2021","10,132.2","9,951.3","10,132.2","9,951.3","0.50K","0.00%"
"07/27/2021","10,313.1","10,222.6","10,313.1","10,222.6","0.80K","1.79%"
"07/28/2021","10,222.6","10,041.7","10,222.6","10,041.7","0.20K","-0.88%"
"07/29/2021","10,222.6","10,267.9","10,267.9","10,222.6","3.50K","0.00%"
"07/30/2021","10,313.1","10,177.4","10,313.1","10,132.2","2.10K","0.89%"
"08/02/2021","10,313.1","10,313.1","10,313.1","10,177.4","2.60K","0.00%"
"08/03/2021","10,358.3","10,313.1","10,403.6","10,313.1","7.10K","0.44%"
"08/04/2021","10,313.1","10,358.3","10,358.3","10,313.1","1.40K","-0.44%"
"08/05/2021","10,403.6","10,313.1","10,403.6","10,313.1","0.20K","0.88%"
"08/06/2021","10,267.9","10,494.0","10,494.0","10,267.9","1.80K","-1.30%"
"08/09/2021","10,494.0","10,267.9","10,494.0","10,267.9","0.90K","2.20%"
"08/10/2021","10,584.5","10,584.5","10,675.0","10,222.6","5.20K","0.86%"
"08/11/2021","10,675.0","10,675.0","10,855.9","10,675.0","2.10K","0.86%"
"08/12/2021","10,675.0","10,765.4","10,765.4","10,675.0","0.60K","0.00%"
"08/13/2021","10,765.4","10,765.4","11,036.8","10,675.0","6.90K","0.85%"
"08/16/2021","10,946.4","10,946.4","11,036.8","10,765.4","1.90K","1.68%"
"08/17/2021","11,082.1","10,946.4","11,082.1","10,946.4","6.30K","1.24%"
"08/18/2021","11,127.3","11,534.4","11,534.4","11,082.1","7.90K","0.41%"
"08/19/2021","11,217.8","11,217.8","11,489.2","11,217.8","6.30K","0.81%"
"08/20/2021","11,127.3","11,217.8","11,308.2","11,127.3","6.60K","-0.81%"
"08/23/2021","11,172.5","11,217.8","11,217.8","11,127.3","11.50K","0.41%"
"08/24/2021","11,127.3","11,308.2","11,308.2","11,127.3","9.80K","-0.40%"
"08/25/2021","11,308.2","11,217.8","11,308.2","10,991.6","5.50K","1.63%"
"08/26/2021","11,092.3","11,337.7","11,484.9","11,092.3","4.60K","-1.91%"
"08/27/2021","11,190.4","11,141.4","11,190.4","10,896.0","2.90K","0.88%"
"08/30/2021","11,190.4","11,288.6","11,288.6","10,896.0","19.40K","0.00%"
"08/31/2021","11,092.3","11,141.4","11,190.4","11,092.3","21.50K","-0.88%"
"09/01/2021","11,190.4","11,141.4","11,190.4","11,092.3","13.60K","0.88%"
"09/06/2021","11,730.3","11,583.1","11,926.7","11,534.0","74.70K","4.82%"
"09/07/2021","12,123.0","11,975.7","12,221.1","11,975.7","35.00K","3.35%"
"09/08/2021","12,073.9","12,073.9","12,073.9","12,024.8","5.70K","-0.41%"
"09/09/2021","12,073.9","12,073.9","12,123.0","11,975.7","12.10K","0.00%"
"09/10/2021","12,073.9","12,270.2","12,270.2","12,073.9","5.80K","0.00%"
"09/13/2021","12,123.0","12,123.0","12,123.0","12,073.9","17.10K","0.41%"
"09/14/2021","12,073.9","12,073.9","12,123.0","12,073.9","14.70K","-0.41%"
"09/15/2021","12,172.1","12,073.9","12,172.1","12,073.9","5.10K","0.81%"
"09/16/2021","12,073.9","12,172.1","12,221.1","12,073.9","8.60K","-0.81%"
"09/17/2021","12,123.0","12,221.1","12,221.1","12,073.9","3.80K","0.41%"
"09/20/2021","12,172.1","12,172.1","12,172.1","12,123.0","5.80K","0.41%"
"09/21/2021","12,073.9","12,123.0","12,172.1","12,024.8","5.70K","-0.81%"
"09/22/2021","11,779.4","12,073.9","12,073.9","11,779.4","4.50K","-2.44%"
"09/23/2021","12,123.0","11,877.6","12,123.0","11,877.6","1.90K","2.92%"
"09/24/2021","12,073.9","12,073.9","12,073.9","12,073.9","0.50K","-0.41%"
"09/27/2021","11,779.4","12,368.4","12,368.4","11,779.4","1.20K","-2.44%"
"09/28/2021","12,024.8","11,975.7","12,024.8","11,632.2","2.80K","2.08%"
"09/29/2021","11,779.4","11,779.4","12,073.9","11,779.4","2.10K","-2.04%"
"09/30/2021","11,779.4","11,779.4","11,779.4","11,779.4","1.00K","0.00%"
"10/01/2021","11,926.7","11,779.4","11,926.7","11,730.3","1.60K","1.25%"
