"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","6,829.6","6,877.1","6,877.1","6,810.7","13.60K","0.14%"
"07/02/2021","6,829.6","6,877.1","6,877.1","6,791.7","16.60K","0.00%"
"07/05/2021","6,820.1","6,829.6","6,829.6","6,658.9","27.30K","-0.14%"
"07/06/2021","6,734.8","6,820.1","6,820.1","6,734.8","14.40K","-1.25%"
"07/07/2021","6,639.9","6,734.8","6,734.8","6,545.1","7.10K","-1.41%"
"07/08/2021","6,829.6","6,829.6","6,829.6","6,649.4","9.60K","2.86%"
"07/09/2021","6,734.8","6,820.1","6,820.1","6,639.9","4.70K","-1.39%"
"07/12/2021","6,270.0","6,639.9","6,639.9","6,270.0","16.30K","-6.90%"
"07/13/2021","6,317.4","6,270.0","6,317.4","6,270.0","39.80K","0.76%"
"07/14/2021","6,706.3","6,317.4","6,725.3","6,317.4","7.70K","6.16%"
"07/15/2021","6,696.8","6,915.0","6,915.0","6,696.8","2.00K","-0.14%"
"07/16/2021","6,687.3","6,706.3","6,706.3","6,497.6","6.20K","-0.14%"
"07/19/2021","6,232.0","6,687.3","6,687.3","6,232.0","7.20K","-6.81%"
"07/20/2021","6,260.5","6,222.6","6,355.4","6,194.1","6.00K","0.46%"
"07/21/2021","6,450.2","6,545.1","6,545.1","6,450.2","3.70K","3.03%"
"07/22/2021","6,374.3","6,535.6","6,535.6","6,374.3","5.20K","-1.18%"
"07/23/2021","6,364.8","6,383.8","6,383.8","6,364.8","9.10K","-0.15%"
"07/26/2021","6,402.8","6,364.8","6,402.8","6,317.4","3.50K","0.60%"
"07/27/2021","6,459.7","6,450.2","6,459.7","6,450.2","14.40K","0.89%"
"07/28/2021","6,488.2","6,260.5","6,507.1","6,260.5","2.80K","0.44%"
"07/29/2021","6,488.2","6,611.5","6,620.9","6,364.8","2.60K","0.00%"
"07/30/2021","6,260.5","6,488.2","6,488.2","6,213.1","26.30K","-3.51%"
"08/02/2021","6,355.4","6,260.5","6,545.1","6,251.0","14.60K","1.52%"
"08/03/2021","6,459.7","6,497.6","6,497.6","6,402.8","4.20K","1.64%"
"08/04/2021","6,402.8","6,469.2","6,469.2","6,213.1","15.60K","-0.88%"
"08/05/2021","6,402.8","6,402.8","6,412.3","6,260.5","13.90K","0.00%"
"08/06/2021","6,497.6","6,431.2","6,526.1","6,317.4","13.00K","1.48%"
"08/09/2021","6,507.1","6,526.1","6,535.6","6,355.4","7.00K","0.15%"
"08/10/2021","6,526.1","6,507.1","6,535.6","6,507.1","17.60K","0.29%"
"08/11/2021","6,526.1","6,545.1","6,545.1","6,526.1","14.60K","0.00%"
"08/12/2021","6,820.1","6,592.5","6,829.6","6,592.5","24.20K","4.51%"
"08/13/2021","6,829.6","6,915.0","6,943.5","6,829.6","9.70K","0.14%"
"08/16/2021","6,924.5","6,924.5","6,924.5","6,915.0","7.20K","1.39%"
"08/17/2021","7,000.4","6,924.5","7,019.3","6,639.9","8.40K","1.10%"
"08/18/2021","6,924.5","7,085.7","7,085.7","6,829.6","18.90K","-1.08%"
"08/19/2021","6,725.3","6,924.5","6,971.9","6,725.3","19.00K","-2.88%"
"08/20/2021","6,355.4","6,497.6","6,725.3","6,355.4","134.00K","-5.50%"
"08/23/2021","6,345.9","6,545.1","6,545.1","6,345.9","33.50K","-0.15%"
"08/24/2021","6,696.8","6,355.4","6,734.8","6,355.4","19.30K","5.53%"
"08/25/2021","6,687.3","6,772.7","6,772.7","6,687.3","1.10K","-0.14%"
"08/26/2021","6,412.3","6,706.3","6,706.3","6,412.3","21.80K","-4.11%"
"08/27/2021","6,469.2","6,450.2","6,507.1","6,364.8","10.40K","0.89%"
"08/30/2021","6,734.8","6,469.2","6,734.8","6,450.2","29.70K","4.11%"
"08/31/2021","6,734.8","6,649.4","6,734.8","6,639.9","22.30K","0.00%"
"09/01/2021","7,000.4","6,734.8","7,019.3","6,639.9","73.70K","3.94%"
"09/06/2021","7,379.8","7,000.4","7,398.8","7,000.4","95.70K","5.42%"
"09/07/2021","7,019.3","7,303.9","7,370.3","6,886.5","30.40K","-4.88%"
"09/08/2021","6,924.5","7,019.3","7,019.3","6,545.1","3.30K","-1.35%"
"09/09/2021","6,744.3","6,934.0","7,104.7","6,639.9","13.40K","-2.60%"
"09/10/2021","7,000.4","6,924.5","7,104.7","6,658.9","9.80K","3.80%"
"09/13/2021","7,009.9","6,782.2","7,019.3","6,782.2","33.30K","0.14%"
"09/14/2021","7,493.6","7,009.9","7,493.6","7,000.4","365.80K","6.90%"
"09/15/2021","8,015.3","8,015.3","8,015.3","8,015.3","69.30K","6.96%"
"09/16/2021","8,575.0","8,575.0","8,575.0","8,575.0","66.80K","6.98%"
"09/17/2021","8,916.5","9,172.6","9,172.6","8,347.3","405.90K","3.98%"
"09/20/2021","8,537.0","8,907.0","8,907.0","8,537.0","82.40K","-4.26%"
"09/21/2021","8,537.0","7,967.9","8,726.8","7,939.4","87.50K","0.00%"
"09/22/2021","8,916.5","8,641.4","9,134.6","7,967.9","144.80K","4.44%"
"09/23/2021","8,508.6","9,295.9","9,295.9","8,508.6","87.50K","-4.57%"
"09/24/2021","8,432.7","8,499.1","8,499.1","7,967.9","48.90K","-0.89%"
"09/27/2021","7,844.6","7,911.0","8,148.1","7,844.6","83.50K","-6.97%"
"09/28/2021","7,778.2","7,493.6","7,778.2","7,398.8","38.90K","-0.85%"
"09/29/2021","7,768.7","7,778.2","7,778.2","7,635.9","35.00K","-0.12%"
"09/30/2021","8,062.8","7,768.7","8,157.6","7,768.7","18.90K","3.79%"
"10/01/2021","7,892.0","8,062.8","8,062.8","7,882.5","3.50K","-2.12%"
"10/04/2021","7,873.0","7,967.9","8,110.2","7,778.2","48.90K","-0.24%"
"10/05/2021","7,863.6","7,787.7","7,873.0","7,778.2","18.60K","-0.12%"
"10/06/2021","7,835.1","7,588.5","7,967.9","7,588.5","63.20K","-0.36%"
"10/07/2021","7,778.2","7,873.0","7,873.0","7,616.9","21.20K","-0.73%"
"10/08/2021","7,844.6","7,778.2","7,863.6","7,730.8","29.50K","0.85%"
"10/11/2021","7,948.9","7,854.1","7,986.9","7,854.1","43.00K","1.33%"
"10/12/2021","7,920.5","7,948.9","7,967.9","7,873.0","29.80K","-0.36%"
"10/13/2021","7,958.4","7,920.5","7,977.4","7,882.5","15.00K","0.48%"
"10/14/2021","7,958.4","7,958.4","8,015.3","7,920.5","17.20K","0.00%"
"10/15/2021","8,015.3","8,062.8","8,062.8","7,948.9","25.10K","0.72%"
"10/18/2021","8,366.3","8,015.3","8,423.2","8,015.3","55.50K","4.38%"
"10/19/2021","8,461.2","8,385.3","8,537.0","8,385.3","66.00K","1.13%"
"10/20/2021","8,432.7","8,461.2","8,470.6","8,356.8","18.30K","-0.34%"
"10/21/2021","8,423.2","8,537.0","8,537.0","8,280.9","32.30K","-0.11%"
"10/22/2021","8,318.9","8,347.3","8,347.3","8,062.8","18.20K","-1.24%"
"10/25/2021","8,347.3","8,631.9","8,631.9","8,252.5","33.60K","0.34%"
"10/26/2021","8,347.3","8,157.6","8,347.3","8,157.6","23.20K","0.00%"
"10/27/2021","8,299.9","8,347.3","8,442.2","8,157.6","61.40K","-0.57%"
"10/28/2021","8,584.5","8,442.2","8,726.8","8,356.8","54.00K","3.43%"
"10/29/2021","8,603.4","8,584.5","8,698.3","8,451.7","84.50K","0.22%"
"11/01/2021","8,916.5","8,812.1","9,011.3","8,812.1","76.10K","3.64%"
"11/02/2021","8,954.4","8,916.5","9,011.3","8,736.2","40.10K","0.43%"
"11/03/2021","8,726.8","8,831.1","8,963.9","8,641.4","70.80K","-2.54%"
"11/04/2021","8,726.8","8,394.8","8,774.2","8,394.8","17.60K","0.00%"
"11/05/2021","8,726.8","8,546.5","8,726.8","8,537.0","76.50K","0.00%"
"11/08/2021","8,888.0","8,726.8","8,916.5","8,717.3","46.10K","1.85%"
"11/09/2021","8,812.1","8,963.9","8,963.9","8,537.0","20.20K","-0.85%"
"11/10/2021","9,428.7","8,812.1","9,428.7","8,726.8","85.70K","7.00%"
"11/11/2021","10,054.7","10,054.7","10,054.7","9,770.2","220.00K","6.64%"
"11/12/2021","10,718.7","10,149.6","10,718.7","10,149.6","137.50K","6.60%"
"11/15/2021","11,003.3","11,430.1","11,430.1","10,718.7","214.60K","2.65%"
"11/16/2021","10,291.9","11,003.3","11,003.3","10,244.4","130.40K","-6.47%"
"11/17/2021","10,434.2","10,529.0","10,623.9","9,959.9","88.10K","1.38%"
"11/18/2021","10,529.0","9,865.0","10,718.7","9,865.0","124.60K","0.91%"
"11/19/2021","10,813.6","10,623.9","11,003.3","10,434.2","117.60K","2.70%"
"11/22/2021","10,102.2","11,003.3","11,193.0","10,102.2","62.80K","-6.58%"
"11/23/2021","10,054.7","9,466.6","10,054.7","9,447.7","79.30K","-0.47%"
"11/24/2021","9,959.9","10,149.6","10,386.7","9,675.3","30.20K","-0.94%"
"11/25/2021","9,912.5","10,244.4","10,244.4","9,912.5","38.20K","-0.48%"
"11/26/2021","9,220.0","9,959.9","9,959.9","9,220.0","158.20K","-6.99%"
"11/29/2021","9,860.0","9,810.0","9,860.0","9,750.0","26.60K","6.94%"
"11/30/2021","10,550.0","10,300.0","10,550.0","10,300.0","71.70K","7.00%"
"12/01/2021","10,400.0","10,700.0","10,800.0","10,000.0","47.00K","-1.42%"
"12/02/2021","10,450.0","10,600.0","10,600.0","10,000.0","36.40K","0.48%"
