"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","20,600.0","20,400.0","20,600.0","20,300.0","70.90K","0.73%"
"07/02/2021","20,400.0","20,900.0","20,900.0","20,400.0","22.30K","-0.97%"
"07/05/2021","20,150.0","20,500.0","20,750.0","19,800.0","119.00K","-1.23%"
"07/06/2021","19,400.0","20,000.0","20,000.0","19,400.0","92.60K","-3.72%"
"07/07/2021","18,600.0","19,400.0","19,500.0","18,200.0","121.10K","-4.12%"
"07/08/2021","18,500.0","18,500.0","19,200.0","18,000.0","72.30K","-0.54%"
"07/09/2021","17,900.0","18,350.0","18,350.0","17,500.0","89.50K","-3.24%"
"07/12/2021","16,650.0","17,500.0","17,500.0","16,650.0","146.30K","-6.98%"
"07/13/2021","16,300.0","16,000.0","16,800.0","15,850.0","110.90K","-2.10%"
"07/14/2021","16,050.0","16,000.0","16,500.0","15,800.0","39.40K","-1.53%"
"07/15/2021","16,200.0","16,100.0","16,350.0","15,600.0","23.90K","0.93%"
"07/16/2021","16,300.0","16,250.0","16,500.0","16,100.0","60.00K","0.62%"
"07/19/2021","15,800.0","15,800.0","16,000.0","15,600.0","77.00K","-3.07%"
"07/20/2021","15,900.0","15,600.0","15,950.0","15,000.0","44.30K","0.63%"
"07/21/2021","16,350.0","15,900.0","16,600.0","15,900.0","24.20K","2.83%"
"07/22/2021","16,350.0","16,350.0","16,600.0","16,000.0","80.90K","0.00%"
"07/23/2021","16,100.0","16,350.0","16,350.0","15,950.0","35.50K","-1.53%"
"07/26/2021","16,200.0","16,100.0","16,200.0","15,650.0","56.60K","0.62%"
"07/27/2021","15,800.0","16,200.0","16,300.0","15,700.0","198.80K","-2.47%"
"07/28/2021","15,050.0","15,800.0","15,800.0","15,000.0","399.70K","-4.75%"
"07/29/2021","15,400.0","15,100.0","15,800.0","15,050.0","252.10K","2.33%"
"07/30/2021","15,400.0","15,500.0","15,500.0","15,100.0","57.00K","0.00%"
"08/02/2021","15,200.0","15,100.0","15,350.0","15,000.0","159.70K","-1.30%"
"08/03/2021","15,150.0","15,100.0","15,200.0","14,900.0","115.00K","-0.33%"
"08/04/2021","15,200.0","15,150.0","15,300.0","15,100.0","81.30K","0.33%"
"08/05/2021","16,250.0","15,250.0","16,250.0","15,150.0","1.43M","6.91%"
"08/06/2021","17,350.0","17,350.0","17,350.0","17,350.0","427.20K","6.77%"
"08/09/2021","18,550.0","18,550.0","18,550.0","18,050.0","748.20K","6.92%"
"08/10/2021","18,700.0","18,700.0","19,700.0","17,900.0","819.90K","0.81%"
"08/11/2021","17,400.0","18,700.0","18,700.0","17,400.0","632.30K","-6.95%"
"08/12/2021","16,800.0","16,800.0","17,200.0","16,500.0","457.70K","-3.45%"
"08/13/2021","16,450.0","16,700.0","16,700.0","16,000.0","357.10K","-2.08%"
"08/16/2021","16,700.0","16,550.0","17,000.0","16,400.0","241.20K","1.52%"
"08/17/2021","15,950.0","16,050.0","16,300.0","15,850.0","520.10K","-4.49%"
"08/18/2021","15,800.0","15,950.0","16,000.0","15,600.0","232.70K","-0.94%"
"08/19/2021","15,500.0","15,700.0","15,750.0","15,500.0","335.10K","-1.90%"
"08/20/2021","14,900.0","15,500.0","15,600.0","14,800.0","691.90K","-3.87%"
"08/23/2021","15,900.0","14,950.0","15,900.0","14,900.0","197.60K","6.71%"
"08/24/2021","15,900.0","16,800.0","16,800.0","15,600.0","334.00K","0.00%"
"08/25/2021","15,250.0","15,550.0","15,550.0","15,150.0","216.80K","-4.09%"
"08/26/2021","15,200.0","15,450.0","15,450.0","15,150.0","168.10K","-0.33%"
"08/27/2021","15,100.0","15,200.0","15,200.0","14,800.0","153.30K","-0.66%"
"08/30/2021","15,300.0","15,000.0","15,450.0","15,000.0","163.40K","1.32%"
"08/31/2021","15,650.0","15,300.0","16,100.0","15,200.0","281.50K","2.29%"
"09/01/2021","15,600.0","15,550.0","15,850.0","15,500.0","96.00K","-0.32%"
"09/06/2021","15,750.0","15,650.0","16,100.0","15,600.0","168.80K","0.96%"
"09/07/2021","15,200.0","15,900.0","15,900.0","15,100.0","188.50K","-3.49%"
"09/08/2021","15,350.0","15,350.0","15,800.0","15,250.0","148.80K","0.99%"
"09/09/2021","15,300.0","15,400.0","15,500.0","15,200.0","91.20K","-0.33%"
