Date,Price,Open,High,Low,Vol.,Change %
7/1/21,18367.00,18067.00,18467.00,18000.00,1310000.00,1.66%
7/2/21,18333.00,18367.00,18500.00,18267.00,1590000.00,-0.19%
7/5/21,19600.00,18533.00,19600.00,18533.00,6290000.00,6.91%
7/6/21,18233.00,20133.00,20333.00,18233.00,3760000.00,-6.97%
7/7/21,19500.00,18667.00,19500.00,18067.00,2810000.00,6.95%
7/8/21,19267.00,19933.00,19933.00,19200.00,3810000.00,-1.19%
7/9/21,19400.00,19000.00,20167.00,19000.00,5360000.00,0.69%
7/12/21,20100.00,19600.00,20500.00,19200.00,6780000.00,3.61%
7/13/21,20633.00,20667.00,20867.00,20200.00,3200000.00,2.65%
7/14/21,19667.00,20333.00,20667.00,19267.00,4000000.00,-4.68%
7/15/21,19667.00,19333.00,20133.00,19333.00,2760000.00,0.00%
7/16/21,20267.00,19733.00,20500.00,19533.00,4700000.00,3.05%
7/19/21,20467.00,19733.00,21000.00,19733.00,6880000.00,0.99%
7/20/21,20233.00,20867.00,20867.00,20200.00,3120000.00,-1.14%
7/21/21,21433.00,20267.00,21633.00,20133.00,6420000.00,5.93%
7/22/21,22333.00,21600.00,22633.00,21467.00,5710000.00,4.20%
7/23/21,22533.00,22200.00,23233.00,21667.00,5670000.00,0.90%
7/26/21,24100.00,22733.00,24100.00,22533.00,8200000.00,6.95%
7/27/21,24100.00,24533.00,24800.00,23733.00,7620000.00,0.00%
7/28/21,23333.00,23767.00,24000.00,23200.00,6350000.00,-3.18%
7/29/21,24967.00,23467.00,24967.00,23233.00,6690000.00,7.00%
7/30/21,24967.00,25267.00,25667.00,24967.00,5180000.00,0.00%
8/2/21,25200.00,24667.00,25800.00,24367.00,5260000.00,0.93%
8/3/21,25267.00,25100.00,25600.00,24833.00,4950000.00,0.27%
8/4/21,25100.00,25300.00,25533.00,24933.00,4560000.00,-0.66%
8/5/21,24900.00,24967.00,25100.00,24667.00,4260000.00,-0.80%
8/6/21,25933.00,24900.00,26600.00,24900.00,6910000.00,4.15%
8/9/21,26200.00,25933.00,26467.00,25700.00,3550000.00,1.03%
8/10/21,27200.00,26267.00,27467.00,25933.00,5370000.00,3.82%
8/11/21,27667.00,27333.00,28400.00,27000.00,5090000.00,1.72%
8/12/21,27200.00,27600.00,28333.00,26667.00,5290000.00,-1.69%
8/13/21,28000.00,26800.00,28000.00,26333.00,6930000.00,2.94%
8/16/21,28000.00,28000.00,28600.00,27333.00,3200000.00,0.00%
8/17/21,28933.00,28000.00,29200.00,27467.00,4780000.00,3.33%
8/18/21,28667.00,28400.00,29167.00,28333.00,2840000.00,-0.92%
8/19/21,28400.00,28333.00,28667.00,28200.00,2450000.00,-0.93%
8/20/21,26633.00,28200.00,28600.00,26533.00,6840000.00,-6.22%
8/23/21,25200.00,26333.00,26600.00,25200.00,5280000.00,-5.38%
8/24/21,26267.00,25200.00,26333.00,25000.00,3580000.00,4.23%
8/25/21,26000.00,26333.00,26333.00,25467.00,1750000.00,-1.02%
8/26/21,26333.00,25800.00,26967.00,25800.00,2780000.00,1.28%
8/27/21,27267.00,25933.00,27267.00,25733.00,3050000.00,3.55%
8/30/21,27600.00,27867.00,27867.00,27400.00,2960000.00,1.22%
8/31/21,27467.00,27600.00,27967.00,27000.00,3840000.00,-0.48%
9/1/21,28200.00,27333.00,28333.00,27067.00,4620000.00,2.67%
9/6/21,28567.00,28933.00,29000.00,28467.00,2360000.00,1.30%
9/7/21,27333.00,28567.00,28667.00,27333.00,3920000.00,-4.32%
9/8/21,26600.00,27267.00,27467.00,26333.00,3700000.00,-2.68%
9/9/21,27300.00,26400.00,27333.00,26400.00,2120000.00,2.63%
9/10/21,27233.00,27467.00,27600.00,27000.00,1820000.00,-0.25%
9/13/21,29133.00,27333.00,29133.00,27267.00,8770000.00,6.98%
9/14/21,30400.00,30000.00,31000.00,29667.00,5090000.00,4.35%
9/15/21,30467.00,30400.00,31200.00,29667.00,2640000.00,0.22%
9/16/21,30533.00,30500.00,31333.00,30000.00,4130000.00,0.22%
9/17/21,31333.00,30567.00,31600.00,30567.00,3480000.00,2.62%
9/20/21,30000.00,31533.00,31933.00,29933.00,3840000.00,-4.25%
9/21/21,30967.00,29333.00,30967.00,29333.00,4020000.00,3.22%
9/22/21,30600.00,30967.00,31233.00,30133.00,2280000.00,-1.19%
9/23/21,30367.00,30600.00,31000.00,30167.00,2280000.00,-0.76%
9/24/21,29333.00,30433.00,30667.00,29333.00,2790000.00,-3.41%
9/27/21,29333.00,29333.00,30533.00,29333.00,2790000.00,0.00%
9/28/21,30000.00,29667.00,30200.00,29300.00,1560000.00,2.27%
9/29/21,30267.00,29867.00,30533.00,29467.00,1380000.00,0.89%
9/30/21,31700.00,30600.00,31933.00,30533.00,5600000.00,4.73%
10/1/21,31700.00,31867.00,32667.00,31600.00,2600000.00,0.00%
10/4/21,31333.00,31467.00,32200.00,31067.00,1910000.00,-1.16%
10/5/21,31300.00,31200.00,32000.00,31167.00,2300000.00,-0.11%
10/6/21,31700.00,31600.00,32267.00,31000.00,2370000.00,1.28%
10/7/21,32333.00,31967.00,32400.00,31933.00,2240000.00,2.00%
10/8/21,32000.00,32400.00,32400.00,31733.00,2090000.00,-1.03%
10/11/21,31533.00,31967.00,31967.00,31267.00,3200000.00,-1.46%
