Date,Price,Open,High,Low,Vol.,Change %
7/1/21,22695.80,21493.90,22801.90,21493.90,2750000.00,5.25%
7/2/21,23685.70,22978.60,23685.70,22766.50,2400000.00,4.36%
7/5/21,24923.00,23685.70,25311.80,22625.10,2950000.00,5.22%
7/6/21,23685.70,24675.50,25983.50,23685.70,3830000.00,-4.96%
7/7/21,24145.20,23685.70,24251.30,22978.60,2520000.00,1.94%
7/8/21,24463.40,24145.20,25276.50,24039.20,1650000.00,1.32%
7/9/21,25382.50,24534.10,25877.50,24180.60,2040000.00,3.76%
7/12/21,25099.70,25453.20,25665.40,23615.00,2910000.00,-1.11%
7/13/21,25099.70,25382.50,25453.20,24215.90,1600000.00,0.00%
7/14/21,24604.80,25029.00,25241.10,23897.80,1610000.00,-1.97%
7/15/21,25382.50,24392.70,25382.50,24392.70,1270000.00,3.16%
7/16/21,27150.10,25523.90,27150.10,25523.90,3630000.00,6.96%
7/19/21,27432.90,26867.30,28281.40,26513.80,2510000.00,1.04%
7/20/21,27256.20,27892.50,27927.90,26513.80,2080000.00,-0.64%
7/21/21,27927.90,27008.70,27927.90,26973.40,1790000.00,2.46%
7/22/21,27963.20,27892.50,28847.00,27645.10,2190000.00,0.13%
7/23/21,27857.20,27857.20,28352.10,27574.30,1750000.00,-0.38%
7/26/21,29377.30,27574.30,29589.40,27432.90,3040000.00,5.46%
7/27/21,29448.00,29589.40,30013.60,29271.20,1880000.00,0.24%
7/28/21,29341.90,29129.80,29766.20,29059.10,1110000.00,-0.36%
7/29/21,29801.50,30013.60,30049.00,29483.30,2240000.00,1.57%
7/30/21,31215.60,29907.60,31463.00,29907.60,2530000.00,4.75%
8/2/21,33372.00,31321.60,33372.00,31286.30,3500000.00,6.91%
8/3/21,34644.70,33796.30,35281.00,33584.10,3400000.00,3.81%
8/4/21,34503.30,35139.60,35705.20,33973.00,3110000.00,-0.41%
8/5/21,34467.90,33937.70,34998.20,33937.70,1970000.00,-0.10%
8/6/21,36765.80,34326.50,36836.50,34255.80,4150000.00,6.67%
8/9/21,39311.10,36483.00,39311.10,36483.00,2560000.00,6.92%
