Date,Price,Open,High,Low,Vol.,Change %
7/1/21,20138.20,19883.00,20393.10,19840.80,486450.00,1.28%
7/2/21,19883.30,20138.00,20223.10,19798.30,598350.00,-1.27%
7/5/21,20648.00,19288.00,20648.00,19246.00,1150000.00,3.85%
7/6/21,20733.00,20648.00,21412.70,20648.00,1450000.00,0.41%
7/7/21,20223.10,20393.00,20733.00,19543.40,566490.00,-2.46%
7/8/21,19840.80,20266.00,20265.60,19543.40,405720.00,-1.89%
7/9/21,18863.60,19713.00,19840.80,18778.60,769350.00,-4.93%
7/12/21,17546.60,18184.00,18353.80,17546.60,869290.00,-6.98%
7/13/21,16994.20,17547.00,17674.00,16824.30,718640.00,-3.15%
7/14/21,16824.30,16824.00,17844.00,16399.40,428380.00,-1.00%
7/15/21,17631.50,16824.00,17674.00,16824.30,310730.00,4.80%
7/16/21,17674.00,18184.00,18183.80,17631.50,284050.00,0.24%
7/19/21,16441.90,16442.00,16951.80,16441.90,574890.00,-6.97%
7/20/21,15974.60,16187.00,16229.50,15634.70,629400.00,-2.84%
7/21/21,15974.60,16229.00,16229.50,15889.60,199410.00,0.00%
7/22/21,16441.90,16102.00,16611.90,15889.60,347990.00,2.93%
7/23/21,16144.50,16654.00,16909.30,16144.50,569600.00,-1.81%
7/26/21,16017.10,15975.00,16144.50,15719.70,427110.00,-0.79%
7/27/21,16357.00,16145.00,16739.30,16144.50,384560.00,2.12%
7/28/21,17036.70,16145.00,17461.60,16059.60,956340.00,4.16%
7/29/21,17079.20,17419.00,17419.10,16866.80,347990.00,0.25%
7/30/21,16824.30,17079.00,17291.60,16824.30,420330.00,-1.49%
8/2/21,16824.30,16314.00,17121.70,16314.50,595010.00,0.00%
8/3/21,16994.20,16569.00,17249.20,16569.40,475530.00,1.01%
8/4/21,18098.90,17207.00,18141.40,16951.80,1010000.00,6.50%
8/5/21,18056.40,18056.00,18438.70,17759.00,500480.00,-0.23%
8/6/21,17971.40,17886.00,18353.80,17759.00,555800.00,-0.47%
8/9/21,18013.90,17844.00,18056.40,17631.50,598580.00,0.24%
8/10/21,19246.00,18226.00,19246.00,18183.80,1050000.00,6.84%
8/11/21,18566.20,19458.00,19543.40,18523.70,989350.00,-3.53%
8/12/21,18311.30,18311.00,18693.70,18141.40,541540.00,-1.37%
8/13/21,18013.90,18311.00,18311.30,17504.10,1040000.00,-1.62%
8/16/21,18141.40,18354.00,18523.70,18098.90,646760.00,0.71%
8/17/21,18353.80,18481.00,18481.20,18141.40,697820.00,1.17%
8/18/21,19628.30,18439.00,19628.30,18438.70,1760000.00,6.94%
8/19/21,20987.90,20563.00,20987.90,20138.20,1970000.00,6.93%
8/20/21,20223.10,21073.00,21157.80,20138.20,2000000.00,-3.64%
8/23/21,18821.10,19713.00,19798.30,18821.10,1300000.00,-6.93%
8/24/21,17546.60,18269.00,18693.70,17504.10,1250000.00,-6.77%
8/25/21,18268.80,17377.00,18268.80,16569.40,706910.00,4.12%
8/26/21,18226.30,18226.00,18523.70,17674.00,481280.00,-0.23%
8/27/21,18268.80,17844.00,18523.70,17674.00,416530.00,0.23%
8/30/21,18863.60,18864.00,18906.10,18268.80,686900.00,3.26%
8/31/21,19373.40,18864.00,19543.40,18693.70,1290000.00,2.70%
9/1/21,19330.90,18906.00,19458.40,18906.10,592250.00,-0.22%
9/6/21,19670.80,19331.00,20138.20,18906.10,1850000.00,1.76%
9/7/21,18948.60,19968.00,20010.70,18863.60,1530000.00,-3.67%
9/8/21,18396.30,18694.00,18863.60,18268.80,921960.00,-2.91%
9/9/21,18651.20,18269.00,18693.70,18268.80,315560.00,1.39%
9/10/21,18353.80,18566.00,18608.70,18353.80,591560.00,-1.59%
9/13/21,18013.90,18354.00,18693.70,17844.00,863310.00,-1.85%
9/14/21,17376.60,18014.00,18013.90,17334.10,1220000.00,-3.54%
9/15/21,17504.10,16994.00,18013.90,16994.20,629970.00,0.73%
9/16/21,17716.50,17547.00,18013.90,17504.10,305330.00,1.21%
9/17/21,18098.90,17716.00,18098.90,17631.50,374210.00,2.16%
9/20/21,17886.40,18524.00,18523.70,17886.40,472310.00,-1.17%
9/21/21,17419.10,17419.00,17759.00,17164.20,869860.00,-2.61%
9/22/21,17928.90,17589.00,18268.80,17419.10,1010000.00,2.93%
9/23/21,17716.50,18014.00,18098.90,17546.60,633420.00,-1.18%
9/24/21,17589.00,17547.00,17589.00,17461.60,323270.00,-0.72%
9/27/21,16909.30,17716.00,17716.50,16909.30,768090.00,-3.86%
9/28/21,16739.30,16569.00,16909.30,16314.50,566260.00,-1.01%
9/29/21,16441.90,16739.00,16739.30,16314.50,513590.00,-1.78%
9/30/21,16441.90,16442.00,16696.80,16229.50,326260.00,0.00%
10/1/21,17206.70,16909.00,17504.10,16569.40,527510.00,4.65%
10/4/21,17376.60,17207.00,17674.00,16909.30,387900.00,0.99%
10/5/21,17249.20,17249.00,17461.60,17121.70,275430.00,-0.73%
10/6/21,17164.20,17334.00,17334.10,17036.70,375250.00,-0.49%
10/7/21,17674.00,17249.00,17759.00,17164.20,671950.00,2.97%
10/8/21,17334.10,17929.00,18056.40,17334.10,835360.00,-1.92%
10/11/21,18141.40,17377.00,18183.80,17376.60,997860.00,4.66%
10/12/21,19373.40,18354.00,19373.40,17971.40,2830000.00,6.79%
10/13/21,19458.40,19968.00,19968.20,19288.50,1570000.00,0.44%
10/14/21,19670.80,19458.00,19883.30,19118.50,1660000.00,1.09%
10/15/21,19543.40,19756.00,19968.20,18991.10,1830000.00,-0.65%
10/18/21,18693.70,19119.00,19543.40,18693.70,2370000.00,-4.35%
10/19/21,19118.50,18396.00,19543.40,18098.90,1250000.00,2.27%
10/20/21,19543.40,19458.00,19840.80,19118.50,1380000.00,2.22%
10/21/21,20265.60,19713.00,20435.60,19458.40,1970000.00,3.70%
10/22/21,20393.10,20393.00,20563.00,20053.20,2060000.00,0.63%
10/25/21,20308.10,20733.00,20945.40,20138.20,1670000.00,-0.42%
10/26/21,19883.30,20138.00,20520.50,19713.30,1140000.00,-2.09%
10/27/21,20563.00,19968.00,20605.50,19968.20,1590000.00,3.42%
10/28/21,21200.30,21370.00,21667.70,20860.40,1880000.00,3.10%
10/29/21,21497.70,21200.00,21540.20,21072.90,1500000.00,1.40%
11/1/21,20775.50,21498.00,21497.70,20563.00,1550000.00,-3.36%
11/2/21,21157.80,20478.00,21540.20,20435.60,1140000.00,1.84%
11/3/21,19713.30,21158.00,21157.80,19713.30,1960000.00,-6.83%
11/4/21,20138.20,19713.00,20350.60,19628.30,948180.00,2.16%
11/5/21,20393.10,20563.00,20945.40,19628.30,719440.00,1.27%
11/8/21,21795.10,20988.00,21795.10,20520.50,1960000.00,6.87%
11/9/21,22347.40,22093.00,22942.20,21795.10,1300000.00,2.53%
11/10/21,22857.30,22390.00,22899.70,22007.50,917470.00,2.28%
11/11/21,22092.50,22900.00,22942.20,21667.70,1510000.00,-3.35%
11/12/21,21625.20,21923.00,22177.50,21497.70,917700.00,-2.12%
11/15/21,22092.50,21073.00,22517.40,21072.90,1120000.00,2.16%
11/16/21,23622.00,22305.00,23622.00,21710.10,2360000.00,6.92%
11/17/21,23791.90,24132.00,24641.60,23707.00,1790000.00,0.72%
11/18/21,24344.20,23452.00,24641.60,23027.20,1450000.00,2.32%
11/19/21,23452.10,24387.00,24556.70,22644.80,1250000.00,-3.66%
11/22/21,21837.60,23197.00,23367.10,21837.60,1700000.00,-6.88%
11/23/21,23324.60,21243.00,23324.60,21242.80,935530.00,6.81%
11/24/21,23452.10,24217.00,24216.80,23324.60,1030000.00,0.55%
11/25/21,22857.30,23410.00,23452.10,22602.30,999010.00,-2.54%
11/26/21,24429.20,23792.00,24429.20,23324.60,2790000.00,6.88%
11/29/21,26128.60,24387.00,26128.60,24386.70,1770000.00,6.96%
11/30/21,26256.10,27191.00,27190.80,25661.30,1670000.00,0.49%
12/1/21,26596.00,25534.00,26765.90,25066.50,1330000.00,1.29%
12/2/21,26171.10,26681.00,27445.70,25916.20,940010.00,-1.60%
12/3/21,24556.70,26341.00,26723.40,24386.70,1510000.00,-6.17%
12/6/21,24556.70,24557.00,25661.30,23791.90,1330000.00,0.00%
