Date,Price,Open,High,Low,Volume,%Change
4/1/21,47.62,48.40,49.83,47.18,528.53K,-1.85%
5/1/21,49.93,47.38,50.20,47.24,643.19K,4.85%
6/1/21,50.63,49.82,50.94,49.48,509.37K,1.40%
7/1/21,50.83,50.53,51.28,50.39,369.29K,0.40%
8/1/21,52.24,50.93,52.75,50.81,499.42K,2.77%
11/1/21,52.25,52.58,52.70,51.50,394.82K,0.02%
12/1/21,53.21,52.18,53.45,52.07,400.20K,1.84%
13/01/2021,52.91,53.31,53.93,52.58,429.90K,-0.56%
14/01/2021,53.57,52.84,53.75,52.24,390.09K,1.25%
15/01/2021,52.36,53.80,53.83,51.83,165.67K,-2.26%
17/01/2021,52.20,52.09,52.38,52.09,,-0.31%
18/01/2021,52.36,52.20,52.61,51.83,,0.31%
19/01/2021,52.98,52.00,53.13,51.76,125.96K,1.18%
20/01/2021,53.24,53.13,53.79,53.05,37.84K,0.49%
21/01/2021,53.13,52.93,53.41,52.75,352.40K,-0.21%
22/01/2021,52.27,53.10,53.16,51.44,437.48K,-1.62%
25/01/2021,52.77,52.17,52.95,51.82,349.08K,0.96%
26/01/2021,52.61,52.91,53.25,52.29,314.54K,-0.30%
27/01/2021,52.85,52.76,53.30,51.85,442.38K,0.46%
28/01/2021,52.34,52.65,53.58,52.04,411.41K,-0.96%
29/01/2021,52.20,52.15,53.25,51.93,410.91K,-0.27%
1/2/21,53.55,51.99,53.74,51.64,416.07K,2.59%
2/2/21,54.76,53.48,55.26,53.45,463.72K,2.26%
3/2/21,55.69,55.05,56.33,54.81,448.69K,1.70%
4/2/21,56.23,55.96,56.58,55.30,381.40K,0.97%
5/2/21,56.85,56.46,57.29,56.43,400.83K,1.10%
8/2/21,57.97,57.06,58.14,57.00,399.72K,1.97%
9/2/21,58.36,58.11,58.62,57.27,514.70K,0.67%
10/2/21,58.68,58.45,58.91,58.08,457.54K,0.55%
11/2/21,58.24,58.40,58.71,57.84,380.45K,-0.75%
12/2/21,59.47,57.94,59.82,57.41,480.82K,2.11%
14/02/2021,60.37,60.01,60.75,60.01,,1.51%
15/02/2021,60.09,60.36,60.95,59.96,,-0.46%
16/02/2021,60.05,59.98,60.95,59.33,602.33K,-0.07%
17/02/2021,61.14,60.24,61.73,59.43,335.42K,1.82%
18/02/2021,60.52,61.68,62.26,59.79,132.04K,-1.01%
19/02/2021,59.24,60.20,60.29,58.59,102.43K,-2.12%
22/02/2021,61.49,58.88,61.84,58.82,37.04K,3.80%
23/02/2021,61.67,62.16,63.00,60.67,570.68K,0.29%
24/02/2021,63.22,61.29,63.51,60.97,489.93K,2.51%
25/02/2021,63.53,63.39,63.81,62.65,510.36K,0.49%
26/02/2021,61.50,63.46,63.57,61.34,472.72K,-3.20%
1/3/21,60.64,61.95,62.92,59.96,456.68K,-1.40%
2/3/21,59.75,60.23,61.21,59.38,464.13K,-1.47%
3/3/21,61.28,59.55,61.99,59.24,465.31K,2.56%
4/3/21,63.83,61.08,64.86,60.52,694.63K,4.16%
5/3/21,66.09,64.16,66.42,63.82,573.17K,3.54%
8/3/21,65.05,66.68,67.98,64.57,533.38K,-1.57%
9/3/21,64.01,64.73,65.98,63.63,554.56K,-1.60%
10/3/21,64.44,63.84,64.96,63.13,498.49K,0.67%
11/3/21,66.02,64.70,66.21,64.54,441.06K,2.45%
12/3/21,65.61,65.96,66.24,65.41,321.71K,-0.62%
15/03/2021,65.39,65.56,66.40,64.13,378.01K,-0.34%
16/03/2021,64.80,65.33,65.43,63.80,317.54K,-0.90%
17/03/2021,64.60,64.75,65.34,63.60,254.72K,-0.31%
18/03/2021,60.00,64.42,64.82,58.20,143.60K,-7.12%
19/03/2021,61.42,59.56,61.72,58.94,84.17K,2.37%
22/03/2021,61.55,61.55,61.90,60.39,28.26K,0.21%
23/03/2021,57.76,61.28,61.35,57.25,712.32K,-6.16%
24/03/2021,61.18,57.40,61.34,57.29,566.29K,5.92%
25/03/2021,58.56,60.80,60.86,57.44,580.11K,-4.28%
26/03/2021,60.97,58.48,61.36,58.32,472.00K,4.12%
29/03/2021,61.56,60.93,61.77,59.41,449.36K,0.97%
30/03/2021,60.55,61.96,62.27,59.94,388.19K,-1.64%
31/03/2021,59.16,60.45,61.17,58.85,414.16K,-2.30%
1/4/21,61.45,59.49,61.75,58.86,605.57K,3.87%
5/4/21,58.65,61.50,61.50,57.63,438.86K,-4.56%
6/4/21,59.33,58.80,60.90,58.62,457.35K,1.16%
7/4/21,59.77,59.26,60.04,58.12,475.54K,0.74%
8/4/21,59.60,59.52,59.93,58.82,419.91K,-0.28%
9/4/21,59.32,59.76,59.95,59.10,351.44K,-0.47%
12/4/21,59.70,59.35,60.77,58.73,410.22K,0.64%
13/04/2021,60.18,59.64,60.59,59.64,349.73K,0.80%
14/04/2021,63.15,60.44,63.44,60.38,419.81K,4.94%
15/04/2021,63.46,62.83,63.57,62.53,243.37K,0.49%
16/04/2021,63.13,63.32,63.88,62.83,87.80K,-0.52%
19/04/2021,63.38,62.98,63.63,62.63,74.38K,0.40%
20/04/2021,62.44,63.47,64.25,61.50,33.04K,-1.48%
21/04/2021,61.35,62.39,62.56,60.86,431.49K,-1.75%
22/04/2021,61.43,61.11,61.87,60.61,344.70K,0.13%
23/04/2021,62.14,61.65,62.43,61.25,345.41K,1.16%
26/04/2021,61.91,62.06,62.31,60.66,366.87K,-0.37%
27/04/2021,62.94,61.97,63.30,61.91,361.54K,1.66%
28/04/2021,63.86,63.04,64.53,62.67,387.68K,1.46%
29/04/2021,65.01,63.70,65.47,63.65,384.49K,1.80%
30/04/2021,63.58,64.88,64.95,63.08,400.52K,-2.20%
3/5/21,64.49,63.64,64.68,62.91,285.97K,1.43%
4/5/21,65.69,64.53,66.19,64.29,370.21K,1.86%
5/5/21,65.63,66.45,66.76,64.92,460.07K,-0.09%
6/5/21,64.71,65.27,65.98,64.50,389.21K,-1.40%
7/5/21,64.90,64.90,65.24,63.90,431.42K,0.29%
10/5/21,64.92,65.57,65.75,63.95,448.34K,0.03%
11/5/21,65.28,64.90,65.50,63.68,514.95K,0.55%
12/5/21,66.08,65.46,66.63,64.97,508.52K,1.23%
13/05/2021,63.82,65.75,65.81,63.09,547.69K,-3.42%
14/05/2021,65.37,63.83,65.62,63.33,383.75K,2.43%
17/05/2021,66.27,65.50,66.43,64.83,268.48K,1.38%
18/05/2021,65.49,66.33,67.01,64.11,167.35K,-1.18%
19/05/2021,63.36,65.28,65.35,61.95,101.90K,-3.25%
20/05/2021,62.05,63.39,63.96,61.89,29.62K,-2.07%
21/05/2021,63.58,61.89,64.07,61.56,530.83K,2.47%
24/05/2021,66.05,63.87,66.14,63.63,466.65K,3.88%
25/05/2021,66.07,66.02,66.51,65.41,497.39K,0.03%
26/05/2021,66.21,66.04,66.43,65.25,376.21K,0.21%
27/05/2021,66.85,66.16,66.92,65.47,337.54K,0.97%
28/05/2021,66.32,66.95,67.52,66.17,390.46K,-0.79%
30/05/2021,66.59,66.70,66.75,66.53,,0.41%
31/05/2021,66.96,66.58,67.41,66.41,,0.56%
1/6/21,67.72,66.68,68.87,66.41,570.99K,1.14%
2/6/21,68.83,67.99,69.00,67.78,333.00K,1.64%
3/6/21,68.81,68.76,69.40,68.19,351.37K,-0.03%
4/6/21,69.62,68.91,69.76,68.33,326.25K,1.18%
7/6/21,69.23,69.52,70.00,68.93,365.62K,-0.56%
8/6/21,70.05,69.29,70.27,68.47,441.30K,1.18%
9/6/21,69.96,70.01,70.62,69.46,410.82K,-0.13%
10/6/21,70.29,69.76,70.65,68.68,492.46K,0.47%
11/6/21,70.91,70.10,71.24,69.68,563.58K,0.88%
14/06/2021,70.88,70.65,71.78,70.65,319.64K,-0.04%
15/06/2021,72.12,71.16,72.49,70.81,336.04K,1.75%
16/06/2021,72.15,72.45,72.99,71.61,426.78K,0.04%
17/06/2021,71.04,71.65,72.30,69.77,373.78K,-1.54%
18/06/2021,71.64,71.10,72.17,70.16,139.58K,0.84%
21/06/2021,73.66,71.52,73.96,71.15,123.66K,2.82%
22/06/2021,73.06,73.41,73.95,72.94,29.00K,-0.81%
23/06/2021,73.08,72.91,74.25,72.82,429.21K,0.03%
24/06/2021,73.30,73.28,73.61,72.32,334.83K,0.30%
25/06/2021,74.05,73.32,74.18,72.85,364.72K,1.02%
28/06/2021,72.91,73.99,74.45,72.62,354.70K,-1.54%
29/06/2021,72.98,72.78,73.81,71.97,321.45K,0.10%
30/06/2021,73.47,73.47,74.14,72.82,383.63K,0.67%
1/7/21,75.23,73.50,76.22,73.39,615.68K,2.40%
2/7/21,75.16,75.02,75.62,74.41,377.53K,-0.09%
4/7/21,75.14,75.22,75.28,75.00,,-0.03%
5/7/21,76.25,75.15,76.40,74.75,,1.48%
6/7/21,73.37,75.35,76.98,72.94,714.04K,-3.78%
7/7/21,72.20,73.85,74.86,71.07,607.97K,-1.59%
8/7/21,72.94,72.17,73.26,70.76,529.69K,1.02%
9/7/21,74.56,73.26,74.76,72.72,422.15K,2.22%
12/7/21,74.10,74.74,74.93,73.16,397.93K,-0.62%
13/07/2021,75.25,74.18,75.52,73.68,444.08K,1.55%
14/07/2021,73.13,75.17,75.44,72.21,528.36K,-2.82%
15/07/2021,71.65,72.96,72.96,71.40,368.68K,-2.02%
16/07/2021,71.81,71.48,72.30,70.41,133.93K,0.22%
19/07/2021,66.42,71.49,71.67,65.63,82.57K,-7.51%
20/07/2021,67.42,66.60,67.65,65.21,29.74K,1.51%
21/07/2021,70.30,66.45,70.51,66.44,503.03K,4.27%
22/07/2021,71.91,70.22,72.03,69.86,435.18K,2.29%
23/07/2021,72.07,71.71,72.21,71.39,274.78K,0.22%
26/07/2021,71.91,72.18,72.43,70.56,395.74K,-0.22%
27/07/2021,71.65,72.22,72.33,71.08,333.12K,-0.36%
28/07/2021,72.39,71.90,72.60,71.70,318.91K,1.03%
29/07/2021,73.62,72.40,73.68,72.26,294.46K,1.70%
30/07/2021,73.95,73.41,74.23,72.93,303.70K,0.45%
2/8/21,71.26,73.91,73.95,70.55,448.20K,-3.64%
3/8/21,70.56,71.52,71.96,69.19,509.94K,-0.98%
4/8/21,68.15,70.32,70.81,67.85,582.92K,-3.42%
5/8/21,69.09,68.06,69.35,67.61,416.33K,1.38%
6/8/21,68.28,69.14,70.18,67.80,537.14K,-1.17%
9/8/21,66.48,67.88,67.90,65.15,598.38K,-2.64%
10/8/21,68.29,66.85,68.90,66.56,452.13K,2.72%
11/8/21,69.25,68.51,69.45,66.67,513.29K,1.41%
12/8/21,69.09,69.36,69.62,68.46,352.47K,-0.23%
13/08/2021,68.44,68.91,69.22,67.77,272.03K,-0.94%
16/08/2021,67.29,67.71,68.27,65.73,334.84K,-1.68%
17/08/2021,66.59,67.43,67.72,66.33,235.30K,-1.04%
18/08/2021,65.46,66.58,67.48,64.34,121.20K,-1.70%
19/08/2021,63.69,64.58,64.76,62.63,88.24K,-2.70%
20/08/2021,62.32,64.05,64.10,62.11,24.63K,-2.15%
23/08/2021,65.64,61.96,66.00,61.74,397.29K,5.33%
24/08/2021,67.54,65.54,67.80,65.41,335.89K,2.89%
25/08/2021,68.36,67.63,68.54,66.92,353.74K,1.21%
26/08/2021,67.42,68.00,68.31,67.02,344.29K,-1.38%
27/08/2021,68.74,67.75,69.05,67.52,326.06K,1.96%
30/08/2021,69.21,69.30,69.64,67.67,360.80K,0.68%
31/08/2021,68.50,69.18,69.34,68.16,325.85K,-1.03%
1/9/21,68.59,68.55,69.24,67.12,399.50K,0.13%
2/9/21,69.99,68.29,70.61,67.84,403.31K,2.04%
3/9/21,69.29,69.76,70.53,69.05,313.09K,-1.00%
5/9/21,68.75,69.22,69.23,68.73,,-0.78%
6/9/21,68.80,68.75,69.47,68.27,,0.07%
7/9/21,68.35,69.11,69.48,67.64,481.70K,-0.65%
8/9/21,69.30,68.37,69.75,68.31,389.33K,1.39%
9/9/21,68.14,69.36,69.89,67.56,556.45K,-1.67%
10/9/21,69.72,67.97,69.96,67.68,411.08K,2.32%
13/09/2021,70.45,69.74,70.97,69.51,390.94K,1.05%
14/09/2021,70.46,70.64,71.22,69.98,414.23K,0.01%
15/09/2021,72.61,70.76,73.14,70.65,418.67K,3.05%
16/09/2021,72.61,72.65,72.99,71.53,298.41K,0.00%
17/09/2021,71.97,72.62,72.72,71.21,119.93K,-0.88%
20/09/2021,70.29,71.92,72.08,69.86,75.84K,-2.33%
21/09/2021,70.56,70.59,71.63,69.67,37.61K,0.38%
22/09/2021,72.23,70.85,72.30,70.64,381.06K,2.37%
23/09/2021,73.30,71.97,73.50,71.61,403.41K,1.48%
24/09/2021,73.98,73.24,74.27,72.81,350.38K,0.93%
27/09/2021,75.45,74.19,75.75,74.16,417.83K,1.99%
28/09/2021,75.29,75.43,76.67,74.24,476.14K,-0.21%
29/09/2021,74.83,74.38,75.79,73.74,424.19K,-0.61%
30/09/2021,75.03,74.78,76.07,73.14,583.19K,0.27%
1/10/21,75.88,75.12,75.99,74.23,389.00K,1.13%
4/10/21,77.62,75.90,78.38,75.32,458.01K,2.29%
5/10/21,78.93,77.58,79.48,77.47,449.62K,1.69%
6/10/21,77.43,79.04,79.78,76.83,459.06K,-1.90%
7/10/21,78.30,77.00,78.89,74.96,545.01K,1.12%
8/10/21,79.35,78.86,80.11,78.63,662.01K,1.34%
11/10/21,80.52,79.59,82.18,79.55,653.76K,1.47%
12/10/21,80.64,80.50,81.62,79.47,598.18K,0.15%
13/10/2021,80.44,80.58,81.04,79.42,487.22K,-0.25%
14/10/2021,81.31,80.59,81.68,80.38,399.81K,1.08%
15/10/2021,82.28,81.48,82.66,81.39,277.95K,1.19%
18/10/2021,82.44,82.60,83.87,81.84,134.10K,0.19%
19/10/2021,82.96,82.37,83.74,81.80,82.61K,0.63%
20/10/2021,83.87,83.34,84.25,81.30,25.72K,1.10%
21/10/2021,82.50,83.58,83.96,80.79,567.50K,-1.63%
22/10/2021,83.76,82.61,84.22,81.76,465.36K,1.53%
25/10/2021,83.76,83.98,85.41,83.39,568.73K,0.00%
26/10/2021,84.65,83.72,84.88,82.97,467.72K,1.06%
27/10/2021,82.66,84.39,84.51,82.01,529.95K,-2.35%
28/10/2021,82.81,82.25,83.21,80.58,491.59K,0.18%
29/10/2021,83.57,83.09,83.74,81.41,507.31K,0.92%
1/11/21,84.05,83.36,84.88,82.74,412.31K,0.57%
2/11/21,83.91,83.87,84.41,82.92,429.61K,-0.17%
3/11/21,80.86,83.07,83.08,79.69,546.58K,-3.63%
4/11/21,78.81,80.18,83.42,78.25,701.12K,-2.54%
5/11/21,81.27,79.37,81.80,78.96,531.05K,3.12%
8/11/21,81.93,81.13,82.67,81.05,393.95K,0.81%
9/11/21,84.15,82.16,84.63,81.78,504.83K,2.71%
10/11/21,81.34,84.53,84.97,80.81,555.22K,-3.34%
11/11/21,81.59,81.41,82.33,80.20,475.44K,0.31%
12/11/21,80.79,81.21,81.62,79.78,390.30K,-0.98%
15/11/2021,80.88,80.66,81.20,79.30,343.48K,0.11%
16/11/2021,80.76,80.93,81.81,80.03,325.67K,-0.15%
17/11/2021,78.36,80.54,80.69,77.69,174.47K,-2.97%
18/11/2021,79.01,78.34,79.36,77.08,83.98K,0.83%
19/11/2021,76.10,78.76,79.92,75.37,30.70K,-3.68%
22/11/2021,76.75,75.75,77.16,74.76,465.77K,0.85%
23/11/2021,78.50,76.46,78.86,75.30,506.99K,2.28%
24/11/2021,78.39,78.48,79.23,77.98,328.85K,-0.14%
25/11/2021,77.41,78.38,78.65,77.28,,-1.25%
26/11/2021,68.15,78.34,78.65,67.40,844.63K,-11.96%
29/11/2021,69.95,69.23,72.93,68.86,675.09K,2.64%
30/11/2021,66.18,70.04,71.22,64.43,722.48K,-5.39%
1/12/21,65.57,67.01,69.49,64.84,602.45K,-0.92%
2/12/21,66.50,65.63,67.49,62.43,668.29K,1.42%
3/12/21,66.26,67.50,69.22,65.60,449.97K,-0.36%
6/12/21,69.49,67.02,70.15,66.72,401.06K,4.87%
7/12/21,72.05,69.72,73.03,69.52,496.53K,3.68%
